Date,Year,Quarter,Nationality,Region,Sex,Appeals lodged
2010-01-01,2010,1,Mauritius,Africa Sub-Saharan,Female,2
2010-01-01,2010,1,Moldova,Europe Other,Male,1
2010-01-01,2010,1,Mongolia,Asia East,Male,3
2010-01-01,2010,1,Morocco,Africa North,Female,3
2010-01-01,2010,1,Morocco,Africa North,Male,7
2010-01-01,2010,1,Namibia,Africa Sub-Saharan,Male,1
2010-01-01,2010,1,Nepal,Asia South,Male,3
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Female,61
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Male,41
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Female,1
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Male,35
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Unknown Sex,1
2010-01-01,2010,1,Other and unknown,Other,Male,1
2010-01-01,2010,1,Pakistan,Asia South,Female,100
2010-01-01,2010,1,Pakistan,Asia South,Male,179
2010-01-01,2010,1,Philippines,Asia South East,Female,1
2010-01-01,2010,1,Refugee,Other,Female,2
2010-01-01,2010,1,Refugee,Other,Male,9
2010-01-01,2010,1,Russia,Europe Other,Female,6
2010-01-01,2010,1,Russia,Europe Other,Male,7
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Female,2
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Male,4
2010-01-01,2010,1,Saudi Arabia,Middle East,Male,2
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,Male,3
2010-01-01,2010,1,Seychelles,Africa Sub-Saharan,Male,1
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Female,9
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Male,7
2010-01-01,2010,1,Slovakia,EU 8,Female,1
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Female,82
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,60
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Female,7
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Male,10
2010-01-01,2010,1,Sri Lanka,Asia South,Female,92
2010-01-01,2010,1,Sri Lanka,Asia South,Male,227
2010-01-01,2010,1,St. Lucia,America Central and South,Male,1
2010-01-01,2010,1,St. Vincent and the Grenadines,America Central and South,Female,1
2010-01-01,2010,1,Stateless,Other,Female,2
2010-01-01,2010,1,Stateless,Other,Male,5
2010-01-01,2010,1,Sudan,Africa North,Female,3
2010-01-01,2010,1,Sudan,Africa North,Male,19
2010-01-01,2010,1,Swaziland,Africa Sub-Saharan,Female,3
2010-01-01,2010,1,Syria,Middle East,Female,4
2010-01-01,2010,1,Syria,Middle East,Male,40
2010-01-01,2010,1,Taiwan,Asia East,Male,1
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,Female,7
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,Male,1
2010-01-01,2010,1,Thailand,Asia South East,Female,1
2010-01-01,2010,1,Thailand,Asia South East,Male,1
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Trinidad and Tobago,America Central and South,Male,1
2010-01-01,2010,1,Tunisia,Africa North,Female,1
2010-01-01,2010,1,Tunisia,Africa North,Male,3
2010-01-01,2010,1,Turkey,Europe Other,Female,8
2010-01-01,2010,1,Turkey,Europe Other,Male,29
2010-01-01,2010,1,Turkmenistan,Asia Central,Female,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Female,29
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Male,26
2010-01-01,2010,1,Ukraine,Europe Other,Female,2
2010-01-01,2010,1,Ukraine,Europe Other,Male,2
2010-01-01,2010,1,Uzbekistan,Asia Central,Female,1
2010-01-01,2010,1,Uzbekistan,Asia Central,Male,3
2010-01-01,2010,1,Venezuela,America Central and South,Female,1
2010-01-01,2010,1,Vietnam,Asia South East,Female,4
2010-01-01,2010,1,Vietnam,Asia South East,Male,7
2010-01-01,2010,1,Western Sahara,Africa North,Male,2
2010-01-01,2010,1,Yemen,Middle East,Female,4
2010-01-01,2010,1,Yemen,Middle East,Male,11
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,Male,2
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Female,356
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Male,235
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Unknown Sex,1
2010-04-01,2010,2,Afghanistan,Asia Central,Female,21
2010-04-01,2010,2,Afghanistan,Asia Central,Male,395
2010-04-01,2010,2,Albania,Europe Other,Female,9
2010-04-01,2010,2,Albania,Europe Other,Male,20
2010-04-01,2010,2,Algeria,Africa North,Female,9
2010-04-01,2010,2,Algeria,Africa North,Male,26
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Male,5
2010-04-01,2010,2,Armenia,Europe Other,Female,1
2010-04-01,2010,2,Armenia,Europe Other,Male,2
2010-04-01,2010,2,Azerbaijan,Europe Other,Male,1
2010-04-01,2010,2,Bangladesh,Asia South,Female,11
2010-04-01,2010,2,Bangladesh,Asia South,Male,67
2010-04-01,2010,2,Barbados,America Central and South,Female,1
2010-04-01,2010,2,Belarus,Europe Other,Female,1
2010-04-01,2010,2,Belarus,Europe Other,Male,2
2010-04-01,2010,2,Bhutan,Asia South,Male,3
2010-04-01,2010,2,Bolivia,America Central and South,Female,1
2010-04-01,2010,2,Botswana,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Burkina,Africa Sub-Saharan,Female,1
2010-04-01,2010,2,Burma,Asia South East,Female,16
2010-04-01,2010,2,Burma,Asia South East,Male,35
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Female,11
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Male,14
2010-04-01,2010,2,Chad,Africa Sub-Saharan,Female,1
2010-04-01,2010,2,Chad,Africa Sub-Saharan,Male,3
2010-04-01,2010,2,China,Asia East,Female,149
2010-04-01,2010,2,China,Asia East,Male,102
2010-04-01,2010,2,Colombia,America Central and South,Male,1
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Female,1
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Male,2
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,29
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,22
2010-04-01,2010,2,Cuba,America Central and South,Male,2
2010-04-01,2010,2,Djibouti,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Dominica,America Central and South,Female,1
2010-04-01,2010,2,Ecuador,America Central and South,Male,1
2010-04-01,2010,2,Egypt,Africa North,Female,4
2010-04-01,2010,2,Egypt,Africa North,Male,11
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Female,25
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Male,35
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Female,15
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Male,9
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,Female,25
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,Male,20
2010-04-01,2010,2,Georgia,Europe Other,Female,4
2010-04-01,2010,2,Georgia,Europe Other,Male,7
2010-04-01,2010,2,Ghana,Africa Sub-Saharan,Female,8
2010-04-01,2010,2,Ghana,Africa Sub-Saharan,Male,11
2010-04-01,2010,2,Grenada,America Central and South,Male,1
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Female,4
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Male,15
2010-04-01,2010,2,Guyana,America Central and South,Female,1
2010-04-01,2010,2,Guyana,America Central and South,Male,1
2010-04-01,2010,2,Honduras,America Central and South,Male,1
2010-04-01,2010,2,India,Asia South,Female,6
2010-04-01,2010,2,India,Asia South,Male,21
2010-04-01,2010,2,Iran,Middle East,Female,59
2010-04-01,2010,2,Iran,Middle East,Male,358
2010-04-01,2010,2,Iraq,Middle East,Female,22
2010-04-01,2010,2,Iraq,Middle East,Male,167
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,Female,6
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,Male,5
2010-04-01,2010,2,Jamaica,America Central and South,Female,11
2010-04-01,2010,2,Jamaica,America Central and South,Male,10
2010-04-01,2010,2,Jordan,Middle East,Male,3
2010-04-01,2010,2,Kenya,Africa Sub-Saharan,Female,11
2010-04-01,2010,2,Kenya,Africa Sub-Saharan,Male,6
2010-04-01,2010,2,Korea (North),Asia East,Female,8
2010-04-01,2010,2,Korea (North),Asia East,Male,14
2010-04-01,2010,2,Kosovo,Europe Other,Female,1
2010-04-01,2010,2,Kosovo,Europe Other,Male,2
2010-04-01,2010,2,Kuwait,Middle East,Female,2
2010-04-01,2010,2,Kuwait,Middle East,Male,16
2010-04-01,2010,2,Lebanon,Middle East,Female,4
2010-04-01,2010,2,Lebanon,Middle East,Male,7
2010-04-01,2010,2,Liberia,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Libya,Africa North,Female,2
2010-04-01,2010,2,Libya,Africa North,Male,13
2010-04-01,2010,2,Malawi,Africa Sub-Saharan,Female,21
2010-04-01,2010,2,Malawi,Africa Sub-Saharan,Male,8
2010-04-01,2010,2,Malaysia,Asia South East,Female,1
2010-04-01,2010,2,Malaysia,Asia South East,Male,5
2010-04-01,2010,2,Maldives,Asia South,Female,2
2010-04-01,2010,2,Mali,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Mauritania,Africa North,Male,1
2010-04-01,2010,2,Mauritius,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Mauritius,Africa Sub-Saharan,Male,1
2010-04-01,2010,2,Mexico,America Central and South,Female,1
2010-04-01,2010,2,Mongolia,Asia East,Female,2
2010-04-01,2010,2,Mongolia,Asia East,Male,2
2010-04-01,2010,2,Morocco,Africa North,Female,1
2010-04-01,2010,2,Morocco,Africa North,Male,2
2010-04-01,2010,2,Namibia,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Namibia,Africa Sub-Saharan,Male,3
2010-04-01,2010,2,Nepal,Asia South,Male,2
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Female,65
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Male,42
2010-04-01,2010,2,Occupied Palestinian Territories,Middle East,Female,4
2010-04-01,2010,2,Occupied Palestinian Territories,Middle East,Male,51
2010-04-01,2010,2,Oman,Middle East,Female,1
2010-04-01,2010,2,Other and unknown,Other,Male,1
2010-04-01,2010,2,Pakistan,Asia South,Female,123
2010-04-01,2010,2,Pakistan,Asia South,Male,194
2010-04-01,2010,2,Philippines,Asia South East,Male,1
2010-04-01,2010,2,Refugee,Other,Female,2
2010-04-01,2010,2,Refugee,Other,Male,7
2010-04-01,2010,2,Russia,Europe Other,Female,6
2010-04-01,2010,2,Russia,Europe Other,Male,4
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Male,4
2010-04-01,2010,2,Saudi Arabia,Middle East,Female,1
2010-04-01,2010,2,Saudi Arabia,Middle East,Male,2
2010-04-01,2010,2,Senegal,Africa Sub-Saharan,Female,4
2010-04-01,2010,2,Senegal,Africa Sub-Saharan,Male,2
2010-04-01,2010,2,Sierra Leone,Africa Sub-Saharan,Female,17
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Female,60
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,68
2010-04-01,2010,2,South Africa,Africa Sub-Saharan,Female,11
2010-04-01,2010,2,South Africa,Africa Sub-Saharan,Male,9
2010-04-01,2010,2,Sri Lanka,Asia South,Female,75
2010-04-01,2010,2,Sri Lanka,Asia South,Male,246
2010-04-01,2010,2,St. Lucia,America Central and South,Female,1
2010-04-01,2010,2,St. Vincent and the Grenadines,America Central and South,Male,1
2010-04-01,2010,2,Stateless,Other,Female,1
2010-04-01,2010,2,Stateless,Other,Male,6
2010-04-01,2010,2,Sudan,Africa North,Female,4
2010-04-01,2010,2,Sudan,Africa North,Male,28
2010-04-01,2010,2,Syria,Middle East,Female,7
2010-04-01,2010,2,Syria,Middle East,Male,25
2010-04-01,2010,2,Tanzania,Africa Sub-Saharan,Female,1
2010-04-01,2010,2,Tanzania,Africa Sub-Saharan,Male,2
2010-04-01,2010,2,Togo,Africa Sub-Saharan,Female,1
2010-04-01,2010,2,Togo,Africa Sub-Saharan,Male,2
2010-04-01,2010,2,Trinidad and Tobago,America Central and South,Male,3
2010-04-01,2010,2,Tunisia,Africa North,Female,1
2010-04-01,2010,2,Tunisia,Africa North,Male,5
2010-04-01,2010,2,Turkey,Europe Other,Female,6
2010-04-01,2010,2,Turkey,Europe Other,Male,21
2010-04-01,2010,2,Turkmenistan,Asia Central,Female,1
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Female,21
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Male,26
2010-04-01,2010,2,Ukraine,Europe Other,Female,1
2010-04-01,2010,2,Ukraine,Europe Other,Male,3
2010-04-01,2010,2,United States,America North,Male,1
2010-04-01,2010,2,Uzbekistan,Asia Central,Male,2
2010-04-01,2010,2,Vietnam,Asia South East,Female,11
2010-04-01,2010,2,Vietnam,Asia South East,Male,13
2010-04-01,2010,2,Western Sahara,Africa North,Male,2
2010-04-01,2010,2,Yemen,Middle East,Female,1
2010-04-01,2010,2,Yemen,Middle East,Male,6
2010-04-01,2010,2,Zambia,Africa Sub-Saharan,Female,2
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Female,314
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Male,203
2010-07-01,2010,3,Afghanistan,Asia Central,Female,26
2010-07-01,2010,3,Afghanistan,Asia Central,Male,312
2010-07-01,2010,3,Albania,Europe Other,Female,8
2010-07-01,2010,3,Albania,Europe Other,Male,14
2010-07-01,2010,3,Algeria,Africa North,Female,7
2010-07-01,2010,3,Algeria,Africa North,Male,25
2010-07-01,2010,3,Angola,Africa Sub-Saharan,Female,8
2010-07-01,2010,3,Angola,Africa Sub-Saharan,Male,12
2010-07-01,2010,3,Armenia,Europe Other,Female,1
2010-07-01,2010,3,Armenia,Europe Other,Male,2
2010-07-01,2010,3,Azerbaijan,Europe Other,Male,1
2010-07-01,2010,3,Bangladesh,Asia South,Female,11
2010-07-01,2010,3,Bangladesh,Asia South,Male,51
2010-07-01,2010,3,Belarus,Europe Other,Female,1
2010-07-01,2010,3,Belarus,Europe Other,Male,6
2010-07-01,2010,3,Bhutan,Asia South,Female,1
2010-07-01,2010,3,Bhutan,Asia South,Male,4
2010-07-01,2010,3,Bolivia,America Central and South,Female,3
2010-07-01,2010,3,Bolivia,America Central and South,Male,2
2010-07-01,2010,3,Bosnia and Herzegovina,Europe Other,Female,1
2010-07-01,2010,3,Bosnia and Herzegovina,Europe Other,Male,1
2010-07-01,2010,3,Botswana,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Brazil,America Central and South,Male,2
2010-07-01,2010,3,Burma,Asia South East,Female,12
2010-07-01,2010,3,Burma,Asia South East,Male,30
2010-07-01,2010,3,Burundi,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Burundi,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Female,7
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Male,7
2010-07-01,2010,3,Central African Republic,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,Chad,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,China,Asia East,Female,113
2010-07-01,2010,3,China,Asia East,Male,70
2010-07-01,2010,3,Colombia,America Central and South,Female,1
2010-07-01,2010,3,Colombia,America Central and South,Male,4
2010-07-01,2010,3,Congo,Africa Sub-Saharan,Male,4
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Female,23
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Male,23
2010-07-01,2010,3,Cuba,America Central and South,Male,4
2010-07-01,2010,3,Dominica,America Central and South,Female,1
2010-07-01,2010,3,Dominican Republic,America Central and South,Male,1
2010-07-01,2010,3,Egypt,Africa North,Female,6
2010-07-01,2010,3,Egypt,Africa North,Male,21
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Female,25
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Male,30
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Female,18
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Male,7
2010-07-01,2010,3,"Gambia, The",Africa Sub-Saharan,Female,26
2010-07-01,2010,3,"Gambia, The",Africa Sub-Saharan,Male,20
2010-07-01,2010,3,Georgia,Europe Other,Female,4
2010-07-01,2010,3,Georgia,Europe Other,Male,7
2010-07-01,2010,3,Ghana,Africa Sub-Saharan,Female,10
2010-07-01,2010,3,Ghana,Africa Sub-Saharan,Male,16
2010-07-01,2010,3,Guatemala,America Central and South,Male,1
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Female,3
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Male,17
2010-07-01,2010,3,Guinea-Bissau,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Guinea-Bissau,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,Guyana,America Central and South,Male,1
2010-07-01,2010,3,Haiti,America Central and South,Male,1
2010-07-01,2010,3,Hong Kong,Asia East,Male,1
2010-07-01,2010,3,India,Asia South,Female,9
2010-07-01,2010,3,India,Asia South,Male,12
2010-07-01,2010,3,Iran,Middle East,Female,51
2010-07-01,2010,3,Iran,Middle East,Male,305
2010-07-01,2010,3,Iraq,Middle East,Female,18
2010-07-01,2010,3,Iraq,Middle East,Male,161
2010-07-01,2010,3,Israel,Middle East,Female,1
2010-07-01,2010,3,Israel,Middle East,Male,1
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Female,4
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Male,5
2010-07-01,2010,3,Jamaica,America Central and South,Female,14
2010-07-01,2010,3,Jamaica,America Central and South,Male,13
2010-07-01,2010,3,Jordan,Middle East,Male,2
2010-07-01,2010,3,Kazakhstan,Asia Central,Male,1
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Female,16
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Male,7
2010-07-01,2010,3,Korea (North),Asia East,Female,11
2010-07-01,2010,3,Korea (North),Asia East,Male,15
2010-07-01,2010,3,Kosovo,Europe Other,Female,1
2010-07-01,2010,3,Kosovo,Europe Other,Male,2
2010-07-01,2010,3,Kuwait,Middle East,Male,10
2010-07-01,2010,3,Kyrgyzstan,Asia Central,Male,6
2010-07-01,2010,3,Lebanon,Middle East,Female,2
2010-07-01,2010,3,Lebanon,Middle East,Male,10
2010-07-01,2010,3,Lesotho,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,Male,4
2010-07-01,2010,3,Libya,Africa North,Male,18
2010-07-01,2010,3,Malawi,Africa Sub-Saharan,Female,28
2010-07-01,2010,3,Malawi,Africa Sub-Saharan,Male,6
2010-07-01,2010,3,Malaysia,Asia South East,Female,2
2010-07-01,2010,3,Malaysia,Asia South East,Male,7
2010-07-01,2010,3,Mali,Africa Sub-Saharan,Female,2
2010-07-01,2010,3,Mauritania,Africa North,Female,2
2010-07-01,2010,3,Mauritania,Africa North,Male,1
2010-07-01,2010,3,Mauritius,Africa Sub-Saharan,Female,2
2010-07-01,2010,3,Mauritius,Africa Sub-Saharan,Male,3
2010-07-01,2010,3,Mexico,America Central and South,Male,1
2010-07-01,2010,3,Mongolia,Asia East,Female,5
2010-07-01,2010,3,Mongolia,Asia East,Male,1
2010-07-01,2010,3,Morocco,Africa North,Female,1
2010-07-01,2010,3,Morocco,Africa North,Male,5
2010-07-01,2010,3,Mozambique,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Mozambique,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,Namibia,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Namibia,Africa Sub-Saharan,Male,3
2010-07-01,2010,3,Nepal,Asia South,Female,1
2010-07-01,2010,3,Nepal,Asia South,Male,4
2010-07-01,2010,3,Niger,Africa Sub-Saharan,Female,1
2010-07-01,2010,3,Niger,Africa Sub-Saharan,Male,1
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Female,63
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Male,44
2010-07-01,2010,3,Occupied Palestinian Territories,Middle East,Female,3
2010-07-01,2010,3,Occupied Palestinian Territories,Middle East,Male,35
2010-07-01,2010,3,Pakistan,Asia South,Female,94
2010-07-01,2010,3,Pakistan,Asia South,Male,173
2010-07-01,2010,3,Philippines,Asia South East,Female,1
2010-07-01,2010,3,Refugee,Other,Female,5
2010-07-01,2010,3,Refugee,Other,Male,6
2010-07-01,2010,3,Russia,Europe Other,Female,5
2010-07-01,2010,3,Russia,Europe Other,Male,4
2010-07-01,2010,3,Rwanda,Africa Sub-Saharan,Female,3
2010-07-01,2010,3,Rwanda,Africa Sub-Saharan,Male,4
2010-07-01,2010,3,Saudi Arabia,Middle East,Male,1
2010-07-01,2010,3,Senegal,Africa Sub-Saharan,Female,1
