Date,Year,Quarter,Nationality,Region,Raised or resolved,Raised type / Resolved outcome,Age disputes
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Resolved,18+,6
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,6
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Resolved,18+,3
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Resolved,Less than 18,5
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Resolved,18+,3
2010-01-01,2010,1,India,Asia South,Raised,Asylum application raised in quarter,2
2010-01-01,2010,1,India,Asia South,Resolved,Less than 18,1
2010-01-01,2010,1,India,Asia South,Resolved,18+,1
2010-01-01,2010,1,Iran,Middle East,Raised,Asylum application raised in quarter,10
2010-01-01,2010,1,Iran,Middle East,Resolved,Less than 18,38
2010-01-01,2010,1,Iran,Middle East,Resolved,18+,13
2010-01-01,2010,1,Iraq,Middle East,Raised,Existing asylum application,2
2010-01-01,2010,1,Iraq,Middle East,Raised,Asylum application raised in quarter,4
2010-01-01,2010,1,Iraq,Middle East,Resolved,Less than 18,49
2010-01-01,2010,1,Iraq,Middle East,Resolved,18+,13
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Resolved,Less than 18,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-01-01,2010,1,Korea (North),Asia East,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Korea (North),Asia East,Resolved,Less than 18,1
2010-01-01,2010,1,Kosovo,Europe Other,Resolved,Less than 18,2
2010-01-01,2010,1,Kosovo,Europe Other,Resolved,18+,2
2010-01-01,2010,1,Kuwait,Middle East,Raised,Existing asylum application,1
2010-01-01,2010,1,Kuwait,Middle East,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Kuwait,Middle East,Resolved,Less than 18,1
2010-01-01,2010,1,Kuwait,Middle East,Resolved,18+,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Resolved,Less than 18,2
2010-01-01,2010,1,Moldova,Europe Other,Resolved,Less than 18,1
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Raised,Existing asylum application,2
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,4
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,3
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Resolved,18+,5
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Raised,Asylum application raised in quarter,2
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Resolved,Less than 18,1
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Resolved,18+,2
2010-01-01,2010,1,Other and unknown,Other,Raised,Existing asylum application,1
2010-01-01,2010,1,Pakistan,Asia South,Raised,Existing asylum application,1
2010-01-01,2010,1,Pakistan,Asia South,Raised,Asylum application raised in quarter,2
2010-01-01,2010,1,Pakistan,Asia South,Resolved,Less than 18,1
2010-01-01,2010,1,Pakistan,Asia South,Resolved,18+,3
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,3
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,3
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,11
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Resolved,Less than 18,12
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Resolved,18+,8
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Sri Lanka,Asia South,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Sri Lanka,Asia South,Resolved,Less than 18,2
2010-01-01,2010,1,Sri Lanka,Asia South,Resolved,18+,1
2010-01-01,2010,1,Sudan,Africa North,Raised,Existing asylum application,1
2010-01-01,2010,1,Sudan,Africa North,Raised,Asylum application raised in quarter,3
2010-01-01,2010,1,Sudan,Africa North,Resolved,Less than 18,6
2010-01-01,2010,1,Sudan,Africa North,Resolved,18+,4
2010-01-01,2010,1,Syria,Middle East,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Syria,Middle East,Resolved,Less than 18,1
2010-01-01,2010,1,Syria,Middle East,Resolved,18+,1
2010-01-01,2010,1,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Turkey,Europe Other,Resolved,Less than 18,1
2010-01-01,2010,1,Turkey,Europe Other,Resolved,18+,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Resolved,Less than 18,4
2010-01-01,2010,1,Vietnam,Asia South East,Raised,Existing asylum application,1
2010-01-01,2010,1,Vietnam,Asia South East,Raised,Asylum application raised in quarter,6
2010-01-01,2010,1,Vietnam,Asia South East,Resolved,Less than 18,6
2010-01-01,2010,1,Vietnam,Asia South East,Resolved,18+,6
2010-01-01,2010,1,Western Sahara,Africa North,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Western Sahara,Africa North,Resolved,Less than 18,1
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Resolved,18+,2
2010-04-01,2010,2,Afghanistan,Asia Central,Raised,Existing asylum application,10
2010-04-01,2010,2,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,44
2010-04-01,2010,2,Afghanistan,Asia Central,Resolved,Less than 18,51
2010-04-01,2010,2,Afghanistan,Asia Central,Resolved,18+,49
2010-04-01,2010,2,Albania,Europe Other,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Albania,Europe Other,Resolved,Less than 18,2
2010-04-01,2010,2,Albania,Europe Other,Resolved,18+,2
2010-04-01,2010,2,Algeria,Africa North,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Algeria,Africa North,Resolved,Less than 18,1
2010-04-01,2010,2,Algeria,Africa North,Resolved,18+,3
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Bangladesh,Asia South,Raised,Existing asylum application,1
2010-04-01,2010,2,Bangladesh,Asia South,Resolved,18+,1
2010-04-01,2010,2,British overseas citizens,Other,Resolved,18+,1
2010-04-01,2010,2,Bulgaria,EU 2,Resolved,Less than 18,1
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,China,Asia East,Raised,Existing asylum application,2
2010-04-01,2010,2,China,Asia East,Raised,Asylum application raised in quarter,7
2010-04-01,2010,2,China,Asia East,Resolved,Less than 18,13
2010-04-01,2010,2,China,Asia East,Resolved,18+,8
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Existing asylum application,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,8
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,3
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,7
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,17
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Resolved,18+,7
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,8
2010-04-01,2010,2,Former Yugoslavia,Europe Other,Resolved,Less than 18,1
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Resolved,18+,2
2010-04-01,2010,2,India,Asia South,Resolved,Less than 18,1
2010-04-01,2010,2,India,Asia South,Resolved,18+,2
2010-04-01,2010,2,Iran,Middle East,Raised,Existing asylum application,1
2010-04-01,2010,2,Iran,Middle East,Raised,Asylum application raised in quarter,5
2010-04-01,2010,2,Iran,Middle East,Resolved,Less than 18,64
2010-04-01,2010,2,Iran,Middle East,Resolved,18+,18
2010-04-01,2010,2,Iraq,Middle East,Raised,Existing asylum application,2
2010-04-01,2010,2,Iraq,Middle East,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Iraq,Middle East,Resolved,Less than 18,45
2010-04-01,2010,2,Iraq,Middle East,Resolved,18+,17
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Korea (North),Asia East,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Korea (North),Asia East,Resolved,Less than 18,1
2010-04-01,2010,2,Kosovo,Europe Other,Resolved,Less than 18,1
2010-04-01,2010,2,Kosovo,Europe Other,Resolved,18+,1
2010-04-01,2010,2,Liberia,Africa Sub-Saharan,Resolved,Less than 18,3
2010-04-01,2010,2,Liberia,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Libya,Africa North,Resolved,18+,1
2010-04-01,2010,2,Morocco,Africa North,Resolved,Less than 18,1
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,4
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Resolved,18+,3
2010-04-01,2010,2,Occupied Palestinian Territories,Middle East,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Other and unknown,Other,Resolved,18+,1
2010-04-01,2010,2,Pakistan,Asia South,Resolved,Less than 18,3
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,4
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Sierra Leone,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,5
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Resolved,Less than 18,4
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Resolved,18+,10
2010-04-01,2010,2,Sri Lanka,Asia South,Raised,Asylum application raised in quarter,1
2010-04-01,2010,2,Sri Lanka,Asia South,Resolved,Less than 18,2
2010-04-01,2010,2,Sri Lanka,Asia South,Resolved,18+,2
2010-04-01,2010,2,Sudan,Africa North,Resolved,Less than 18,9
2010-04-01,2010,2,Syria,Middle East,Resolved,Less than 18,4
2010-04-01,2010,2,Tanzania,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-04-01,2010,2,Tanzania,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Togo,Africa Sub-Saharan,Resolved,Less than 18,1
2010-04-01,2010,2,Turkey,Europe Other,Resolved,Less than 18,3
2010-04-01,2010,2,Turkey,Europe Other,Resolved,18+,1
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Resolved,Less than 18,4
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Resolved,18+,1
2010-04-01,2010,2,Vietnam,Asia South East,Raised,Existing asylum application,2
2010-04-01,2010,2,Vietnam,Asia South East,Raised,Asylum application raised in quarter,13
2010-04-01,2010,2,Vietnam,Asia South East,Resolved,Less than 18,4
2010-04-01,2010,2,Vietnam,Asia South East,Resolved,18+,15
2010-07-01,2010,3,Afghanistan,Asia Central,Raised,Existing asylum application,3
2010-07-01,2010,3,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,35
2010-07-01,2010,3,Afghanistan,Asia Central,Resolved,Less than 18,47
2010-07-01,2010,3,Afghanistan,Asia Central,Resolved,18+,37
2010-07-01,2010,3,Albania,Europe Other,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Albania,Europe Other,Resolved,Less than 18,4
2010-07-01,2010,3,Albania,Europe Other,Resolved,18+,1
2010-07-01,2010,3,Algeria,Africa North,Raised,Asylum application raised in quarter,5
2010-07-01,2010,3,Algeria,Africa North,Resolved,Less than 18,1
2010-07-01,2010,3,Algeria,Africa North,Resolved,18+,4
2010-07-01,2010,3,Angola,Africa Sub-Saharan,Resolved,Less than 18,4
2010-07-01,2010,3,Angola,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,China,Asia East,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,China,Asia East,Resolved,Less than 18,19
2010-07-01,2010,3,China,Asia East,Resolved,18+,15
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,7
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,3
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,5
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,15
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Resolved,18+,6
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,5
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Former Yugoslavia,Europe Other,Resolved,Less than 18,1
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Resolved,Less than 18,8
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,India,Asia South,Raised,Asylum application raised in quarter,3
2010-07-01,2010,3,India,Asia South,Resolved,Less than 18,5
2010-07-01,2010,3,India,Asia South,Resolved,18+,2
2010-07-01,2010,3,Iran,Middle East,Raised,Existing asylum application,3
2010-07-01,2010,3,Iran,Middle East,Raised,Asylum application raised in quarter,21
2010-07-01,2010,3,Iran,Middle East,Resolved,Less than 18,106
2010-07-01,2010,3,Iran,Middle East,Resolved,18+,41
2010-07-01,2010,3,Iraq,Middle East,Raised,Existing asylum application,2
2010-07-01,2010,3,Iraq,Middle East,Raised,Asylum application raised in quarter,3
2010-07-01,2010,3,Iraq,Middle East,Resolved,Less than 18,59
2010-07-01,2010,3,Iraq,Middle East,Resolved,18+,19
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Raised,Existing asylum application,2
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Resolved,Less than 18,1
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Resolved,18+,3
2010-07-01,2010,3,Kosovo,Europe Other,Resolved,Less than 18,3
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,Resolved,Less than 18,4
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Morocco,Africa North,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Morocco,Africa North,Resolved,18+,1
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,4
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Resolved,18+,3
2010-07-01,2010,3,Occupied Palestinian Territories,Middle East,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Occupied Palestinian Territories,Middle East,Resolved,Less than 18,1
2010-07-01,2010,3,Occupied Palestinian Territories,Middle East,Resolved,18+,1
2010-07-01,2010,3,Pakistan,Asia South,Resolved,Less than 18,3
2010-07-01,2010,3,Romania,EU 2,Resolved,Less than 18,4
2010-07-01,2010,3,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,2
2010-07-01,2010,3,Serbia,Europe Other,Resolved,Less than 18,1
2010-07-01,2010,3,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,3
2010-07-01,2010,3,Sierra Leone,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Resolved,Less than 18,18
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Resolved,18+,5
2010-07-01,2010,3,Spain,EU 14,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Spain,EU 14,Resolved,18+,2
2010-07-01,2010,3,Sri Lanka,Asia South,Raised,Asylum application raised in quarter,2
2010-07-01,2010,3,Sri Lanka,Asia South,Resolved,Less than 18,6
2010-07-01,2010,3,Sri Lanka,Asia South,Resolved,18+,2
2010-07-01,2010,3,Sudan,Africa North,Raised,Asylum application raised in quarter,3
2010-07-01,2010,3,Sudan,Africa North,Resolved,Less than 18,5
2010-07-01,2010,3,Sudan,Africa North,Resolved,18+,3
2010-07-01,2010,3,Syria,Middle East,Raised,Asylum application raised in quarter,1
2010-07-01,2010,3,Syria,Middle East,Resolved,Less than 18,5
2010-07-01,2010,3,Syria,Middle East,Resolved,18+,3
2010-07-01,2010,3,Togo,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,Resolved,Less than 18,2
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,Resolved,18+,1
2010-07-01,2010,3,Vietnam,Asia South East,Raised,Asylum application raised in quarter,24
2010-07-01,2010,3,Vietnam,Asia South East,Resolved,Less than 18,5
2010-07-01,2010,3,Vietnam,Asia South East,Resolved,18+,23
2010-07-01,2010,3,Zimbabwe,Africa Sub-Saharan,Resolved,Less than 18,2
2010-10-01,2010,4,Afghanistan,Asia Central,Raised,Existing asylum application,7
2010-10-01,2010,4,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,25
2010-10-01,2010,4,Afghanistan,Asia Central,Resolved,Less than 18,45
2010-10-01,2010,4,Afghanistan,Asia Central,Resolved,18+,38
2010-10-01,2010,4,Albania,Europe Other,Raised,Asylum application raised in quarter,5
2010-10-01,2010,4,Albania,Europe Other,Resolved,Less than 18,3
2010-10-01,2010,4,Albania,Europe Other,Resolved,18+,7
2010-10-01,2010,4,Algeria,Africa North,Raised,Asylum application raised in quarter,4
2010-10-01,2010,4,Algeria,Africa North,Resolved,Less than 18,1
2010-10-01,2010,4,Algeria,Africa North,Resolved,18+,6
2010-10-01,2010,4,Angola,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-10-01,2010,4,Angola,Africa Sub-Saharan,Resolved,Less than 18,6
2010-10-01,2010,4,Burundi,Africa Sub-Saharan,Resolved,Less than 18,3
2010-10-01,2010,4,Cameroon,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Cameroon,Africa Sub-Saharan,Resolved,Less than 18,1
2010-10-01,2010,4,China,Asia East,Raised,Existing asylum application,1
2010-10-01,2010,4,China,Asia East,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,China,Asia East,Resolved,Less than 18,24
2010-10-01,2010,4,China,Asia East,Resolved,18+,11
2010-10-01,2010,4,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2010-10-01,2010,4,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,9
2010-10-01,2010,4,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,3
2010-10-01,2010,4,Croatia,EU Other,Resolved,18+,1
2010-10-01,2010,4,Egypt,Africa North,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,5
2010-10-01,2010,4,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,11
2010-10-01,2010,4,Eritrea,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,7
2010-10-01,2010,4,Ethiopia,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Former Yugoslavia,Europe Other,Resolved,18+,1
2010-10-01,2010,4,Ghana,Africa Sub-Saharan,Resolved,Less than 18,1
2010-10-01,2010,4,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Guinea,Africa Sub-Saharan,Resolved,Less than 18,3
2010-10-01,2010,4,Guinea,Africa Sub-Saharan,Resolved,18+,3
2010-10-01,2010,4,India,Asia South,Resolved,Less than 18,2
2010-10-01,2010,4,India,Asia South,Resolved,18+,2
2010-10-01,2010,4,Iran,Middle East,Raised,Asylum application raised in quarter,15
2010-10-01,2010,4,Iran,Middle East,Resolved,Less than 18,41
2010-10-01,2010,4,Iran,Middle East,Resolved,18+,20
2010-10-01,2010,4,Iraq,Middle East,Raised,Existing asylum application,1
2010-10-01,2010,4,Iraq,Middle East,Raised,Asylum application raised in quarter,6
2010-10-01,2010,4,Iraq,Middle East,Resolved,Less than 18,28
2010-10-01,2010,4,Iraq,Middle East,Resolved,18+,14
2010-10-01,2010,4,Ivory Coast,Africa Sub-Saharan,Resolved,Less than 18,2
2010-10-01,2010,4,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Kenya,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Kosovo,Europe Other,Resolved,Less than 18,1
2010-10-01,2010,4,Kosovo,Europe Other,Resolved,18+,1
2010-10-01,2010,4,Kuwait,Middle East,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Kuwait,Middle East,Resolved,Less than 18,1
2010-10-01,2010,4,Lebanon,Middle East,Resolved,Less than 18,1
2010-10-01,2010,4,Liberia,Africa Sub-Saharan,Resolved,Less than 18,5
2010-10-01,2010,4,Macedonia,Europe Other,Resolved,Less than 18,2
2010-10-01,2010,4,Macedonia,Europe Other,Resolved,18+,1
2010-10-01,2010,4,Mauritania,Africa North,Resolved,Less than 18,1
2010-10-01,2010,4,Moldova,Europe Other,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Moldova,Europe Other,Resolved,Less than 18,2
2010-10-01,2010,4,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,2
2010-10-01,2010,4,Nigeria,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Occupied Palestinian Territories,Middle East,Resolved,18+,1
2010-10-01,2010,4,Pakistan,Asia South,Resolved,Less than 18,2
2010-10-01,2010,4,Refugee,Other,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Refugee,Other,Resolved,18+,1
2010-10-01,2010,4,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,2
2010-10-01,2010,4,Rwanda,Africa Sub-Saharan,Resolved,18+,1
2010-10-01,2010,4,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,2
2010-10-01,2010,4,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-10-01,2010,4,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,5
2010-10-01,2010,4,Somalia,Africa Sub-Saharan,Resolved,Less than 18,11
2010-10-01,2010,4,Somalia,Africa Sub-Saharan,Resolved,18+,4
2010-10-01,2010,4,Sri Lanka,Asia South,Raised,Existing asylum application,1
2010-10-01,2010,4,Sri Lanka,Asia South,Raised,Asylum application raised in quarter,2
2010-10-01,2010,4,Sri Lanka,Asia South,Resolved,Less than 18,3
2010-10-01,2010,4,Sri Lanka,Asia South,Resolved,18+,2
2010-10-01,2010,4,Stateless,Other,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Stateless,Other,Resolved,18+,1
2010-10-01,2010,4,Sudan,Africa North,Resolved,Less than 18,3
2010-10-01,2010,4,Syria,Middle East,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Syria,Middle East,Resolved,Less than 18,2
2010-10-01,2010,4,Syria,Middle East,Resolved,18+,2
2010-10-01,2010,4,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2010-10-01,2010,4,Turkey,Europe Other,Resolved,Less than 18,1
