Year,Nationality,Region,Support type granted,Group type,Applications
2013,Bolivia,America Central and South,Accommodation,Single adult,1
2013,Bolivia,America Central and South,Subsistence Only,Family,1
2013,Bosnia and Herzegovina,Europe Other,Closed / Invalid,Single adult,1
2013,Botswana,Africa Sub-Saharan,Accommodation,Family,2
2013,Botswana,Africa Sub-Saharan,Accommodation,Single adult,1
2013,Brazil,America Central and South,Accommodation,Family,2
2013,Brazil,America Central and South,Accommodation,Single adult,4
2013,Brazil,America Central and South,Subsistence Only,Family,1
2013,Burkina,Africa Sub-Saharan,Accommodation,Single adult,1
2013,Burma,Asia South East,Accommodation,Family,3
2013,Burma,Asia South East,Accommodation,Single adult,5
2013,Burma,Asia South East,Closed / Invalid,Single adult,3
2013,Burma,Asia South East,Subsistence Only,Single adult,1
2013,Burundi,Africa Sub-Saharan,Accommodation,Family,1
2013,Burundi,Africa Sub-Saharan,Accommodation,Single adult,3
2013,Cameroon,Africa Sub-Saharan,Accommodation,Family,4
2013,Cameroon,Africa Sub-Saharan,Accommodation,Single adult,70
2013,Cameroon,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Cameroon,Africa Sub-Saharan,Closed / Invalid,Single adult,9
2013,Cameroon,Africa Sub-Saharan,Subsistence Only,Single adult,6
2013,Canada,America North,Accommodation,Single adult,2
2013,Central African Republic,Africa Sub-Saharan,Accommodation,Family,1
2013,Central African Republic,Africa Sub-Saharan,Accommodation,Single adult,3
2013,Central African Republic,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2013,Chad,Africa Sub-Saharan,Accommodation,Single adult,15
2013,China,Asia East,Accommodation,Family,232
2013,China,Asia East,Accommodation,Single adult,119
2013,China,Asia East,Closed / Invalid,Family,4
2013,China,Asia East,Closed / Invalid,Single adult,36
2013,China,Asia East,Subsistence Only,Family,6
2013,China,Asia East,Subsistence Only,Single adult,11
2013,Colombia,America Central and South,Accommodation,Single adult,2
2013,Colombia,America Central and South,Closed / Invalid,Single adult,2
2013,Colombia,America Central and South,Subsistence Only,Single adult,1
2013,Comoros,Africa Sub-Saharan,Accommodation,Single adult,1
2013,Congo,Africa Sub-Saharan,Accommodation,Family,15
2013,Congo,Africa Sub-Saharan,Accommodation,Single adult,59
2013,Congo,Africa Sub-Saharan,Closed / Invalid,Single adult,12
2013,Congo,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Congo,Africa Sub-Saharan,Subsistence Only,Single adult,6
2013,Congo (Democratic Republic),Africa Sub-Saharan,Accommodation,Family,13
2013,Congo (Democratic Republic),Africa Sub-Saharan,Accommodation,Single adult,63
2013,Congo (Democratic Republic),Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Congo (Democratic Republic),Africa Sub-Saharan,Closed / Invalid,Single adult,14
2013,Congo (Democratic Republic),Africa Sub-Saharan,Subsistence Only,Family,4
2013,Congo (Democratic Republic),Africa Sub-Saharan,Subsistence Only,Single adult,23
2013,Cuba,America Central and South,Accommodation,Single adult,1
2013,Cuba,America Central and South,Closed / Invalid,Single adult,1
2013,Cyprus (Northern part of),Europe Other,Accommodation,Single adult,3
2013,Cyprus (Northern part of),Europe Other,Closed / Invalid,Single adult,1
2013,Dominica,America Central and South,Accommodation,Family,1
2013,Egypt,Africa North,Accommodation,Family,20
2013,Egypt,Africa North,Accommodation,Single adult,74
2013,Egypt,Africa North,Closed / Invalid,Single adult,25
2013,Egypt,Africa North,Subsistence Only,Family,7
2013,Egypt,Africa North,Subsistence Only,Single adult,13
2013,El Salvador,America Central and South,Accommodation,Family,3
2013,El Salvador,America Central and South,Accommodation,Single adult,3
2013,Equatorial Guinea,Africa Sub-Saharan,Accommodation,Family,1
2013,Eritrea,Africa Sub-Saharan,Accommodation,Family,41
2013,Eritrea,Africa Sub-Saharan,Accommodation,Single adult,1136
2013,Eritrea,Africa Sub-Saharan,Closed / Invalid,Single adult,31
2013,Eritrea,Africa Sub-Saharan,Subsistence Only,Single adult,10
2013,Ethiopia,Africa Sub-Saharan,Accommodation,Family,7
2013,Ethiopia,Africa Sub-Saharan,Accommodation,Single adult,119
2013,Ethiopia,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Ethiopia,Africa Sub-Saharan,Closed / Invalid,Single adult,4
2013,Ethiopia,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,"Gambia, The",Africa Sub-Saharan,Accommodation,Family,55
2013,"Gambia, The",Africa Sub-Saharan,Accommodation,Single adult,84
2013,"Gambia, The",Africa Sub-Saharan,Closed / Invalid,Family,3
2013,"Gambia, The",Africa Sub-Saharan,Closed / Invalid,Single adult,19
2013,"Gambia, The",Africa Sub-Saharan,Subsistence Only,Family,8
2013,"Gambia, The",Africa Sub-Saharan,Subsistence Only,Single adult,6
2013,Georgia,Europe Other,Accommodation,Family,5
2013,Georgia,Europe Other,Accommodation,Single adult,4
2013,Georgia,Europe Other,Closed / Invalid,Single adult,2
2013,Georgia,Europe Other,Subsistence Only,Single adult,2
2013,Ghana,Africa Sub-Saharan,Accommodation,Family,14
2013,Ghana,Africa Sub-Saharan,Accommodation,Single adult,40
2013,Ghana,Africa Sub-Saharan,Closed / Invalid,Single adult,10
2013,Ghana,Africa Sub-Saharan,Subsistence Only,Family,4
2013,Ghana,Africa Sub-Saharan,Subsistence Only,Single adult,4
2013,Grenada,America Central and South,Accommodation,Single adult,2
2013,Guinea,Africa Sub-Saharan,Accommodation,Family,11
2013,Guinea,Africa Sub-Saharan,Accommodation,Single adult,46
2013,Guinea,Africa Sub-Saharan,Closed / Invalid,Single adult,4
2013,Guinea,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Guinea,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Guyana,America Central and South,Accommodation,Family,2
2013,Guyana,America Central and South,Accommodation,Single adult,2
2013,Guyana,America Central and South,Subsistence Only,Single adult,1
2013,Honduras,America Central and South,Accommodation,Family,1
2013,Hong Kong,Asia East,Accommodation,Single adult,1
2013,India,Asia South,Accommodation,Family,37
2013,India,Asia South,Accommodation,Single adult,78
2013,India,Asia South,Closed / Invalid,Single adult,31
2013,India,Asia South,Subsistence Only,Family,5
2013,India,Asia South,Subsistence Only,Single adult,7
2013,Indonesia,Asia South East,Accommodation,Single adult,1
2013,Indonesia,Asia South East,Subsistence Only,Single adult,1
2013,Iran,Middle East,Accommodation,Family,203
2013,Iran,Middle East,Accommodation,Single adult,1707
2013,Iran,Middle East,Closed / Invalid,Family,7
2013,Iran,Middle East,Closed / Invalid,Single adult,164
2013,Iran,Middle East,Subsistence Only,Family,17
2013,Iran,Middle East,Subsistence Only,Single adult,133
2013,Iraq,Middle East,Accommodation,Family,40
2013,Iraq,Middle East,Accommodation,Single adult,149
2013,Iraq,Middle East,Closed / Invalid,Family,1
2013,Iraq,Middle East,Closed / Invalid,Single adult,39
2013,Iraq,Middle East,Subsistence Only,Family,10
2013,Iraq,Middle East,Subsistence Only,Single adult,42
2013,Israel,Middle East,Accommodation,Family,2
2013,Israel,Middle East,Accommodation,Single adult,1
2013,Israel,Middle East,Closed / Invalid,Single adult,1
2013,Ivory Coast,Africa Sub-Saharan,Accommodation,Family,5
2013,Ivory Coast,Africa Sub-Saharan,Accommodation,Single adult,39
2013,Ivory Coast,Africa Sub-Saharan,Closed / Invalid,Single adult,6
2013,Ivory Coast,Africa Sub-Saharan,Subsistence Only,Family,2
2013,Ivory Coast,Africa Sub-Saharan,Subsistence Only,Single adult,5
2013,Jamaica,America Central and South,Accommodation,Family,4
2013,Jamaica,America Central and South,Accommodation,Single adult,21
2013,Jamaica,America Central and South,Closed / Invalid,Single adult,8
2013,Jamaica,America Central and South,Subsistence Only,Family,1
2013,Jamaica,America Central and South,Subsistence Only,Single adult,11
2013,Japan,Asia East,Accommodation,Single adult,1
2013,Jordan,Middle East,Accommodation,Family,2
2013,Jordan,Middle East,Accommodation,Single adult,8
2013,Jordan,Middle East,Closed / Invalid,Single adult,5
2013,Kazakhstan,Asia Central,Accommodation,Family,2
2013,Kazakhstan,Asia Central,Accommodation,Single adult,2
2013,Kazakhstan,Asia Central,Closed / Invalid,Single adult,1
2013,Kenya,Africa Sub-Saharan,Accommodation,Family,14
2013,Kenya,Africa Sub-Saharan,Accommodation,Single adult,19
2013,Kenya,Africa Sub-Saharan,Closed / Invalid,Single adult,4
2013,Korea (North),Asia East,Accommodation,Family,8
2013,Korea (North),Asia East,Accommodation,Single adult,9
2013,Korea (North),Asia East,Closed / Invalid,Single adult,4
2013,Korea (North),Asia East,Subsistence Only,Single adult,2
2013,Korea (South),Asia East,Accommodation,Family,2
2013,Korea (South),Asia East,Accommodation,Single adult,4
2013,Kosovo,Europe Other,Accommodation,Family,1
2013,Kosovo,Europe Other,Accommodation,Single adult,6
2013,Kosovo,Europe Other,Subsistence Only,Family,2
2013,Kosovo,Europe Other,Subsistence Only,Single adult,1
2013,Kuwait,Middle East,Accommodation,Family,19
2013,Kuwait,Middle East,Accommodation,Single adult,209
2013,Kuwait,Middle East,Closed / Invalid,Single adult,15
2013,Kuwait,Middle East,Subsistence Only,Family,7
2013,Kuwait,Middle East,Subsistence Only,Single adult,23
2013,Kyrgyzstan,Asia Central,Accommodation,Family,1
2013,Laos,Asia South East,Accommodation,Single adult,1
2013,Lebanon,Middle East,Accommodation,Family,10
2013,Lebanon,Middle East,Accommodation,Single adult,9
2013,Lebanon,Middle East,Closed / Invalid,Single adult,4
2013,Lebanon,Middle East,Subsistence Only,Family,3
2013,Lebanon,Middle East,Subsistence Only,Single adult,7
2013,Liberia,Africa Sub-Saharan,Accommodation,Family,1
2013,Liberia,Africa Sub-Saharan,Accommodation,Single adult,4
2013,Liberia,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Liberia,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2013,Liberia,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Liberia,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Libya,Africa North,Accommodation,Family,38
2013,Libya,Africa North,Accommodation,Single adult,104
2013,Libya,Africa North,Closed / Invalid,Family,6
2013,Libya,Africa North,Closed / Invalid,Single adult,23
2013,Libya,Africa North,Subsistence Only,Family,2
2013,Libya,Africa North,Subsistence Only,Single adult,9
2013,Lithuania,EU 8,Accommodation,Single adult,1
2013,Malawi,Africa Sub-Saharan,Accommodation,Family,36
2013,Malawi,Africa Sub-Saharan,Accommodation,Single adult,23
2013,Malawi,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Malawi,Africa Sub-Saharan,Closed / Invalid,Single adult,12
2013,Malawi,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Malawi,Africa Sub-Saharan,Subsistence Only,Single adult,2
2013,Malaysia,Asia South East,Accommodation,Family,4
2013,Malaysia,Asia South East,Accommodation,Single adult,4
2013,Malaysia,Asia South East,Closed / Invalid,Single adult,1
2013,Mali,Africa Sub-Saharan,Accommodation,Single adult,12
2013,Mali,Africa Sub-Saharan,Closed / Invalid,Single adult,2
2013,Mali,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Mauritania,Africa North,Accommodation,Single adult,4
2013,Mauritania,Africa North,Closed / Invalid,Single adult,1
2013,Mauritius,Africa Sub-Saharan,Accommodation,Family,3
2013,Mauritius,Africa Sub-Saharan,Accommodation,Single adult,4
2013,Mauritius,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Mexico,America Central and South,Accommodation,Single adult,4
2013,Mexico,America Central and South,Closed / Invalid,Single adult,1
2013,Mongolia,Asia East,Accommodation,Family,4
2013,Mongolia,Asia East,Accommodation,Single adult,5
2013,Mongolia,Asia East,Closed / Invalid,Single adult,7
2013,Mongolia,Asia East,Subsistence Only,Single adult,1
2013,Morocco,Africa North,Accommodation,Family,3
2013,Morocco,Africa North,Accommodation,Single adult,21
2013,Morocco,Africa North,Closed / Invalid,Single adult,10
2013,Morocco,Africa North,Subsistence Only,Single adult,1
2013,Mozambique,Africa Sub-Saharan,Accommodation,Single adult,1
2013,Namibia,Africa Sub-Saharan,Accommodation,Family,4
2013,Namibia,Africa Sub-Saharan,Accommodation,Single adult,4
2013,Namibia,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Nepal,Asia South,Accommodation,Family,3
2013,Nepal,Asia South,Accommodation,Single adult,5
2013,Nepal,Asia South,Subsistence Only,Single adult,1
2013,Niger,Africa Sub-Saharan,Accommodation,Family,1
2013,Niger,Africa Sub-Saharan,Accommodation,Single adult,3
2013,Nigeria,Africa Sub-Saharan,Accommodation,Family,232
2013,Nigeria,Africa Sub-Saharan,Accommodation,Single adult,190
2013,Nigeria,Africa Sub-Saharan,Closed / Invalid,Family,4
2013,Nigeria,Africa Sub-Saharan,Closed / Invalid,Single adult,42
2013,Nigeria,Africa Sub-Saharan,Subsistence Only,Family,10
2013,Nigeria,Africa Sub-Saharan,Subsistence Only,Single adult,28
2013,Occupied Palestinian Territories,Middle East,Accommodation,Family,11
2013,Occupied Palestinian Territories,Middle East,Accommodation,Single adult,52
2013,Occupied Palestinian Territories,Middle East,Closed / Invalid,Single adult,9
2013,Occupied Palestinian Territories,Middle East,Subsistence Only,Single adult,5
2013,Other and Unknown,Other,Accommodation,Family,7
2013,Other and Unknown,Other,Accommodation,Single adult,34
2013,Other and Unknown,Other,Closed / Invalid,Single adult,21
2013,Other and Unknown,Other,Subsistence Only,Single adult,5
2013,Pakistan,Asia South,Accommodation,Family,356
2013,Pakistan,Asia South,Accommodation,Single adult,532
2013,Pakistan,Asia South,Closed / Invalid,Family,16
2013,Pakistan,Asia South,Closed / Invalid,Single adult,181
2013,Pakistan,Asia South,Subsistence Only,Family,53
2013,Pakistan,Asia South,Subsistence Only,Single adult,135
2013,Peru,America Central and South,Accommodation,Single adult,1
2013,Philippines,Asia South East,Accommodation,Single adult,2
2013,Philippines,Asia South East,Closed / Invalid,Family,1
2013,Qatar,Middle East,Accommodation,Single adult,1
2013,Romania,EU 2,Accommodation,Single adult,3
2013,Romania,EU 2,Closed / Invalid,Single adult,1
2013,Russia,Europe Other,Accommodation,Family,15
2013,Russia,Europe Other,Accommodation,Single adult,32
2013,Russia,Europe Other,Closed / Invalid,Single adult,3
2013,Russia,Europe Other,Subsistence Only,Family,1
2013,Russia,Europe Other,Subsistence Only,Single adult,4
2013,Rwanda,Africa Sub-Saharan,Accommodation,Family,1
2013,Rwanda,Africa Sub-Saharan,Accommodation,Single adult,7
2013,Rwanda,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2013,Rwanda,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Saudi Arabia,Middle East,Accommodation,Family,2
2013,Saudi Arabia,Middle East,Accommodation,Single adult,7
2013,Saudi Arabia,Middle East,Closed / Invalid,Single adult,4
2013,Saudi Arabia,Middle East,Subsistence Only,Single adult,2
2013,Senegal,Africa Sub-Saharan,Accommodation,Family,4
2013,Senegal,Africa Sub-Saharan,Accommodation,Single adult,13
2013,Senegal,Africa Sub-Saharan,Subsistence Only,Single adult,2
2013,Sierra Leone,Africa Sub-Saharan,Accommodation,Family,17
2013,Sierra Leone,Africa Sub-Saharan,Accommodation,Single adult,42
2013,Sierra Leone,Africa Sub-Saharan,Closed / Invalid,Single adult,7
2013,Sierra Leone,Africa Sub-Saharan,Subsistence Only,Single adult,2
2013,Slovakia,EU 8,Closed / Invalid,Single adult,1
2013,Somalia,Africa Sub-Saharan,Accommodation,Family,29
2013,Somalia,Africa Sub-Saharan,Accommodation,Single adult,219
2013,Somalia,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Somalia,Africa Sub-Saharan,Closed / Invalid,Single adult,37
2013,Somalia,Africa Sub-Saharan,Subsistence Only,Family,5
2013,Somalia,Africa Sub-Saharan,Subsistence Only,Single adult,60
2013,South Africa,Africa Sub-Saharan,Accommodation,Family,5
2013,South Africa,Africa Sub-Saharan,Accommodation,Single adult,11
2013,South Africa,Africa Sub-Saharan,Closed / Invalid,Single adult,5
2013,South Africa,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Sri Lanka,Asia South,Accommodation,Family,112
2013,Sri Lanka,Asia South,Accommodation,Single adult,236
2013,Sri Lanka,Asia South,Closed / Invalid,Family,2
2013,Sri Lanka,Asia South,Closed / Invalid,Single adult,92
2013,Sri Lanka,Asia South,Subsistence Only,Family,21
2013,Sri Lanka,Asia South,Subsistence Only,Single adult,97
2013,St. Kitts and Nevis,America Central and South,Accommodation,Family,1
2013,St. Lucia,America Central and South,Accommodation,Single adult,2
2013,St. Vincent and the Grenadines,America Central and South,Accommodation,Single adult,1
2013,St. Vincent and the Grenadines,America Central and South,Subsistence Only,Single adult,2
2013,Stateless,Other,Accommodation,Family,1
2013,Stateless,Other,Accommodation,Single adult,16
2013,Stateless,Other,Subsistence Only,Single adult,1
2013,Sudan,Africa North,Accommodation,Family,32
2013,Sudan,Africa North,Accommodation,Single adult,619
2013,Sudan,Africa North,Closed / Invalid,Single adult,15
2013,Sudan,Africa North,Subsistence Only,Single adult,15
2013,Sudan (South),Africa Sub-Saharan,Accommodation,Single adult,1
2013,Swaziland,Africa Sub-Saharan,Accommodation,Single adult,1
2013,Swaziland,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Syria,Middle East,Accommodation,Family,57
2013,Syria,Middle East,Accommodation,Single adult,813
2013,Syria,Middle East,Closed / Invalid,Family,1
2013,Syria,Middle East,Closed / Invalid,Single adult,60
2013,Syria,Middle East,Subsistence Only,Family,11
2013,Syria,Middle East,Subsistence Only,Single adult,56
2013,Tanzania,Africa Sub-Saharan,Accommodation,Family,7
2013,Tanzania,Africa Sub-Saharan,Accommodation,Single adult,13
2013,Tanzania,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Tanzania,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2013,Tanzania,Africa Sub-Saharan,Subsistence Only,Single adult,3
2013,Thailand,Asia South East,Accommodation,Single adult,3
2013,Thailand,Asia South East,Closed / Invalid,Single adult,1
2013,Thailand,Asia South East,Subsistence Only,Single adult,1
2013,Togo,Africa Sub-Saharan,Accommodation,Single adult,4
2013,Togo,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2013,Togo,Africa Sub-Saharan,Subsistence Only,Single adult,1
2013,Trinidad and Tobago,America Central and South,Accommodation,Family,3
2013,Trinidad and Tobago,America Central and South,Accommodation,Single adult,3
2013,Trinidad and Tobago,America Central and South,Subsistence Only,Single adult,2
2013,Tunisia,Africa North,Accommodation,Family,1
2013,Tunisia,Africa North,Accommodation,Single adult,14
2013,Tunisia,Africa North,Closed / Invalid,Single adult,1
2013,Tunisia,Africa North,Subsistence Only,Family,1
2013,Tunisia,Africa North,Subsistence Only,Single adult,1
2013,Turkey,Europe Other,Accommodation,Family,9
2013,Turkey,Europe Other,Accommodation,Single adult,28
2013,Turkey,Europe Other,Closed / Invalid,Single adult,25
2013,Turkey,Europe Other,Subsistence Only,Family,6
2013,Turkey,Europe Other,Subsistence Only,Single adult,39
2013,Uganda,Africa Sub-Saharan,Accommodation,Family,11
2013,Uganda,Africa Sub-Saharan,Accommodation,Single adult,75
2013,Uganda,Africa Sub-Saharan,Closed / Invalid,Family,1
2013,Uganda,Africa Sub-Saharan,Closed / Invalid,Single adult,20
2013,Uganda,Africa Sub-Saharan,Subsistence Only,Family,3
2013,Uganda,Africa Sub-Saharan,Subsistence Only,Single adult,14
2013,Ukraine,Europe Other,Accommodation,Family,3
2013,Ukraine,Europe Other,Accommodation,Single adult,10
2013,Ukraine,Europe Other,Closed / Invalid,Single adult,2
2013,Ukraine,Europe Other,Subsistence Only,Single adult,3
2013,United Arab Emirates,Middle East,Accommodation,Family,2
2013,United Arab Emirates,Middle East,Accommodation,Single adult,1
2013,United States,America North,Accommodation,Single adult,3
2013,United States,America North,Closed / Invalid,Single adult,4
2013,Uzbekistan,Asia Central,Closed / Invalid,Single adult,3
2013,Venezuela,America Central and South,Accommodation,Family,2
2013,Venezuela,America Central and South,Accommodation,Single adult,1
2013,Vietnam,Asia South East,Accommodation,Family,24
2013,Vietnam,Asia South East,Accommodation,Single adult,57
2013,Vietnam,Asia South East,Closed / Invalid,Family,1
2013,Vietnam,Asia South East,Closed / Invalid,Single adult,17
2013,Vietnam,Asia South East,Subsistence Only,Single adult,3
2013,Western Sahara,Africa North,Accommodation,Single adult,2
2013,Yemen,Middle East,Accommodation,Family,7
2013,Yemen,Middle East,Accommodation,Single adult,19
2013,Yemen,Middle East,Closed / Invalid,Family,1
2013,Yemen,Middle East,Closed / Invalid,Single adult,13
2013,Yemen,Middle East,Subsistence Only,Single adult,5
2013,Zambia,Africa Sub-Saharan,Accommodation,Family,5
2013,Zambia,Africa Sub-Saharan,Accommodation,Single adult,6
2013,Zambia,Africa Sub-Saharan,Closed / Invalid,Single adult,5
2013,Zimbabwe,Africa Sub-Saharan,Accommodation,Family,41
2013,Zimbabwe,Africa Sub-Saharan,Accommodation,Single adult,111
2013,Zimbabwe,Africa Sub-Saharan,Closed / Invalid,Family,6
2013,Zimbabwe,Africa Sub-Saharan,Closed / Invalid,Single adult,48
2013,Zimbabwe,Africa Sub-Saharan,Subsistence Only,Family,3
2013,Zimbabwe,Africa Sub-Saharan,Subsistence Only,Single adult,32
2014,Afghanistan,Asia Central,Accommodation,Family,201
2014,Afghanistan,Asia Central,Accommodation,Single adult,391
2014,Afghanistan,Asia Central,Closed / Invalid,Family,2
2014,Afghanistan,Asia Central,Closed / Invalid,Single adult,97
2014,Afghanistan,Asia Central,Subsistence Only,Family,7
2014,Afghanistan,Asia Central,Subsistence Only,Single adult,71
2014,Albania,Europe Other,Accommodation,Family,224
2014,Albania,Europe Other,Accommodation,Single adult,203
2014,Albania,Europe Other,Closed / Invalid,Family,10
2014,Albania,Europe Other,Closed / Invalid,Single adult,66
2014,Albania,Europe Other,Subsistence Only,Family,45
2014,Albania,Europe Other,Subsistence Only,Single adult,32
2014,Algeria,Africa North,Accommodation,Family,16
2014,Algeria,Africa North,Accommodation,Single adult,37
2014,Algeria,Africa North,Closed / Invalid,Family,2
2014,Algeria,Africa North,Closed / Invalid,Single adult,11
2014,Algeria,Africa North,Subsistence Only,Single adult,5
2014,Angola,Africa Sub-Saharan,Accommodation,Family,4
2014,Angola,Africa Sub-Saharan,Accommodation,Single adult,8
2014,Angola,Africa Sub-Saharan,Closed / Invalid,Single adult,6
2014,Angola,Africa Sub-Saharan,Subsistence Only,Single adult,3
2014,Armenia,Europe Other,Accommodation,Family,3
2014,Armenia,Europe Other,Accommodation,Single adult,3
2014,Armenia,Europe Other,Closed / Invalid,Family,1
2014,Armenia,Europe Other,Closed / Invalid,Single adult,1
2014,Armenia,Europe Other,Subsistence Only,Single adult,1
2014,Australia,Oceania,Closed / Invalid,Family,1
2014,Azerbaijan,Europe Other,Accommodation,Family,1
2014,Azerbaijan,Europe Other,Accommodation,Single adult,1
2014,Azerbaijan,Europe Other,Closed / Invalid,Single adult,1
2014,Azerbaijan,Europe Other,Subsistence Only,Single adult,1
2014,Bahrain,Middle East,Accommodation,Single adult,4
2014,Bahrain,Middle East,Closed / Invalid,Single adult,1
2014,Bahrain,Middle East,Subsistence Only,Single adult,1
2014,Bangladesh,Asia South,Accommodation,Family,45
2014,Bangladesh,Asia South,Accommodation,Single adult,42
2014,Bangladesh,Asia South,Closed / Invalid,Family,6
2014,Bangladesh,Asia South,Closed / Invalid,Single adult,45
2014,Bangladesh,Asia South,Subsistence Only,Family,8
2014,Bangladesh,Asia South,Subsistence Only,Single adult,30
2014,Belarus,Europe Other,Accommodation,Single adult,6
2014,Belarus,Europe Other,Closed / Invalid,Single adult,1
2014,Belarus,Europe Other,Subsistence Only,Single adult,1
2014,Belize,America Central and South,Subsistence Only,Family,1
2014,Benin,Africa Sub-Saharan,Accommodation,Single adult,1
2014,Bhutan,Asia South,Accommodation,Single adult,2
2014,Bolivia,America Central and South,Accommodation,Family,1
2014,Bolivia,America Central and South,Subsistence Only,Single adult,2
2014,Botswana,Africa Sub-Saharan,Accommodation,Family,4
2014,Botswana,Africa Sub-Saharan,Accommodation,Single adult,3
2014,Botswana,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2014,Brazil,America Central and South,Accommodation,Family,1
2014,Brazil,America Central and South,Accommodation,Single adult,7
2014,Burkina,Africa Sub-Saharan,Accommodation,Single adult,1
2014,Burma,Asia South East,Accommodation,Family,1
2014,Burma,Asia South East,Accommodation,Single adult,3
2014,Burma,Asia South East,Closed / Invalid,Single adult,4
2014,Burma,Asia South East,Subsistence Only,Single adult,6
2014,Burundi,Africa Sub-Saharan,Accommodation,Family,3
2014,Burundi,Africa Sub-Saharan,Accommodation,Single adult,6
2014,Burundi,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2014,Cameroon,Africa Sub-Saharan,Accommodation,Family,11
2014,Cameroon,Africa Sub-Saharan,Accommodation,Single adult,69
2014,Cameroon,Africa Sub-Saharan,Closed / Invalid,Single adult,11
2014,Cameroon,Africa Sub-Saharan,Subsistence Only,Family,1
2014,Cameroon,Africa Sub-Saharan,Subsistence Only,Single adult,3
2014,Cape Verde,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2014,Central African Republic,Africa Sub-Saharan,Accommodation,Single adult,5
