Date,Year,Quarter,Member State,In / Out,Request / Transfer,Article,Count
2015-03-31,2015,1,Ireland,In,Request,8.2,1
2015-03-31,2015,1,Ireland,In,Request,12,91
2015-03-31,2015,1,Ireland,In,Request,13,2
2015-03-31,2015,1,Ireland,In,Request,16,2
2015-03-31,2015,1,Ireland,In,Request,18.1,17
2015-03-31,2015,1,Ireland,Out,Request,11,2
2015-03-31,2015,1,Ireland,Out,Request,12,1
2015-03-31,2015,1,Ireland,Out,Request,18.1,28
2015-03-31,2015,1,Ireland,In,Transfer,8.1,1
2015-03-31,2015,1,Ireland,In,Transfer,8.2,1
2015-03-31,2015,1,Ireland,In,Transfer,17.2,1
2015-03-31,2015,1,Ireland,Out,Transfer,12,3
2015-03-31,2015,1,Ireland,Out,Transfer,18.1,10
2015-03-31,2015,1,Italy,In,Request,17.2,1
2015-03-31,2015,1,Italy,In,Request,18.1,19
2015-03-31,2015,1,Italy,Out,Request,8.1,1
2015-03-31,2015,1,Italy,Out,Request,10,1
2015-03-31,2015,1,Italy,Out,Request,11,5
2015-03-31,2015,1,Italy,Out,Request,12,10
2015-03-31,2015,1,Italy,Out,Request,13,49
2015-03-31,2015,1,Italy,Out,Request,14,10
2015-03-31,2015,1,Italy,Out,Request,18.1,112
2015-03-31,2015,1,Italy,In,Transfer,18.1,2
2015-03-31,2015,1,Italy,Out,Transfer,9,1
2015-03-31,2015,1,Italy,Out,Transfer,10,7
2015-03-31,2015,1,Italy,Out,Transfer,12,2
2015-03-31,2015,1,Italy,Out,Transfer,13,14
2015-03-31,2015,1,Italy,Out,Transfer,14,3
2015-03-31,2015,1,Italy,Out,Transfer,16,11
2015-03-31,2015,1,Italy,Out,Transfer,18.1,23
2015-03-31,2015,1,Latvia,Out,Request,18.1,1
2015-03-31,2015,1,Lithuania,Out,Request,18.1,2
2015-03-31,2015,1,Netherlands,In,Request,8.2,3
2015-03-31,2015,1,Netherlands,In,Request,18.1,1
2015-03-31,2015,1,Netherlands,Out,Request,13,1
2015-03-31,2015,1,Netherlands,Out,Request,14,1
2015-03-31,2015,1,Netherlands,Out,Request,18.1,10
2015-03-31,2015,1,Netherlands,In,Transfer,8.2,1
2015-03-31,2015,1,Netherlands,Out,Transfer,14,2
2015-03-31,2015,1,Netherlands,Out,Transfer,18.1,2
2015-03-31,2015,1,Norway,In,Request,18.1,3
2015-03-31,2015,1,Norway,Out,Request,18.1,15
2015-03-31,2015,1,Norway,Out,Transfer,18.1,3
2015-03-31,2015,1,Poland,In,Request,12,1
2015-03-31,2015,1,Poland,In,Request,17.2,4
2015-03-31,2015,1,Poland,Out,Request,12,3
2015-03-31,2015,1,Poland,Out,Request,18.1,2
2015-03-31,2015,1,Poland,In,Transfer,8.2,1
2015-03-31,2015,1,Romania,In,Request,12,1
2015-03-31,2015,1,Romania,Out,Request,18.1,7
2015-03-31,2015,1,Romania,Out,Transfer,18.1,1
2015-03-31,2015,1,Slovakia,Out,Request,18.1,1
2015-03-31,2015,1,Slovakia,Out,Transfer,18.1,2
2015-03-31,2015,1,Slovenia,Out,Request,18.1,1
2015-03-31,2015,1,Spain,Out,Request,12,2
2015-03-31,2015,1,Spain,Out,Request,13,7
2015-03-31,2015,1,Spain,Out,Request,18.1,1
2015-03-31,2015,1,Spain,Out,Transfer,12,1
2015-03-31,2015,1,Sweden,In,Request,18.1,16
2015-03-31,2015,1,Sweden,Out,Request,11,2
2015-03-31,2015,1,Sweden,Out,Request,12,1
2015-03-31,2015,1,Sweden,Out,Request,18.1,20
2015-03-31,2015,1,Sweden,In,Transfer,12,3
2015-03-31,2015,1,Sweden,In,Transfer,17.2,1
2015-03-31,2015,1,Sweden,In,Transfer,18.1,3
2015-03-31,2015,1,Sweden,Out,Transfer,12,2
2015-03-31,2015,1,Sweden,Out,Transfer,18.1,4
2015-03-31,2015,1,Switzerland,In,Request,9,1
2015-03-31,2015,1,Switzerland,In,Request,12,2
2015-03-31,2015,1,Switzerland,In,Request,17.2,1
2015-03-31,2015,1,Switzerland,In,Request,18.1,7
2015-03-31,2015,1,Switzerland,Out,Request,18.1,15
2015-03-31,2015,1,Switzerland,In,Transfer,18.1,5
2015-03-31,2015,1,Switzerland,Out,Transfer,16,1
2015-03-31,2015,1,Switzerland,Out,Transfer,18.1,1
2015-06-30,2015,2,Austria,In,Request,18.1,5
2015-06-30,2015,2,Austria,Out,Request,13,2
2015-06-30,2015,2,Austria,Out,Request,18.1,41
2015-06-30,2015,2,Austria,In,Transfer,10,1
2015-06-30,2015,2,Austria,Out,Transfer,18.1,5
2015-06-30,2015,2,Belgium,In,Request,18.1,3
2015-06-30,2015,2,Belgium,Out,Request,14,1
2015-06-30,2015,2,Belgium,Out,Request,18.1,20
2015-06-30,2015,2,Belgium,In,Transfer,18.1,3
2015-06-30,2015,2,Belgium,Out,Transfer,18.1,10
2015-06-30,2015,2,Bulgaria,In,Request,18.1,4
2015-06-30,2015,2,Bulgaria,Out,Request,12,1
2015-06-30,2015,2,Bulgaria,Out,Request,13,11
2015-06-30,2015,2,Bulgaria,Out,Request,18.1,29
2015-06-30,2015,2,Bulgaria,Out,Transfer,18.1,3
2015-06-30,2015,2,Croatia,Out,Request,18.1,1
2015-06-30,2015,2,Cyprus,In,Request,8.1,2
2015-06-30,2015,2,Cyprus,In,Request,8.2,4
2015-06-30,2015,2,Cyprus,In,Request,17.2,2
2015-06-30,2015,2,Cyprus,In,Request,18.1,1
2015-06-30,2015,2,Cyprus,Out,Request,18.1,3
2015-06-30,2015,2,Cyprus,Out,Transfer,18.1,1
2015-06-30,2015,2,Czech Republic,In,Request,18.1,2
2015-06-30,2015,2,Czech Republic,Out,Request,18.1,2
2015-06-30,2015,2,Czech Republic,Out,Transfer,13,1
2015-06-30,2015,2,Denmark,In,Request,18.1,5
2015-06-30,2015,2,Denmark,Out,Request,18.1,6
2015-06-30,2015,2,Finland,In,Request,18.1,2
2015-06-30,2015,2,Finland,In,Transfer,18.1,1
2015-06-30,2015,2,France,In,Request,12,1
2015-06-30,2015,2,France,In,Request,18.1,29
2015-06-30,2015,2,France,In,Request,20.5,5
2015-06-30,2015,2,France,Out,Request,11,1
2015-06-30,2015,2,France,Out,Request,12,2
2015-06-30,2015,2,France,Out,Request,13,5
2015-06-30,2015,2,France,Out,Request,14,2
2015-06-30,2015,2,France,Out,Request,18.1,23
2015-06-30,2015,2,France,In,Transfer,18.1,2
2015-06-30,2015,2,France,Out,Transfer,13,1
2015-06-30,2015,2,France,Out,Transfer,14,1
2015-06-30,2015,2,France,Out,Transfer,18.1,5
2015-06-30,2015,2,Germany,In,Request,9,3
2015-06-30,2015,2,Germany,In,Request,12,1
2015-06-30,2015,2,Germany,In,Request,18.1,23
2015-06-30,2015,2,Germany,Out,Request,11,5
2015-06-30,2015,2,Germany,Out,Request,12,1
2015-06-30,2015,2,Germany,Out,Request,13,1
2015-06-30,2015,2,Germany,Out,Request,14,2
2015-06-30,2015,2,Germany,Out,Request,18.1,24
2015-06-30,2015,2,Germany,In,Transfer,18.1,1
2015-06-30,2015,2,Germany,Out,Transfer,12,1
2015-06-30,2015,2,Germany,Out,Transfer,18.1,7
2015-06-30,2015,2,Greece,In,Request,9,1
2015-06-30,2015,2,Greece,In,Request,17.2,3
2015-06-30,2015,2,Greece,In,Transfer,8.1,1
2015-06-30,2015,2,Greece,In,Transfer,8.2,1
2015-06-30,2015,2,Greece,In,Transfer,16,1
2015-06-30,2015,2,Hungary,In,Request,8.1,1
2015-06-30,2015,2,Hungary,Out,Request,13,34
2015-06-30,2015,2,Hungary,Out,Request,14,2
2015-06-30,2015,2,Hungary,Out,Request,18.1,69
2015-06-30,2015,2,Hungary,Out,Transfer,13,1
2015-06-30,2015,2,Hungary,Out,Transfer,16,1
2015-06-30,2015,2,Hungary,Out,Transfer,18.1,2
2015-06-30,2015,2,Iceland,Out,Request,14,1
2015-06-30,2015,2,Ireland,In,Request,8.1,1
2015-06-30,2015,2,Ireland,In,Request,12,52
2015-06-30,2015,2,Ireland,In,Request,13,1
2015-06-30,2015,2,Ireland,In,Request,17.2,1
2015-06-30,2015,2,Ireland,In,Request,18.1,18
2015-06-30,2015,2,Ireland,Out,Request,11,2
2015-06-30,2015,2,Ireland,Out,Request,12,7
2015-06-30,2015,2,Ireland,Out,Request,18.1,19
2015-06-30,2015,2,Ireland,In,Transfer,17.2,1
2015-06-30,2015,2,Ireland,Out,Transfer,9,1
2015-06-30,2015,2,Ireland,Out,Transfer,18.1,5
2015-06-30,2015,2,Italy,In,Request,18.1,7
2015-06-30,2015,2,Italy,Out,Request,11,2
2015-06-30,2015,2,Italy,Out,Request,12,14
2015-06-30,2015,2,Italy,Out,Request,13,57
2015-06-30,2015,2,Italy,Out,Request,14,7
2015-06-30,2015,2,Italy,Out,Request,18.1,108
2015-06-30,2015,2,Italy,In,Transfer,18.1,2
2015-06-30,2015,2,Italy,Out,Transfer,10,6
2015-06-30,2015,2,Italy,Out,Transfer,13,11
2015-06-30,2015,2,Italy,Out,Transfer,14,1
2015-06-30,2015,2,Italy,Out,Transfer,16,10
2015-06-30,2015,2,Italy,Out,Transfer,18.1,19
2015-06-30,2015,2,Lithuania,Out,Request,12,1
2015-06-30,2015,2,Lithuania,Out,Request,18.1,1
2015-06-30,2015,2,Lithuania,Out,Transfer,12,1
2015-06-30,2015,2,Malta,In,Request,18.1,1
2015-06-30,2015,2,Malta,Out,Request,12,1
2015-06-30,2015,2,Malta,Out,Request,18.1,2
2015-06-30,2015,2,Malta,In,Transfer,18.1,1
2015-06-30,2015,2,Netherlands,In,Request,8.2,1
2015-06-30,2015,2,Netherlands,In,Request,9,2
2015-06-30,2015,2,Netherlands,In,Request,12,2
2015-06-30,2015,2,Netherlands,In,Request,18.1,2
2015-06-30,2015,2,Netherlands,Out,Request,12,2
2015-06-30,2015,2,Netherlands,Out,Request,18.1,11
2015-06-30,2015,2,Netherlands,Out,Transfer,18.1,4
2015-06-30,2015,2,Norway,In,Request,18.1,2
2015-06-30,2015,2,Norway,Out,Request,13,1
2015-06-30,2015,2,Norway,Out,Request,18.1,15
2015-06-30,2015,2,Norway,In,Transfer,18.1,1
2015-06-30,2015,2,Norway,Out,Transfer,18.1,3
2015-06-30,2015,2,Poland,Out,Request,12,3
2015-06-30,2015,2,Poland,Out,Request,18.1,3
2015-06-30,2015,2,Poland,Out,Transfer,12,1
2015-06-30,2015,2,Portugal,In,Request,12,1
2015-06-30,2015,2,Portugal,In,Request,16,1
2015-06-30,2015,2,Portugal,Out,Transfer,14,1
2015-06-30,2015,2,Romania,Out,Request,12,1
2015-06-30,2015,2,Romania,Out,Request,13,1
2015-06-30,2015,2,Romania,Out,Request,18.1,5
2015-06-30,2015,2,Slovakia,Out,Request,18.1,3
2015-06-30,2015,2,Slovakia,Out,Transfer,18.1,1
2015-06-30,2015,2,Spain,Out,Request,18.1,1
2015-06-30,2015,2,Spain,Out,Transfer,12,1
2015-06-30,2015,2,Sweden,In,Request,17.2,3
2015-06-30,2015,2,Sweden,In,Request,18.1,12
2015-06-30,2015,2,Sweden,Out,Request,11,1
2015-06-30,2015,2,Sweden,Out,Request,12,1
2015-06-30,2015,2,Sweden,Out,Request,18.1,17
2015-06-30,2015,2,Sweden,In,Transfer,12,1
2015-06-30,2015,2,Sweden,In,Transfer,18.1,5
2015-06-30,2015,2,Sweden,Out,Transfer,18.1,3
2015-06-30,2015,2,Switzerland,In,Request,12,2
2015-06-30,2015,2,Switzerland,In,Request,17.2,1
2015-06-30,2015,2,Switzerland,In,Request,18.1,3
2015-06-30,2015,2,Switzerland,Out,Request,18.1,9
2015-06-30,2015,2,Switzerland,In,Transfer,12,6
2015-06-30,2015,2,Switzerland,In,Transfer,18.1,2
2015-06-30,2015,2,Switzerland,Out,Transfer,18.1,3
2015-09-30,2015,3,Austria,In,Request,11,1
2015-09-30,2015,3,Austria,In,Request,13,1
2015-09-30,2015,3,Austria,In,Request,18.1,5
2015-09-30,2015,3,Austria,Out,Request,13,3
2015-09-30,2015,3,Austria,Out,Request,18.1,92
2015-09-30,2015,3,Austria,In,Transfer,18.1,1
2015-09-30,2015,3,Austria,Out,Transfer,18.1,10
2015-09-30,2015,3,Belgium,In,Request,18.1,4
2015-09-30,2015,3,Belgium,Out,Request,18.1,29
2015-09-30,2015,3,Belgium,In,Transfer,8.2,1
2015-09-30,2015,3,Belgium,In,Transfer,18.1,2
2015-09-30,2015,3,Belgium,Out,Transfer,11,1
2015-09-30,2015,3,Belgium,Out,Transfer,12,2
2015-09-30,2015,3,Belgium,Out,Transfer,14,1
2015-09-30,2015,3,Belgium,Out,Transfer,16,1
2015-09-30,2015,3,Belgium,Out,Transfer,18.1,10
2015-09-30,2015,3,Bulgaria,In,Request,18.1,3
2015-09-30,2015,3,Bulgaria,Out,Request,13,16
2015-09-30,2015,3,Bulgaria,Out,Request,18.1,81
2015-09-30,2015,3,Bulgaria,Out,Transfer,13,3
2015-09-30,2015,3,Bulgaria,Out,Transfer,18.1,4
2015-09-30,2015,3,Croatia,Out,Request,14,8
2015-09-30,2015,3,Croatia,Out,Transfer,14,2
2015-09-30,2015,3,Cyprus,In,Request,8.2,1
2015-09-30,2015,3,Cyprus,In,Request,17.2,1
2015-09-30,2015,3,Cyprus,Out,Request,18.1,1
2015-09-30,2015,3,Cyprus,In,Transfer,8.1,1
2015-09-30,2015,3,Cyprus,In,Transfer,8.2,2
2015-09-30,2015,3,Cyprus,In,Transfer,18.1,1
2015-09-30,2015,3,Denmark,In,Request,8.2,1
2015-09-30,2015,3,Denmark,In,Request,18.1,1
2015-09-30,2015,3,Denmark,Out,Request,18.1,14
2015-09-30,2015,3,Denmark,Out,Transfer,18.1,3
2015-09-30,2015,3,Finland,In,Request,18.1,5
2015-09-30,2015,3,Finland,Out,Request,18.1,4
2015-09-30,2015,3,France,In,Request,18.1,27
2015-09-30,2015,3,France,In,Request,20.5,13
2015-09-30,2015,3,France,Out,Request,12,3
2015-09-30,2015,3,France,Out,Request,14,2
2015-09-30,2015,3,France,Out,Request,18.1,32
2015-09-30,2015,3,France,In,Transfer,18.1,1
2015-09-30,2015,3,France,Out,Transfer,14,2
2015-09-30,2015,3,France,Out,Transfer,18.1,10
2015-09-30,2015,3,Germany,In,Request,8.2,1
2015-09-30,2015,3,Germany,In,Request,11,1
2015-09-30,2015,3,Germany,In,Request,18.1,24
2015-09-30,2015,3,Germany,Out,Request,11,3
2015-09-30,2015,3,Germany,Out,Request,13,1
2015-09-30,2015,3,Germany,Out,Request,14,1
2015-09-30,2015,3,Germany,Out,Request,18.1,44
2015-09-30,2015,3,Germany,In,Transfer,9,1
2015-09-30,2015,3,Germany,In,Transfer,18.1,1
2015-09-30,2015,3,Germany,Out,Transfer,18.1,12
2015-09-30,2015,3,Greece,In,Request,8.2,4
2015-09-30,2015,3,Greece,In,Request,17.2,1
2015-09-30,2015,3,Greece,In,Request,18.1,2
2015-09-30,2015,3,Hungary,In,Request,18.1,1
2015-09-30,2015,3,Hungary,Out,Request,13,46
2015-09-30,2015,3,Hungary,Out,Request,14,1
2015-09-30,2015,3,Hungary,Out,Request,16,1
2015-09-30,2015,3,Hungary,Out,Request,18.1,244
2015-09-30,2015,3,Hungary,In,Transfer,8.1,1
2015-09-30,2015,3,Hungary,Out,Transfer,13,4
2015-09-30,2015,3,Hungary,Out,Transfer,16,1
2015-09-30,2015,3,Hungary,Out,Transfer,18.1,6
2015-09-30,2015,3,Ireland,In,Request,8.2,1
2015-09-30,2015,3,Ireland,In,Request,12,70
2015-09-30,2015,3,Ireland,In,Request,18.1,25
2015-09-30,2015,3,Ireland,Out,Request,11,3
2015-09-30,2015,3,Ireland,Out,Request,14,3
2015-09-30,2015,3,Ireland,Out,Request,18.1,23
2015-09-30,2015,3,Ireland,In,Transfer,8.1,1
2015-09-30,2015,3,Ireland,In,Transfer,8.2,1
2015-09-30,2015,3,Ireland,In,Transfer,12,3
2015-09-30,2015,3,Ireland,In,Transfer,18.1,1
2015-09-30,2015,3,Ireland,Out,Transfer,12,4
2015-09-30,2015,3,Ireland,Out,Transfer,18.1,5
2015-09-30,2015,3,Italy,In,Request,18.1,2
2015-09-30,2015,3,Italy,Out,Request,11,3
2015-09-30,2015,3,Italy,Out,Request,12,11
2015-09-30,2015,3,Italy,Out,Request,13,143
2015-09-30,2015,3,Italy,Out,Request,14,2
2015-09-30,2015,3,Italy,Out,Request,16,1
2015-09-30,2015,3,Italy,Out,Request,18.1,240
2015-09-30,2015,3,Italy,Out,Transfer,10,1
2015-09-30,2015,3,Italy,Out,Transfer,11,1
2015-09-30,2015,3,Italy,Out,Transfer,12,1
2015-09-30,2015,3,Italy,Out,Transfer,13,24
2015-09-30,2015,3,Italy,Out,Transfer,14,1
2015-09-30,2015,3,Italy,Out,Transfer,16,7
2015-09-30,2015,3,Italy,Out,Transfer,18.1,27
2015-09-30,2015,3,Latvia,Out,Request,18.1,1
2015-09-30,2015,3,Lithuania,Out,Transfer,18.1,1
2015-09-30,2015,3,Malta,Out,Request,18.1,3
2015-09-30,2015,3,Netherlands,In,Request,9,2
2015-09-30,2015,3,Netherlands,In,Request,12,1
2015-09-30,2015,3,Netherlands,In,Request,18.1,3
2015-09-30,2015,3,Netherlands,Out,Request,11,1
2015-09-30,2015,3,Netherlands,Out,Request,18.1,16
2015-09-30,2015,3,Netherlands,In,Transfer,9,1
2015-09-30,2015,3,Netherlands,Out,Transfer,18.1,2
2015-09-30,2015,3,Norway,In,Request,8.2,1
2015-09-30,2015,3,Norway,In,Request,18.1,5
2015-09-30,2015,3,Norway,Out,Request,13,1
2015-09-30,2015,3,Norway,Out,Request,18.1,16
2015-09-30,2015,3,Norway,In,Transfer,18.1,1
2015-09-30,2015,3,Norway,Out,Transfer,18.1,2
2015-09-30,2015,3,Poland,Out,Request,18.1,3
2015-09-30,2015,3,Romania,Out,Request,18.1,8
2015-09-30,2015,3,Slovakia,Out,Request,18.1,1
2015-09-30,2015,3,Slovakia,Out,Transfer,18.1,3
2015-09-30,2015,3,Slovenia,Out,Request,18.1,2
2015-09-30,2015,3,Spain,In,Request,8.2,1
2015-09-30,2015,3,Spain,Out,Request,13,2
2015-09-30,2015,3,Spain,Out,Request,14,1
2015-09-30,2015,3,Spain,Out,Request,18.1,5
2015-09-30,2015,3,Spain,Out,Transfer,18.1,1
2015-09-30,2015,3,Sweden,In,Request,8.2,1
2015-09-30,2015,3,Sweden,In,Request,18.1,9
2015-09-30,2015,3,Sweden,In,Request,20.5,1
2015-09-30,2015,3,Sweden,Out,Request,12,1
2015-09-30,2015,3,Sweden,Out,Request,13,1
2015-09-30,2015,3,Sweden,Out,Request,14,1
2015-09-30,2015,3,Sweden,Out,Request,18.1,17
2015-09-30,2015,3,Sweden,In,Transfer,17.2,3
2015-09-30,2015,3,Sweden,In,Transfer,18.1,5
2015-09-30,2015,3,Sweden,Out,Transfer,18.1,3
2015-09-30,2015,3,Switzerland,In,Request,8.2,1
2015-09-30,2015,3,Switzerland,In,Request,13,1
2015-09-30,2015,3,Switzerland,In,Request,17.2,2
2015-09-30,2015,3,Switzerland,In,Request,18.1,6
2015-09-30,2015,3,Switzerland,Out,Request,18.1,7
2015-09-30,2015,3,Switzerland,In,Transfer,8.2,1
2015-09-30,2015,3,Switzerland,In,Transfer,17.2,2
2015-09-30,2015,3,Switzerland,In,Transfer,18.1,1
2015-09-30,2015,3,Switzerland,Out,Transfer,18.1,1
2015-12-31,2015,4,Austria,In,Request,8.2,2
2015-12-31,2015,4,Austria,In,Request,17.2,2
2015-12-31,2015,4,Austria,In,Request,18.1,12
2015-12-31,2015,4,Austria,Out,Request,13,3
2015-12-31,2015,4,Austria,Out,Request,14,2
2015-12-31,2015,4,Austria,Out,Request,18.1,71
2015-12-31,2015,4,Austria,In,Transfer,8.1,1
2015-12-31,2015,4,Austria,In,Transfer,8.2,1
2015-12-31,2015,4,Austria,Out,Transfer,18.1,11
2015-12-31,2015,4,Belgium,In,Request,8.1,2
2015-12-31,2015,4,Belgium,In,Request,9,1
2015-12-31,2015,4,Belgium,In,Request,18.1,14
2015-12-31,2015,4,Belgium,Out,Request,13,1
2015-12-31,2015,4,Belgium,Out,Request,18.1,24
2015-12-31,2015,4,Belgium,In,Transfer,18.1,3
2015-12-31,2015,4,Belgium,Out,Transfer,18.1,2
2015-12-31,2015,4,Bulgaria,In,Request,18.1,3
2015-12-31,2015,4,Bulgaria,Out,Request,13,44
2015-12-31,2015,4,Bulgaria,Out,Request,18.1,120
2015-12-31,2015,4,Bulgaria,Out,Transfer,18.1,3
2015-12-31,2015,4,Croatia,Out,Request,13,2
2015-12-31,2015,4,Croatia,Out,Request,14,1
2015-12-31,2015,4,Croatia,Out,Request,18.1,3
2015-12-31,2015,4,Cyprus,In,Request,8.2,6
2015-12-31,2015,4,Cyprus,Out,Request,18.1,5
2015-12-31,2015,4,Cyprus,In,Transfer,8.2,1
2015-12-31,2015,4,Cyprus,In,Transfer,9,1
2015-12-31,2015,4,Czech Republic,Out,Transfer,18.1,1
2015-12-31,2015,4,Denmark,In,Request,18.1,7
2015-12-31,2015,4,Denmark,Out,Request,18.1,10
2015-12-31,2015,4,Denmark,In,Transfer,18.1,1
2015-12-31,2015,4,Denmark,Out,Transfer,18.1,2
2015-12-31,2015,4,Finland,In,Request,11,1
2015-12-31,2015,4,Finland,In,Request,18.1,12
2015-12-31,2015,4,Finland,Out,Request,18.1,7
2015-12-31,2015,4,France,In,Request,9,2
2015-12-31,2015,4,France,In,Request,12,1
2015-12-31,2015,4,France,In,Request,18.1,50
2015-12-31,2015,4,France,In,Request,20.5,16
2015-12-31,2015,4,France,Out,Request,18.1,38
2015-12-31,2015,4,France,In,Transfer,9,1
2015-12-31,2015,4,France,In,Transfer,18.1,2
2015-12-31,2015,4,France,Out,Transfer,12,6
2015-12-31,2015,4,France,Out,Transfer,14,1
2015-12-31,2015,4,France,Out,Transfer,18.1,6
2015-12-31,2015,4,Germany,In,Request,11,1
2015-12-31,2015,4,Germany,In,Request,12,1
2015-12-31,2015,4,Germany,In,Request,17.2,3
2015-12-31,2015,4,Germany,In,Request,18.1,12
2015-12-31,2015,4,Germany,Out,Request,12,1
2015-12-31,2015,4,Germany,Out,Request,13,1
2015-12-31,2015,4,Germany,Out,Request,18.1,81
2015-12-31,2015,4,Germany,Out,Transfer,18.1,14
2015-12-31,2015,4,Greece,In,Request,8.2,1
2015-12-31,2015,4,Greece,In,Request,9,1
2015-12-31,2015,4,Greece,In,Request,18.1,1
2015-12-31,2015,4,Greece,In,Transfer,8.1,2
2015-12-31,2015,4,Greece,In,Transfer,17.2,1
2015-12-31,2015,4,Hungary,In,Request,18.1,2
2015-12-31,2015,4,Hungary,Out,Request,11,3
2015-12-31,2015,4,Hungary,Out,Request,13,109
2015-12-31,2015,4,Hungary,Out,Request,18.1,301
2015-12-31,2015,4,Hungary,Out,Transfer,13,2
2015-12-31,2015,4,Hungary,Out,Transfer,14,1
2015-12-31,2015,4,Hungary,Out,Transfer,18.1,11
2015-12-31,2015,4,Ireland,In,Request,8.1,2
2015-12-31,2015,4,Ireland,In,Request,11,4
2015-12-31,2015,4,Ireland,In,Request,12,161
2015-12-31,2015,4,Ireland,In,Request,18.1,48
2015-12-31,2015,4,Ireland,Out,Request,11,1
2015-12-31,2015,4,Ireland,Out,Request,12,3
2015-12-31,2015,4,Ireland,Out,Request,13,1
2015-12-31,2015,4,Ireland,Out,Request,16,1
2015-12-31,2015,4,Ireland,Out,Request,18.1,32
2015-12-31,2015,4,Ireland,In,Transfer,12,1
2015-12-31,2015,4,Ireland,In,Transfer,18.1,1
2015-12-31,2015,4,Ireland,Out,Transfer,12,1
