Date,Year,Quarter,Nationality,Region,Sex,Age,Visas granted
2010-01-01,2010,1,Georgia,Europe Other,Female,Under 18,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Female,30-49,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Female,Under 18,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Male,Under 18,2
2010-01-01,2010,1,India,Asia South,Female,30-49,1
2010-01-01,2010,1,India,Asia South,Male,Under 18,1
2010-01-01,2010,1,Iran,Middle East,Female,30-49,6
2010-01-01,2010,1,Iran,Middle East,Female,Under 18,6
2010-01-01,2010,1,Iran,Middle East,Male,30-49,2
2010-01-01,2010,1,Iran,Middle East,Male,Under 18,4
2010-01-01,2010,1,Iraq,Middle East,Female,18-29,3
2010-01-01,2010,1,Iraq,Middle East,Male,18-29,1
2010-01-01,2010,1,Iraq,Middle East,Male,30-49,1
2010-01-01,2010,1,Iraq,Middle East,Male,Under 18,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Female,30-49,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Female,Under 18,1
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Male,30-49,1
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Male,Under 18,9
2010-01-01,2010,1,Jordan,Middle East,Female,30-49,1
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Male,Under 18,1
2010-01-01,2010,1,Lebanon,Middle East,Female,Under 18,1
2010-01-01,2010,1,Lebanon,Middle East,Male,Under 18,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Malaysia,Asia South East,Female,30-49,1
2010-01-01,2010,1,Malaysia,Asia South East,Female,Under 18,1
2010-01-01,2010,1,Moldova,Europe Other,Female,Under 18,1
2010-01-01,2010,1,Other and unknown,Other,Female,18-29,2
2010-01-01,2010,1,Other and unknown,Other,Female,30-49,1
2010-01-01,2010,1,Other and unknown,Other,Female,Under 18,11
2010-01-01,2010,1,Other and unknown,Other,Male,18-29,1
2010-01-01,2010,1,Other and unknown,Other,Male,30-49,3
2010-01-01,2010,1,Other and unknown,Other,Male,50-69,1
2010-01-01,2010,1,Other and unknown,Other,Male,Under 18,7
2010-01-01,2010,1,Other and unknown,Other,Unknown Sex,Under 18,1
2010-01-01,2010,1,Pakistan,Asia South,Female,18-29,1
2010-01-01,2010,1,Pakistan,Asia South,Female,30-49,1
2010-01-01,2010,1,Pakistan,Asia South,Female,Under 18,1
2010-01-01,2010,1,Pakistan,Asia South,Male,30-49,2
2010-01-01,2010,1,Pakistan,Asia South,Male,Under 18,3
2010-01-01,2010,1,Russia,Europe Other,Female,30-49,1
2010-01-01,2010,1,Russia,Europe Other,Female,Under 18,1
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Female,Under 18,2
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Male,Under 18,2
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Male,Under 18,1
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Female,18-29,27
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Female,30-49,17
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Female,50-69,13
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Female,Under 18,103
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,18-29,15
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,30-49,25
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,50-69,7
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,70+,1
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Male,Under 18,119
2010-01-01,2010,1,Sri Lanka,Asia South,Female,18-29,4
2010-01-01,2010,1,Sri Lanka,Asia South,Female,30-49,4
2010-01-01,2010,1,Sri Lanka,Asia South,Female,Under 18,6
2010-01-01,2010,1,Sri Lanka,Asia South,Male,Under 18,6
2010-01-01,2010,1,Sudan,Africa North,Female,18-29,12
2010-01-01,2010,1,Sudan,Africa North,Female,30-49,3
2010-01-01,2010,1,Sudan,Africa North,Female,Under 18,4
2010-01-01,2010,1,Sudan,Africa North,Male,30-49,1
2010-01-01,2010,1,Sudan,Africa North,Male,Under 18,6
2010-01-01,2010,1,Syria,Middle East,Female,30-49,2
2010-01-01,2010,1,Syria,Middle East,Female,Under 18,2
2010-01-01,2010,1,Syria,Middle East,Male,Under 18,2
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Female,Under 18,2
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Male,18-29,1
2010-01-01,2010,1,Turkey,Europe Other,Female,18-29,1
2010-01-01,2010,1,Turkey,Europe Other,Female,30-49,2
2010-01-01,2010,1,Turkey,Europe Other,Female,Under 18,6
2010-01-01,2010,1,Turkey,Europe Other,Male,18-29,1
2010-01-01,2010,1,Turkey,Europe Other,Male,Under 18,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Female,30-49,3
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Female,Under 18,9
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Male,18-29,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Male,30-49,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Male,Under 18,9
2010-01-01,2010,1,Ukraine,Europe Other,Female,Under 18,1
2010-01-01,2010,1,Uzbekistan,Asia Central,Male,Under 18,1
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Female,18-29,14
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Female,30-49,29
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Female,50-69,4
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Female,Under 18,90
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Male,18-29,7
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Male,30-49,20
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Male,50-69,7
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Male,Under 18,93
2010-04-01,2010,2,Afghanistan,Asia Central,Female,18-29,5
2010-04-01,2010,2,Afghanistan,Asia Central,Female,30-49,7
2010-04-01,2010,2,Afghanistan,Asia Central,Female,Under 18,11
2010-04-01,2010,2,Afghanistan,Asia Central,Male,18-29,1
2010-04-01,2010,2,Afghanistan,Asia Central,Male,Under 18,18
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Female,18-29,1
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Female,30-49,1
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Female,Under 18,1
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Male,Under 18,2
2010-04-01,2010,2,Armenia,Europe Other,Female,30-49,1
2010-04-01,2010,2,Armenia,Europe Other,Female,Under 18,2
2010-04-01,2010,2,Australia,Oceania,Female,30-49,1
2010-04-01,2010,2,Bangladesh,Asia South,Female,30-49,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Female,18-29,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Female,Under 18,7
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Male,18-29,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Male,30-49,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Male,Under 18,2
2010-04-01,2010,2,Canada,America North,Female,30-49,1
2010-04-01,2010,2,Canada,America North,Female,Under 18,1
2010-04-01,2010,2,China,Asia East,Female,Under 18,4
2010-04-01,2010,2,China,Asia East,Male,30-49,1
2010-04-01,2010,2,China,Asia East,Male,50-69,1
2010-04-01,2010,2,China,Asia East,Male,Under 18,5
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Female,30-49,3
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Female,Under 18,3
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Male,Under 18,2
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,18-29,3
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,30-49,3
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,13
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,50-69,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,18
2010-04-01,2010,2,Egypt,Africa North,Female,18-29,1
2010-04-01,2010,2,Egypt,Africa North,Female,30-49,1
2010-04-01,2010,2,Egypt,Africa North,Male,Under 18,2
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Female,18-29,48
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Female,30-49,7
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Female,Under 18,26
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Male,18-29,4
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Male,30-49,8
2010-04-01,2010,2,Eritrea,Africa Sub-Saharan,Male,Under 18,29
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Female,18-29,1
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Female,30-49,3
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Female,Under 18,5
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Male,30-49,1
2010-04-01,2010,2,Ethiopia,Africa Sub-Saharan,Male,Under 18,14
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,Female,18-29,2
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,Female,Under 18,2
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,Male,Under 18,4
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Female,18-29,2
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Female,Under 18,5
2010-04-01,2010,2,Guinea,Africa Sub-Saharan,Male,Under 18,2
2010-04-01,2010,2,Iran,Middle East,Female,18-29,7
2010-04-01,2010,2,Iran,Middle East,Female,30-49,8
2010-04-01,2010,2,Iran,Middle East,Female,Under 18,8
2010-04-01,2010,2,Iran,Middle East,Male,30-49,2
2010-04-01,2010,2,Iran,Middle East,Male,50-69,1
2010-04-01,2010,2,Iran,Middle East,Male,Under 18,11
2010-04-01,2010,2,Iraq,Middle East,Female,18-29,3
2010-04-01,2010,2,Iraq,Middle East,Female,30-49,2
2010-04-01,2010,2,Iraq,Middle East,Female,50-69,1
2010-04-01,2010,2,Iraq,Middle East,Female,Under 18,2
2010-04-01,2010,2,Iraq,Middle East,Male,30-49,1
2010-04-01,2010,2,Iraq,Middle East,Male,Under 18,4
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,Male,Under 18,2
2010-04-01,2010,2,Liberia,Africa Sub-Saharan,Female,Under 18,2
2010-04-01,2010,2,Liberia,Africa Sub-Saharan,Male,Under 18,1
2010-04-01,2010,2,Nepal,Asia South,Female,Under 18,1
2010-04-01,2010,2,Nepal,Asia South,Male,Under 18,1
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,Male,Under 18,1
2010-04-01,2010,2,Other and unknown,Other,Female,18-29,7
2010-04-01,2010,2,Other and unknown,Other,Female,30-49,1
2010-04-01,2010,2,Other and unknown,Other,Female,Under 18,20
2010-04-01,2010,2,Other and unknown,Other,Male,18-29,2
2010-04-01,2010,2,Other and unknown,Other,Male,30-49,1
2010-04-01,2010,2,Other and unknown,Other,Male,50-69,1
2010-04-01,2010,2,Other and unknown,Other,Male,Under 18,13
2010-04-01,2010,2,Pakistan,Asia South,Female,18-29,1
2010-04-01,2010,2,Pakistan,Asia South,Female,30-49,2
2010-04-01,2010,2,Pakistan,Asia South,Female,Under 18,7
2010-04-01,2010,2,Pakistan,Asia South,Male,30-49,3
2010-04-01,2010,2,Pakistan,Asia South,Male,Under 18,5
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Female,Under 18,2
2010-04-01,2010,2,Rwanda,Africa Sub-Saharan,Male,Under 18,1
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Female,18-29,24
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Female,30-49,13
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Female,50-69,6
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Female,Under 18,75
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,18-29,14
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,30-49,16
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,50-69,4
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,70+,1
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,Male,Under 18,90
2010-04-01,2010,2,Sri Lanka,Asia South,Female,18-29,6
2010-04-01,2010,2,Sri Lanka,Asia South,Female,30-49,21
2010-04-01,2010,2,Sri Lanka,Asia South,Female,50-69,1
2010-04-01,2010,2,Sri Lanka,Asia South,Female,Under 18,21
2010-04-01,2010,2,Sri Lanka,Asia South,Male,18-29,1
2010-04-01,2010,2,Sri Lanka,Asia South,Male,Under 18,27
2010-04-01,2010,2,Stateless,Other,Female,18-29,1
2010-04-01,2010,2,Stateless,Other,Female,Under 18,1
2010-04-01,2010,2,Stateless,Other,Male,Under 18,2
2010-04-01,2010,2,Sudan,Africa North,Female,18-29,6
2010-04-01,2010,2,Sudan,Africa North,Female,30-49,6
2010-04-01,2010,2,Sudan,Africa North,Female,Under 18,9
2010-04-01,2010,2,Sudan,Africa North,Male,30-49,1
2010-04-01,2010,2,Sudan,Africa North,Male,Under 18,13
2010-04-01,2010,2,Syria,Middle East,Female,30-49,1
2010-04-01,2010,2,Syria,Middle East,Female,Under 18,1
2010-04-01,2010,2,Turkey,Europe Other,Female,30-49,4
2010-04-01,2010,2,Turkey,Europe Other,Female,Under 18,2
2010-04-01,2010,2,Turkey,Europe Other,Male,18-29,1
2010-04-01,2010,2,Turkey,Europe Other,Male,50-69,1
2010-04-01,2010,2,Turkey,Europe Other,Male,Under 18,5
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Female,Under 18,4
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,Male,Under 18,3
2010-04-01,2010,2,Yemen,Middle East,Female,30-49,1
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Female,18-29,13
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Female,30-49,28
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Female,50-69,2
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Female,Under 18,102
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Male,18-29,9
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Male,30-49,9
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Male,50-69,12
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,Male,Under 18,103
2010-07-01,2010,3,Afghanistan,Asia Central,Female,18-29,2
2010-07-01,2010,3,Afghanistan,Asia Central,Female,30-49,4
2010-07-01,2010,3,Afghanistan,Asia Central,Female,Under 18,13
2010-07-01,2010,3,Afghanistan,Asia Central,Male,30-49,1
2010-07-01,2010,3,Afghanistan,Asia Central,Male,50-69,1
2010-07-01,2010,3,Afghanistan,Asia Central,Male,Under 18,14
2010-07-01,2010,3,Albania,Europe Other,Female,Under 18,1
2010-07-01,2010,3,Armenia,Europe Other,Female,30-49,2
2010-07-01,2010,3,Armenia,Europe Other,Male,Under 18,2
2010-07-01,2010,3,Bangladesh,Asia South,Male,Under 18,2
2010-07-01,2010,3,Belarus,Europe Other,Female,18-29,1
2010-07-01,2010,3,Burma,Asia South East,Female,30-49,3
2010-07-01,2010,3,Burma,Asia South East,Female,Under 18,2
2010-07-01,2010,3,Burma,Asia South East,Male,30-49,1
2010-07-01,2010,3,Burundi,Africa Sub-Saharan,Female,30-49,1
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Female,18-29,2
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Female,Under 18,6
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Male,18-29,1
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,Male,Under 18,3
2010-07-01,2010,3,Chad,Africa Sub-Saharan,Female,18-29,1
2010-07-01,2010,3,Chad,Africa Sub-Saharan,Male,30-49,1
2010-07-01,2010,3,Chad,Africa Sub-Saharan,Male,Under 18,1
2010-07-01,2010,3,China,Asia East,Female,18-29,1
2010-07-01,2010,3,China,Asia East,Female,Under 18,3
2010-07-01,2010,3,China,Asia East,Male,50-69,1
2010-07-01,2010,3,China,Asia East,Male,Under 18,2
2010-07-01,2010,3,Congo,Africa Sub-Saharan,Female,18-29,1
2010-07-01,2010,3,Congo,Africa Sub-Saharan,Female,Under 18,3
2010-07-01,2010,3,Congo,Africa Sub-Saharan,Male,18-29,2
2010-07-01,2010,3,Congo,Africa Sub-Saharan,Male,Under 18,3
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Female,18-29,2
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Female,30-49,4
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,18
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Male,30-49,1
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,9
2010-07-01,2010,3,Ecuador,America Central and South,Female,30-49,1
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Female,18-29,45
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Female,30-49,14
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Female,Under 18,34
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Male,18-29,3
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Male,30-49,17
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Male,50-69,1
2010-07-01,2010,3,Eritrea,Africa Sub-Saharan,Male,Under 18,44
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Female,18-29,6
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Female,30-49,1
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Female,Under 18,6
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Male,18-29,1
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Male,30-49,3
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Male,50-69,1
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,Male,Under 18,3
2010-07-01,2010,3,"Gambia, The",Africa Sub-Saharan,Female,Under 18,4
2010-07-01,2010,3,"Gambia, The",Africa Sub-Saharan,Male,Under 18,4
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Female,18-29,1
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Female,Under 18,4
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,Male,Under 18,2
2010-07-01,2010,3,Iran,Middle East,Female,18-29,1
2010-07-01,2010,3,Iran,Middle East,Female,30-49,12
2010-07-01,2010,3,Iran,Middle East,Female,50-69,1
2010-07-01,2010,3,Iran,Middle East,Female,Under 18,9
2010-07-01,2010,3,Iran,Middle East,Male,18-29,2
2010-07-01,2010,3,Iran,Middle East,Male,30-49,3
2010-07-01,2010,3,Iran,Middle East,Male,50-69,3
2010-07-01,2010,3,Iran,Middle East,Male,Under 18,11
2010-07-01,2010,3,Iraq,Middle East,Female,18-29,2
2010-07-01,2010,3,Iraq,Middle East,Female,30-49,2
2010-07-01,2010,3,Iraq,Middle East,Female,Under 18,2
2010-07-01,2010,3,Iraq,Middle East,Male,18-29,1
2010-07-01,2010,3,Iraq,Middle East,Male,30-49,2
2010-07-01,2010,3,Iraq,Middle East,Male,50-69,1
2010-07-01,2010,3,Iraq,Middle East,Male,Under 18,4
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Female,Under 18,1
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Male,30-49,1
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,Male,Under 18,1
2010-07-01,2010,3,Jamaica,America Central and South,Male,Under 18,1
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Female,30-49,2
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,Male,Under 18,3
2010-07-01,2010,3,Kuwait,Middle East,Male,Under 18,1
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,Male,Under 18,1
2010-07-01,2010,3,Malawi,Africa Sub-Saharan,Female,30-49,1
2010-07-01,2010,3,Malawi,Africa Sub-Saharan,Male,30-49,1
2010-07-01,2010,3,Moldova,Europe Other,Male,50-69,1
2010-07-01,2010,3,Nepal,Asia South,Female,30-49,1
2010-07-01,2010,3,Nepal,Asia South,Female,Under 18,1
2010-07-01,2010,3,Nepal,Asia South,Male,Under 18,2
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,Female,30-49,2
2010-07-01,2010,3,Other and unknown,Other,Female,18-29,7
2010-07-01,2010,3,Other and unknown,Other,Female,30-49,8
2010-07-01,2010,3,Other and unknown,Other,Female,50-69,1
2010-07-01,2010,3,Other and unknown,Other,Female,70+,1
2010-07-01,2010,3,Other and unknown,Other,Female,Under 18,15
2010-07-01,2010,3,Other and unknown,Other,Male,30-49,1
2010-07-01,2010,3,Other and unknown,Other,Male,Under 18,20
2010-07-01,2010,3,Pakistan,Asia South,Female,18-29,1
2010-07-01,2010,3,Pakistan,Asia South,Female,30-49,3
2010-07-01,2010,3,Pakistan,Asia South,Female,Under 18,8
2010-07-01,2010,3,Pakistan,Asia South,Male,30-49,1
2010-07-01,2010,3,Pakistan,Asia South,Male,Under 18,9
2010-07-01,2010,3,Russia,Europe Other,Female,50-69,1
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Female,18-29,43
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Female,30-49,21
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Female,50-69,8
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Female,Under 18,151
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Male,18-29,20
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Male,30-49,25
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Male,50-69,7
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,Male,Under 18,184
2010-07-01,2010,3,Sri Lanka,Asia South,Female,18-29,16
2010-07-01,2010,3,Sri Lanka,Asia South,Female,30-49,20
2010-07-01,2010,3,Sri Lanka,Asia South,Female,50-69,2
2010-07-01,2010,3,Sri Lanka,Asia South,Female,Under 18,28
2010-07-01,2010,3,Sri Lanka,Asia South,Male,18-29,4
2010-07-01,2010,3,Sri Lanka,Asia South,Male,30-49,1
2010-07-01,2010,3,Sri Lanka,Asia South,Male,50-69,2
2010-07-01,2010,3,Sri Lanka,Asia South,Male,Under 18,22
2010-07-01,2010,3,Sudan,Africa North,Female,18-29,6
2010-07-01,2010,3,Sudan,Africa North,Female,30-49,3
2010-07-01,2010,3,Sudan,Africa North,Female,50-69,1
2010-07-01,2010,3,Sudan,Africa North,Female,Under 18,10
2010-07-01,2010,3,Sudan,Africa North,Male,30-49,3
2010-07-01,2010,3,Sudan,Africa North,Male,Under 18,15
2010-07-01,2010,3,Syria,Middle East,Female,30-49,1
2010-07-01,2010,3,Syria,Middle East,Male,Under 18,1
2010-07-01,2010,3,Togo,Africa Sub-Saharan,Male,Under 18,1
2010-07-01,2010,3,Turkey,Europe Other,Female,18-29,1
2010-07-01,2010,3,Turkey,Europe Other,Female,30-49,2
2010-07-01,2010,3,Turkey,Europe Other,Female,Under 18,1
2010-07-01,2010,3,Turkey,Europe Other,Male,18-29,1
2010-07-01,2010,3,Turkey,Europe Other,Male,30-49,1
2010-07-01,2010,3,Turkey,Europe Other,Male,Under 18,4
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,Female,30-49,1
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,Female,Under 18,6
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,Male,Under 18,3
2010-07-01,2010,3,United States,America North,Male,Under 18,1
