Date,Year,Quarter,NRM referral,Nationality,Region,Sex,Age Group,Referrals
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Female,25 to 39,7
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Female,40 and over,1
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Male,17 and under,11
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Male,18 to 24,24
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Male,25 to 39,155
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Male,40 and over,30
2018-12-31,2018,4,No NRM referral raised,Iraq,Middle East,Female,17 and under,5
2018-12-31,2018,4,No NRM referral raised,Iraq,Middle East,Female,25 to 39,3
2018-12-31,2018,4,No NRM referral raised,Iraq,Middle East,Male,17 and under,4
2018-12-31,2018,4,No NRM referral raised,Iraq,Middle East,Male,18 to 24,7
2018-12-31,2018,4,No NRM referral raised,Iraq,Middle East,Male,25 to 39,10
2018-12-31,2018,4,No NRM referral raised,Syria,Middle East,Male,25 to 39,1
2018-12-31,2018,4,NRM referral raised,Albania,Europe Other,Male,18 to 24,1
2018-12-31,2018,4,NRM referral raised,Iran,Middle East,Female,25 to 39,1
2018-12-31,2018,4,NRM referral raised,Iran,Middle East,Male,25 to 39,2
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Female,17 and under,4
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Female,18 to 24,1
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Female,25 to 39,5
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Female,40 and over,1
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Male,17 and under,7
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Male,18 to 24,14
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Male,25 to 39,82
2019-03-31,2019,1,No NRM referral raised,Iran,Middle East,Male,40 and over,11
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Female,17 and under,7
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Female,25 to 39,7
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Female,40 and over,1
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Male,17 and under,13
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Male,18 to 24,16
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Male,25 to 39,20
2019-03-31,2019,1,No NRM referral raised,Iraq,Middle East,Male,40 and over,3
2019-03-31,2019,1,NRM referral raised,Iran,Middle East,Male,25 to 39,3
2019-03-31,2019,1,NRM referral raised,Iran,Middle East,Male,40 and over,1
2019-03-31,2019,1,NRM referral raised,Iraq,Middle East,Male,18 to 24,2
2019-03-31,2019,1,NRM referral raised,Iraq,Middle East,Male,25 to 39,1
2019-06-30,2019,2,No NRM referral raised,Afghanistan,Asia Central,Male,17 and under,3
2019-06-30,2019,2,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,3
2019-06-30,2019,2,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,2
2019-06-30,2019,2,No NRM referral raised,Albania,Europe Other,Male,18 to 24,1
2019-06-30,2019,2,No NRM referral raised,Albania,Europe Other,Male,25 to 39,2
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Female,17 and under,2
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Female,18 to 24,1
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Female,25 to 39,3
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Female,40 and over,3
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Male,17 and under,16
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Male,18 to 24,33
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Male,25 to 39,106
2019-06-30,2019,2,No NRM referral raised,Iran,Middle East,Male,40 and over,32
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Female,17 and under,27
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Female,18 to 24,4
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Female,25 to 39,21
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Female,40 and over,2
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Male,17 and under,25
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Male,18 to 24,17
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Male,25 to 39,43
2019-06-30,2019,2,No NRM referral raised,Iraq,Middle East,Male,40 and over,4
2019-06-30,2019,2,No NRM referral raised,Pakistan,Asia South,Male,18 to 24,2
2019-06-30,2019,2,No NRM referral raised,Pakistan,Asia South,Male,25 to 39,3
2019-06-30,2019,2,No NRM referral raised,Pakistan,Asia South,Male,40 and over,3
2019-06-30,2019,2,No NRM referral raised,Syria,Middle East,Male,18 to 24,1
2019-06-30,2019,2,No NRM referral raised,Tajikistan,Asia Central,Male,25 to 39,1
2019-06-30,2019,2,NRM referral raised,Afghanistan,Asia Central,Male,17 and under,1
2019-06-30,2019,2,NRM referral raised,Afghanistan,Asia Central,Male,40 and over,1
2019-06-30,2019,2,NRM referral raised,Iran,Middle East,Female,25 to 39,1
2019-06-30,2019,2,NRM referral raised,Iran,Middle East,Female,40 and over,1
2019-06-30,2019,2,NRM referral raised,Iran,Middle East,Male,18 to 24,3
2019-06-30,2019,2,NRM referral raised,Iran,Middle East,Male,25 to 39,20
2019-06-30,2019,2,NRM referral raised,Iraq,Middle East,Male,17 and under,1
2019-06-30,2019,2,NRM referral raised,Iraq,Middle East,Male,18 to 24,2
2019-06-30,2019,2,NRM referral raised,Iraq,Middle East,Male,25 to 39,3
2019-09-30,2019,3,No NRM referral raised,Afghanistan,Asia Central,Female,40 and over,1
2019-09-30,2019,3,No NRM referral raised,Afghanistan,Asia Central,Male,17 and under,10
2019-09-30,2019,3,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,9
2019-09-30,2019,3,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,19
2019-09-30,2019,3,No NRM referral raised,Afghanistan,Asia Central,Male,40 and over,3
2019-09-30,2019,3,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Female,17 and under,2
2019-09-30,2019,3,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Female,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Guinea,Africa Sub-Saharan,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Female,17 and under,12
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Female,18 to 24,2
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Female,25 to 39,23
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Female,40 and over,10
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Male,17 and under,33
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Male,18 to 24,43
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Male,25 to 39,264
2019-09-30,2019,3,No NRM referral raised,Iran,Middle East,Male,40 and over,43
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Female,17 and under,23
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Female,18 to 24,3
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Female,25 to 39,21
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Female,40 and over,5
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Male,17 and under,38
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Male,18 to 24,14
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Male,25 to 39,30
2019-09-30,2019,3,No NRM referral raised,Iraq,Middle East,Male,40 and over,10
2019-09-30,2019,3,No NRM referral raised,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Kuwait,Middle East,Male,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Kuwait,Middle East,Male,40 and over,1
2019-09-30,2019,3,No NRM referral raised,Mali,Africa Sub-Saharan,Male,17 and under,2
2019-09-30,2019,3,No NRM referral raised,Niger,Africa Sub-Saharan,Male,18 to 24,1
2019-09-30,2019,3,No NRM referral raised,Pakistan,Asia South,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Pakistan,Asia South,Male,18 to 24,4
2019-09-30,2019,3,No NRM referral raised,Pakistan,Asia South,Male,25 to 39,8
2019-09-30,2019,3,No NRM referral raised,Pakistan,Asia South,Male,40 and over,4
2019-09-30,2019,3,No NRM referral raised,Philippines,Asia South East,Female,18 to 24,1
2019-09-30,2019,3,No NRM referral raised,Refugee,Other,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Refugee,Other,Male,18 to 24,3
2019-09-30,2019,3,No NRM referral raised,Refugee,Other,Male,25 to 39,2
2019-09-30,2019,3,No NRM referral raised,Refugee,Other,Male,40 and over,1
2019-09-30,2019,3,No NRM referral raised,Stateless,Other,Male,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Syria,Middle East,Female,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Syria,Middle East,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Syria,Middle East,Male,18 to 24,1
2019-09-30,2019,3,No NRM referral raised,Syria,Middle East,Male,25 to 39,4
2019-09-30,2019,3,No NRM referral raised,Tajikistan,Asia Central,Male,17 and under,1
2019-09-30,2019,3,No NRM referral raised,Turkey,Europe Other,Male,18 to 24,1
2019-09-30,2019,3,No NRM referral raised,Turkey,Europe Other,Male,25 to 39,1
2019-09-30,2019,3,No NRM referral raised,Vietnam,Asia South East,Male,18 to 24,1
2019-09-30,2019,3,No NRM referral raised,Vietnam,Asia South East,Male,25 to 39,1
2019-09-30,2019,3,NRM referral raised,Afghanistan,Asia Central,Male,17 and under,1
2019-09-30,2019,3,NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,1
2019-09-30,2019,3,NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,1
2019-09-30,2019,3,NRM referral raised,Guinea,Africa Sub-Saharan,Male,17 and under,1
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Female,18 to 24,1
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Female,25 to 39,4
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Female,40 and over,1
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Male,17 and under,2
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Male,18 to 24,8
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Male,25 to 39,40
2019-09-30,2019,3,NRM referral raised,Iran,Middle East,Male,40 and over,7
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Female,18 to 24,1
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Female,25 to 39,4
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Female,40 and over,1
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Male,17 and under,1
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Male,18 to 24,4
2019-09-30,2019,3,NRM referral raised,Iraq,Middle East,Male,25 to 39,1
2019-09-30,2019,3,NRM referral raised,Lebanon,Middle East,Male,40 and over,1
2019-09-30,2019,3,NRM referral raised,Nigeria,Africa Sub-Saharan,Male,17 and under,1
2019-09-30,2019,3,NRM referral raised,Nigeria,Africa Sub-Saharan,Male,25 to 39,1
2019-09-30,2019,3,NRM referral raised,Vietnam,Asia South East,Male,18 to 24,1
2019-12-31,2019,4,No NRM referral raised,Afghanistan,Asia Central,Female,25 to 39,1
2019-12-31,2019,4,No NRM referral raised,Afghanistan,Asia Central,Male,17 and under,4
2019-12-31,2019,4,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,3
2019-12-31,2019,4,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,5
2019-12-31,2019,4,No NRM referral raised,Albania,Europe Other,Female,40 and over,1
2019-12-31,2019,4,No NRM referral raised,Albania,Europe Other,Male,17 and under,1
2019-12-31,2019,4,No NRM referral raised,Albania,Europe Other,Male,18 to 24,1
2019-12-31,2019,4,No NRM referral raised,Albania,Europe Other,Male,25 to 39,4
2019-12-31,2019,4,No NRM referral raised,Azerbaijan,Europe Other,Male,25 to 39,1
2019-12-31,2019,4,No NRM referral raised,"Gambia, The",Africa Sub-Saharan,Male,25 to 39,1
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Female,17 and under,11
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Female,18 to 24,5
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Female,25 to 39,23
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Female,40 and over,7
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Male,17 and under,19
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Male,18 to 24,53
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Male,25 to 39,194
2019-12-31,2019,4,No NRM referral raised,Iran,Middle East,Male,40 and over,29
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Female,17 and under,13
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Female,18 to 24,2
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Female,25 to 39,10
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Female,40 and over,5
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Male,17 and under,18
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Male,18 to 24,15
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Male,25 to 39,24
2019-12-31,2019,4,No NRM referral raised,Iraq,Middle East,Male,40 and over,7
2019-12-31,2019,4,No NRM referral raised,Refugee,Other,Male,25 to 39,1
2019-12-31,2019,4,No NRM referral raised,Syria,Middle East,Male,17 and under,2
2019-12-31,2019,4,No NRM referral raised,Syria,Middle East,Male,18 to 24,1
2019-12-31,2019,4,No NRM referral raised,Syria,Middle East,Male,25 to 39,3
2019-12-31,2019,4,No NRM referral raised,Uzbekistan,Asia Central,Male,25 to 39,1
2019-12-31,2019,4,NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,1
2019-12-31,2019,4,NRM referral raised,Albania,Europe Other,Female,18 to 24,1
2019-12-31,2019,4,NRM referral raised,Albania,Europe Other,Female,25 to 39,1
2019-12-31,2019,4,NRM referral raised,Albania,Europe Other,Male,18 to 24,1
2019-12-31,2019,4,NRM referral raised,Egypt,Africa North,Male,25 to 39,1
2019-12-31,2019,4,NRM referral raised,"Gambia, The",Africa Sub-Saharan,Male,25 to 39,1
2019-12-31,2019,4,NRM referral raised,Iran,Middle East,Male,17 and under,1
2019-12-31,2019,4,NRM referral raised,Iran,Middle East,Male,18 to 24,5
2019-12-31,2019,4,NRM referral raised,Iran,Middle East,Male,25 to 39,19
2019-12-31,2019,4,NRM referral raised,Iran,Middle East,Male,40 and over,4
2019-12-31,2019,4,NRM referral raised,Iraq,Middle East,Female,25 to 39,1
2019-12-31,2019,4,NRM referral raised,Iraq,Middle East,Male,25 to 39,2
2019-12-31,2019,4,NRM referral raised,Syria,Middle East,Male,25 to 39,1
2020-03-31,2020,1,No NRM referral raised,Afghanistan,Asia Central,Male,17 and under,3
2020-03-31,2020,1,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,4
2020-03-31,2020,1,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,6
2020-03-31,2020,1,No NRM referral raised,Egypt,Africa North,Male,25 to 39,1
2020-03-31,2020,1,No NRM referral raised,Guinea,Africa Sub-Saharan,Male,25 to 39,1
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Female,17 and under,2
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Female,25 to 39,13
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Female,40 and over,2
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Male,17 and under,25
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Male,18 to 24,51
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Male,25 to 39,135
2020-03-31,2020,1,No NRM referral raised,Iran,Middle East,Male,40 and over,27
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Female,17 and under,5
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Female,18 to 24,4
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Female,25 to 39,8
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Female,40 and over,3
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Male,17 and under,25
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Male,18 to 24,33
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Male,25 to 39,31
2020-03-31,2020,1,No NRM referral raised,Iraq,Middle East,Male,40 and over,5
2020-03-31,2020,1,No NRM referral raised,Mali,Africa Sub-Saharan,Male,25 to 39,1
2020-03-31,2020,1,No NRM referral raised,Pakistan,Asia South,Male,18 to 24,2
2020-03-31,2020,1,No NRM referral raised,Pakistan,Asia South,Male,25 to 39,3
2020-03-31,2020,1,No NRM referral raised,Syria,Middle East,Male,17 and under,2
2020-03-31,2020,1,No NRM referral raised,Syria,Middle East,Male,18 to 24,21
2020-03-31,2020,1,No NRM referral raised,Syria,Middle East,Male,25 to 39,21
2020-03-31,2020,1,No NRM referral raised,Yemen,Middle East,Male,18 to 24,2
2020-03-31,2020,1,No NRM referral raised,Yemen,Middle East,Male,25 to 39,3
2020-03-31,2020,1,NRM referral raised,Iran,Middle East,Female,25 to 39,1
2020-03-31,2020,1,NRM referral raised,Iran,Middle East,Male,18 to 24,3
2020-03-31,2020,1,NRM referral raised,Iran,Middle East,Male,25 to 39,7
2020-03-31,2020,1,NRM referral raised,Iran,Middle East,Male,40 and over,4
2020-03-31,2020,1,NRM referral raised,Iraq,Middle East,Male,17 and under,1
2020-03-31,2020,1,NRM referral raised,Iraq,Middle East,Male,25 to 39,3
2020-03-31,2020,1,NRM referral raised,Iraq,Middle East,Male,40 and over,1
2020-03-31,2020,1,NRM referral raised,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2020-03-31,2020,1,NRM referral raised,Mali,Africa Sub-Saharan,Male,25 to 39,1
2020-03-31,2020,1,NRM referral raised,Senegal,Africa Sub-Saharan,Male,25 to 39,1
2020-03-31,2020,1,NRM referral raised,Syria,Middle East,Male,18 to 24,2
2020-03-31,2020,1,NRM referral raised,Yemen,Middle East,Male,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Afghanistan,Asia Central,Female,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Afghanistan,Asia Central,Male,17 and under,24
2020-06-30,2020,2,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,22
2020-06-30,2020,2,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,27
2020-06-30,2020,2,No NRM referral raised,Afghanistan,Asia Central,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Albania,Europe Other,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Algeria,Africa North,Female,17 and under,3
2020-06-30,2020,2,No NRM referral raised,Algeria,Africa North,Female,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Algeria,Africa North,Male,17 and under,2
2020-06-30,2020,2,No NRM referral raised,Algeria,Africa North,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Chad,Africa Sub-Saharan,Male,17 and under,1
2020-06-30,2020,2,No NRM referral raised,Chad,Africa Sub-Saharan,Male,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,China,Asia East,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Egypt,Africa North,Male,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Egypt,Africa North,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Female,18 to 24,3
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Female,25 to 39,3
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Male,17 and under,3
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Male,18 to 24,2
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Male,25 to 39,8
2020-06-30,2020,2,No NRM referral raised,Eritrea,Africa Sub-Saharan,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Female,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,17 and under,2
2020-06-30,2020,2,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,25 to 39,3
2020-06-30,2020,2,No NRM referral raised,Ethiopia,Africa Sub-Saharan,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Georgia,Europe Other,Female,17 and under,1
2020-06-30,2020,2,No NRM referral raised,Georgia,Europe Other,Female,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Ghana,Africa Sub-Saharan,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Guinea,Africa Sub-Saharan,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,India,Asia South,Male,18 to 24,2
2020-06-30,2020,2,No NRM referral raised,India,Asia South,Male,25 to 39,3
2020-06-30,2020,2,No NRM referral raised,India,Asia South,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Female,17 and under,22
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Female,18 to 24,6
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Female,25 to 39,37
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Female,40 and over,14
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Male,17 and under,54
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Male,18 to 24,91
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Male,25 to 39,294
2020-06-30,2020,2,No NRM referral raised,Iran,Middle East,Male,40 and over,56
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Female,17 and under,47
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Female,18 to 24,11
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Female,25 to 39,51
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Female,40 and over,12
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Male,17 and under,104
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Male,18 to 24,111
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Male,25 to 39,179
2020-06-30,2020,2,No NRM referral raised,Iraq,Middle East,Male,40 and over,32
2020-06-30,2020,2,No NRM referral raised,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2020-06-30,2020,2,No NRM referral raised,Ivory Coast,Africa Sub-Saharan,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Kuwait,Middle East,Female,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Kuwait,Middle East,Female,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Kuwait,Middle East,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Kuwait,Middle East,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Libya,Africa North,Male,18 to 24,3
2020-06-30,2020,2,No NRM referral raised,Libya,Africa North,Male,25 to 39,7
2020-06-30,2020,2,No NRM referral raised,Mali,Africa Sub-Saharan,Male,17 and under,1
2020-06-30,2020,2,No NRM referral raised,Mali,Africa Sub-Saharan,Male,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Morocco,Africa North,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,Occupied Palestinian Territories,Middle East,Male,18 to 24,2
2020-06-30,2020,2,No NRM referral raised,Occupied Palestinian Territories,Middle East,Male,25 to 39,5
2020-06-30,2020,2,No NRM referral raised,Other and unknown,Other,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Pakistan,Asia South,Male,17 and under,1
2020-06-30,2020,2,No NRM referral raised,Pakistan,Asia South,Male,18 to 24,3
2020-06-30,2020,2,No NRM referral raised,Pakistan,Asia South,Male,25 to 39,16
2020-06-30,2020,2,No NRM referral raised,Pakistan,Asia South,Male,40 and over,1
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Female,17 and under,8
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Female,18 to 24,1
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Female,25 to 39,2
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Female,40 and over,3
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Male,17 and under,10
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Male,18 to 24,14
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Male,25 to 39,41
2020-06-30,2020,2,No NRM referral raised,Refugee,Other,Male,40 and over,19
2020-06-30,2020,2,No NRM referral raised,Senegal,Africa Sub-Saharan,Male,18 to 24,2
2020-06-30,2020,2,No NRM referral raised,Somalia,Africa Sub-Saharan,Male,25 to 39,1
2020-06-30,2020,2,No NRM referral raised,South Sudan,Africa Sub-Saharan,Male,17 and under,1
2020-06-30,2020,2,No NRM referral raised,South Sudan,Africa Sub-Saharan,Male,18 to 24,1
