Date,Year,Quarter,Nationality,Region,Sex,Age Group,NRM Case Outcome,NRM Case Outcome Group,Referrals
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,3
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,8
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,2
2019-04-01,2019,2,Iran,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,1
2019-04-01,2019,2,Iran,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,4
2019-04-01,2019,2,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,3
2019-04-01,2019,2,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,4
2019-04-01,2019,2,Iran,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2019-04-01,2019,2,Iraq,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,2
2019-04-01,2019,2,Iraq,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,1
2019-04-01,2019,2,Iraq,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,1
2019-04-01,2019,2,Iraq,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,3
2019-04-01,2019,2,Iraq,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,1
2019-04-01,2019,2,Iraq,Middle East,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2019-07-01,2019,3,Afghanistan,Asia Central,Male,18 to 29,Positive,Conclusive grounds decision,2
2019-07-01,2019,3,Afghanistan,Asia Central,Male,18 to 29,Positive,Reasonable grounds decision,2
2019-07-01,2019,3,Afghanistan,Asia Central,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2019-07-01,2019,3,Guinea,Africa Sub-Saharan,Male,17 and under,Positive,Conclusive grounds decision,1
2019-07-01,2019,3,Guinea,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Iran,Middle East,Female,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Iran,Middle East,Female,18 to 29,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Iran,Middle East,Female,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,2
2019-07-01,2019,3,Iran,Middle East,Female,30 to 49,Positive,Conclusive grounds decision,2
2019-07-01,2019,3,Iran,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,4
2019-07-01,2019,3,Iran,Middle East,Female,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,4
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Awaiting reconsideration,Awaiting a decision,1
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Negative,Conclusive grounds decision,1
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,4
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,13
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,18
2019-07-01,2019,3,Iran,Middle East,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,12
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,1
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,5
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,11
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,24
2019-07-01,2019,3,Iran,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2019-07-01,2019,3,Iran,Middle East,Male,50 to 69,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Iran,Middle East,Male,50 to 69,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Iran,Middle East,Male,17 and under,Negative,Reasonable grounds decision,2
2019-07-01,2019,3,Iraq,Middle East,Female,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Iraq,Middle East,Female,18 to 29,Negative,Conclusive grounds decision,1
2019-07-01,2019,3,Iraq,Middle East,Female,18 to 29,Positive,Reasonable grounds decision,2
2019-07-01,2019,3,Iraq,Middle East,Female,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,3
2019-07-01,2019,3,Iraq,Middle East,Female,30 to 49,Negative,Conclusive grounds decision,1
2019-07-01,2019,3,Iraq,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,4
2019-07-01,2019,3,Iraq,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,1
2019-07-01,2019,3,Iraq,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,3
2019-07-01,2019,3,Iraq,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,3
2019-07-01,2019,3,Iraq,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Iraq,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Iraq,Middle East,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Iraq,Middle East,Male,17 and under,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Lebanon,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,1
2019-07-01,2019,3,Lebanon,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Nigeria,Africa Sub-Saharan,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Nigeria,Africa Sub-Saharan,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Nigeria,Africa Sub-Saharan,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-07-01,2019,3,Nigeria,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,1
2019-07-01,2019,3,Vietnam,Asia South East,Male,18 to 29,Negative,Reasonable grounds decision,1
2019-10-01,2019,4,Afghanistan,Asia Central,Male,18 to 29,Negative,Reasonable grounds decision,1
2019-10-01,2019,4,Albania,Europe Other,Female,18 to 29,Positive,Conclusive grounds decision,2
2019-10-01,2019,4,Albania,Europe Other,Female,18 to 29,Positive,Reasonable grounds decision,2
2019-10-01,2019,4,Albania,Europe Other,Male,18 to 29,Positive,Conclusive grounds decision,1
2019-10-01,2019,4,Albania,Europe Other,Male,18 to 29,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,Egypt,Africa North,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-10-01,2019,4,Egypt,Africa North,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,"Gambia, The",Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-10-01,2019,4,"Gambia, The",Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Negative,Conclusive grounds decision,1
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,5
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,3
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,5
2019-10-01,2019,4,Iran,Middle East,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2019-10-01,2019,4,Iran,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,4
2019-10-01,2019,4,Iran,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,2
2019-10-01,2019,4,Iran,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,5
2019-10-01,2019,4,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,6
2019-10-01,2019,4,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,12
2019-10-01,2019,4,Iran,Middle East,Male,17 and under,Negative,Reasonable grounds decision,1
2019-10-01,2019,4,Iraq,Middle East,Female,18 to 29,Positive,Conclusive grounds decision,1
2019-10-01,2019,4,Iraq,Middle East,Female,18 to 29,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,Iraq,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2019-10-01,2019,4,Iraq,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,Iraq,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,1
2019-10-01,2019,4,Iraq,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-10-01,2019,4,Syria,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,1
2020-01-01,2020,1,Iran,Middle East,Female,30 to 49,Positive,Conclusive grounds decision,1
2020-01-01,2020,1,Iran,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Iran,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-01-01,2020,1,Iran,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,2
2020-01-01,2020,1,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,2
2020-01-01,2020,1,Iran,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-01-01,2020,1,Iran,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,3
2020-01-01,2020,1,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,3
2020-01-01,2020,1,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,8
2020-01-01,2020,1,Iran,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,2
2020-01-01,2020,1,Iraq,Middle East,Male,30 to 49,Awaiting a reasonable grounds decision,Awaiting a decision,1
2020-01-01,2020,1,Iraq,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,1
2020-01-01,2020,1,Iraq,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,1
2020-01-01,2020,1,Iraq,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,2
2020-01-01,2020,1,Iraq,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2020-01-01,2020,1,Iraq,Middle East,Male,17 and under,Positive,Conclusive grounds decision,1
2020-01-01,2020,1,Iraq,Middle East,Male,17 and under,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Ivory Coast,Africa Sub-Saharan,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-01-01,2020,1,Ivory Coast,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Mali,Africa Sub-Saharan,Male,30 to 49,Positive,Conclusive grounds decision,1
2020-01-01,2020,1,Mali,Africa Sub-Saharan,Male,30 to 49,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Senegal,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-01-01,2020,1,Senegal,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Syria,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,1
2020-01-01,2020,1,Syria,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-01-01,2020,1,Syria,Middle East,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-01-01,2020,1,Yemen,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,17 and under,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,17 and under,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Afghanistan,Asia Central,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Albania,Europe Other,Male,17 and under,Negative,Conclusive grounds decision,1
2020-04-01,2020,2,Albania,Europe Other,Male,17 and under,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Chad,Africa Sub-Saharan,Male,18 to 29,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Chad,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Chad,Africa Sub-Saharan,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Chad,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Egypt,Africa North,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Egypt,Africa North,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Female,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Female,18 to 29,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Female,30 to 49,Positive,Conclusive grounds decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Female,30 to 49,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,30 to 49,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,30 to 49,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,17 and under,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Eritrea,Africa Sub-Saharan,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Female,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Female,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Male,17 and under,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,3
2020-04-01,2020,2,Ethiopia,Africa Sub-Saharan,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,"Gambia, The",Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,"Gambia, The",Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Guinea,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Guinea,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Guinea,Africa Sub-Saharan,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Guinea,Africa Sub-Saharan,Male,30 to 49,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Iran,Middle East,Female,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Iran,Middle East,Female,30 to 49,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Iran,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,22
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Awaiting a reasonable grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,2
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,7
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,29
2020-04-01,2020,2,Iran,Middle East,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,2
2020-04-01,2020,2,Iran,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,19
2020-04-01,2020,2,Iran,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,5
2020-04-01,2020,2,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,6
2020-04-01,2020,2,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,25
2020-04-01,2020,2,Iran,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,5
2020-04-01,2020,2,Iran,Middle East,Male,50 to 69,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iran,Middle East,Male,50 to 69,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Iran,Middle East,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iran,Middle East,Male,17 and under,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Iran,Middle East,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Iraq,Middle East,Female,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iraq,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Iraq,Middle East,Female,50 to 69,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iraq,Middle East,Female,50 to 69,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Iraq,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,12
2020-04-01,2020,2,Iraq,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,4
2020-04-01,2020,2,Iraq,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,7
2020-04-01,2020,2,Iraq,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,19
2020-04-01,2020,2,Iraq,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,6
2020-04-01,2020,2,Iraq,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,1
2020-04-01,2020,2,Iraq,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,3
2020-04-01,2020,2,Iraq,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,10
2020-04-01,2020,2,Iraq,Middle East,Male,17 and under,Awaiting a conclusive grounds decision,Awaiting a decision,3
2020-04-01,2020,2,Iraq,Middle East,Male,17 and under,Awaiting a reasonable grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Iraq,Middle East,Male,17 and under,Positive,Reasonable grounds decision,3
2020-04-01,2020,2,Iraq,Middle East,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Ivory Coast,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Ivory Coast,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,2
2020-04-01,2020,2,Ivory Coast,Africa Sub-Saharan,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Kuwait,Middle East,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Kuwait,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Kuwait,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,3
2020-04-01,2020,2,Liberia,Africa Sub-Saharan,Male,17 and under,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Liberia,Africa Sub-Saharan,Male,17 and under,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Mali,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,4
2020-04-01,2020,2,Mali,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,4
2020-04-01,2020,2,Mali,Africa Sub-Saharan,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Niger,Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Niger,Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Pakistan,Asia South,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Pakistan,Asia South,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,18 to 29,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,18 to 29,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,18 to 29,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,2
2020-04-01,2020,2,Refugee,Other,Male,30 to 49,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,30 to 49,Positive,Conclusive grounds decision,1
2020-04-01,2020,2,Refugee,Other,Male,30 to 49,Positive,Reasonable grounds decision,3
2020-04-01,2020,2,Refugee,Other,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Somalia,Africa Sub-Saharan,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Stateless,Other,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Stateless,Other,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Stateless,Other,Male,30 to 49,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Stateless,Other,Male,50 to 69,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Stateless,Other,Male,50 to 69,Positive,Reasonable grounds decision,1
2020-04-01,2020,2,Sudan,Africa North,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,13
2020-04-01,2020,2,Sudan,Africa North,Male,18 to 29,Negative,Reasonable grounds decision,1
2020-04-01,2020,2,Sudan,Africa North,Male,18 to 29,Positive,Conclusive grounds decision,4
2020-04-01,2020,2,Sudan,Africa North,Male,18 to 29,Positive,Reasonable grounds decision,17
2020-04-01,2020,2,Sudan,Africa North,Male,18 to 29,Withdrawn/Closed,Withdrawn/Closed,7
2020-04-01,2020,2,Sudan,Africa North,Male,30 to 49,Awaiting a conclusive grounds decision,Awaiting a decision,8
2020-04-01,2020,2,Sudan,Africa North,Male,30 to 49,Positive,Conclusive grounds decision,3
2020-04-01,2020,2,Sudan,Africa North,Male,30 to 49,Positive,Reasonable grounds decision,11
2020-04-01,2020,2,Sudan,Africa North,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Sudan,Africa North,Male,17 and under,Withdrawn/Closed,Withdrawn/Closed,1
2020-04-01,2020,2,Sudan (South),Africa Sub-Saharan,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2020-04-01,2020,2,Sudan (South),Africa Sub-Saharan,Male,18 to 29,Positive,Reasonable grounds decision,1
