Nationality,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
St.Lucia,2,2,1,1,1,2,3,3,1,3,1,6,4,4,4,10,1,4,2,2,1,2,2,3,5,1
Stateless Person (Article 1 of 1954 Convention),0,0,0,0,0,2,0,0,1,1,0,8,2,1,0,0,1,0,0,1,4,3,3,0,0,3
Sudan,2,0,2,0,2,0,0,3,0,0,0,5,4,1,4,0,0,2,7,0,4,3,2,1,7,3
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Syria Arab Republic,0,5,0,6,8,0,3,1,1,1,0,21,1,5,1,0,1,0,5,2,0,0,3,1,9,11
Taiwan (Republic of China),0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,1,3,4,0,2,1,4,3,2,12,2,0,3,1,1,1,2,1,2,2,2,2,7,2
Togo,0,1,0,0,0,0,1,0,0,1,1,1,3,0,2,0,0,0,0,3,1,0,0,0,0,2
Tonga,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,2,1,1,1,2,0,3,2,4,4,3,8,5,3,0,1,0,1,1,0,1,2,1,3,1,4
Tunisia,0,1,0,0,2,0,0,0,1,1,3,10,3,0,0,1,0,1,0,3,0,0,0,1,1,2
Turkey,0,1,1,0,6,4,5,2,5,4,2,7,2,2,10,8,4,4,4,1,2,4,18,10,11,22
Turkish controlled area of Cyprus,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,1,2,0,0,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0
Uganda,5,7,6,5,6,15,5,12,9,20,2,25,12,4,5,10,7,5,3,2,3,4,2,2,6,1
Ukraine,0,1,1,1,0,0,0,0,0,0,0,5,0,2,1,2,1,3,4,2,4,3,5,5,4,5
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United Nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
United Rep of Tanzania,1,3,2,2,5,1,2,2,7,6,3,15,0,1,5,5,6,2,2,2,0,1,0,1,0,0
United States of America,5,3,7,1,9,6,4,1,0,5,6,22,16,6,6,6,9,6,8,3,14,7,9,10,5,21
Unspecified Nationality,0,2,1,0,0,1,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,1,0,0,2
Uzbekistan,0,0,0,1,0,0,0,1,0,0,1,8,6,2,1,1,0,1,1,0,0,0,0,1,0,7
Venezuela,0,0,0,0,0,0,1,1,0,0,0,4,1,0,1,0,0,1,2,0,1,0,0,0,0,0
Vietnam,0,5,2,7,3,0,1,6,2,2,1,13,8,7,18,8,3,2,2,5,0,3,0,3,3,5
Yemen,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,4,1,2,1,5,1,15
Zambia,0,5,2,3,1,3,0,9,5,1,2,8,13,6,2,2,2,2,1,1,3,2,1,6,0,12
Zimbabwe,3,14,9,16,11,11,24,9,4,10,6,42,30,13,18,11,8,6,9,5,19,6,11,15,11,18
