Date,Year,Quarter,Nationality,Region,Grant,Refused,Initial grant rate
2001-01-01,2001,2001 Q1,Chad,Africa Sub-Saharan,12,56,0.17647058823529413
2001-01-01,2001,2001 Q1,Chile,America Central and South,1,5,0.16666666666666666
2001-01-01,2001,2001 Q1,China,Asia East,59,2022,0.028351753964440174
2001-01-01,2001,2001 Q1,Colombia,America Central and South,39,274,0.12460063897763578
2001-01-01,2001,2001 Q1,Congo,Africa Sub-Saharan,77,319,0.19444444444444445
2001-01-01,2001,2001 Q1,Congo (Democratic Republic),Africa Sub-Saharan,256,708,0.26556016597510373
2001-01-01,2001,2001 Q1,Croatia,EU Other,13,158,0.07602339181286549
2001-01-01,2001,2001 Q1,Cuba,America Central and South,1,16,0.058823529411764705
2001-01-01,2001,2001 Q1,Cyprus,EU Other,1,7,0.125
2001-01-01,2001,2001 Q1,Cyprus (Northern part of),Europe Other,22,174,0.11224489795918367
2001-01-01,2001,2001 Q1,Czech Republic,EU 8,NA,329,NA
2001-01-01,2001,2001 Q1,Djibouti,Africa Sub-Saharan,NA,1,NA
2001-01-01,2001,2001 Q1,Dominican Republic,America Central and South,1,3,0.25
2001-01-01,2001,2001 Q1,Ecuador,America Central and South,9,250,0.03474903474903475
2001-01-01,2001,2001 Q1,Egypt,Africa North,8,44,0.15384615384615385
2001-01-01,2001,2001 Q1,El Salvador,America Central and South,NA,2,NA
2001-01-01,2001,2001 Q1,Equatorial Guinea,Africa Sub-Saharan,NA,1,NA
2001-01-01,2001,2001 Q1,Eritrea,Africa Sub-Saharan,59,401,0.1282608695652174
2001-01-01,2001,2001 Q1,Estonia,EU 8,NA,174,NA
2001-01-01,2001,2001 Q1,Ethiopia,Africa Sub-Saharan,75,339,0.18115942028985507
2001-01-01,2001,2001 Q1,Fiji,Oceania,NA,3,NA
2001-01-01,2001,2001 Q1,Gabon,Africa Sub-Saharan,NA,4,NA
2001-01-01,2001,2001 Q1,"Gambia, The",Africa Sub-Saharan,10,27,0.2702702702702703
2001-01-01,2001,2001 Q1,Georgia,Europe Other,8,88,0.08333333333333333
2001-01-01,2001,2001 Q1,Ghana,Africa Sub-Saharan,33,136,0.1952662721893491
2001-01-01,2001,2001 Q1,Grenada,America Central and South,NA,2,NA
2001-01-01,2001,2001 Q1,Guatemala,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Guinea,Africa Sub-Saharan,10,22,0.3125
2001-01-01,2001,2001 Q1,Guinea-Bissau,Africa Sub-Saharan,NA,14,NA
2001-01-01,2001,2001 Q1,Guyana,America Central and South,NA,4,NA
2001-01-01,2001,2001 Q1,Haiti,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Honduras,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Hong Kong,Asia East,NA,12,NA
2001-01-01,2001,2001 Q1,Hungary,EU 8,NA,2,NA
2001-01-01,2001,2001 Q1,India,Asia South,26,1090,0.023297491039426525
2001-01-01,2001,2001 Q1,Indonesia,Asia South East,2,203,0.00975609756097561
2001-01-01,2001,2001 Q1,Iran,Middle East,289,2361,0.1090566037735849
2001-01-01,2001,2001 Q1,Iraq,Middle East,649,2692,0.1942532175995211
2001-01-01,2001,2001 Q1,Israel,Middle East,5,39,0.11363636363636363
2001-01-01,2001,2001 Q1,Ivory Coast,Africa Sub-Saharan,6,37,0.13953488372093023
2001-01-01,2001,2001 Q1,Jamaica,America Central and South,10,148,0.06329113924050633
2001-01-01,2001,2001 Q1,Japan,Asia East,NA,1,NA
2001-01-01,2001,2001 Q1,Jordan,Middle East,6,20,0.23076923076923078
2001-01-01,2001,2001 Q1,Kazakhstan,Asia Central,1,18,0.05263157894736842
2001-01-01,2001,2001 Q1,Kenya,Africa Sub-Saharan,44,394,0.1004566210045662
2001-01-01,2001,2001 Q1,Korea (North),Asia East,NA,9,NA
2001-01-01,2001,2001 Q1,Korea (South),Asia East,NA,2,NA
2001-01-01,2001,2001 Q1,Kuwait,Middle East,9,26,0.2571428571428571
2001-01-01,2001,2001 Q1,Kyrgyzstan,Asia Central,1,5,0.16666666666666666
2001-01-01,2001,2001 Q1,Latvia,EU 8,3,242,0.012244897959183673
2001-01-01,2001,2001 Q1,Lebanon,Middle East,16,245,0.06130268199233716
2001-01-01,2001,2001 Q1,Liberia,Africa Sub-Saharan,33,41,0.44594594594594594
2001-01-01,2001,2001 Q1,Libya,Africa North,38,137,0.21714285714285714
2001-01-01,2001,2001 Q1,Liechtenstein,Europe Other,NA,1,NA
2001-01-01,2001,2001 Q1,Lithuania,EU 8,15,377,0.03826530612244898
2001-01-01,2001,2001 Q1,Macedonia,Europe Other,2,70,0.027777777777777776
2001-01-01,2001,2001 Q1,Madagascar,Africa Sub-Saharan,NA,1,NA
2001-01-01,2001,2001 Q1,Malawi,Africa Sub-Saharan,NA,21,NA
2001-01-01,2001,2001 Q1,Malaysia,Asia South East,NA,12,NA
2001-01-01,2001,2001 Q1,Malta,EU Other,NA,1,NA
2001-01-01,2001,2001 Q1,Mauritania,Africa North,NA,2,NA
2001-01-01,2001,2001 Q1,Mauritius,Africa Sub-Saharan,1,4,0.2
2001-01-01,2001,2001 Q1,Moldova,Europe Other,4,119,0.032520325203252036
2001-01-01,2001,2001 Q1,Mongolia,Asia East,NA,62,NA
2001-01-01,2001,2001 Q1,Morocco,Africa North,NA,26,NA
2001-01-01,2001,2001 Q1,Mozambique,Africa Sub-Saharan,NA,4,NA
2001-01-01,2001,2001 Q1,Nepal,Asia South,16,402,0.03827751196172249
2001-01-01,2001,2001 Q1,Netherlands,EU 14,NA,2,NA
2001-01-01,2001,2001 Q1,Nicaragua,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Niger,Africa Sub-Saharan,NA,12,NA
2001-01-01,2001,2001 Q1,Nigeria,Africa Sub-Saharan,58,383,0.13151927437641722
2001-01-01,2001,2001 Q1,Occupied Palestinian Territories,Middle East,1,47,0.020833333333333332
2001-01-01,2001,2001 Q1,Oman,Middle East,NA,1,NA
2001-01-01,2001,2001 Q1,Other and unknown,Other,57,211,0.2126865671641791
2001-01-01,2001,2001 Q1,Pakistan,Asia South,90,1582,0.05382775119617225
2001-01-01,2001,2001 Q1,Peru,America Central and South,6,9,0.4
2001-01-01,2001,2001 Q1,Philippines,Asia South East,1,9,0.1
2001-01-01,2001,2001 Q1,Poland,EU 8,4,313,0.012618296529968454
2001-01-01,2001,2001 Q1,Portugal,EU 14,NA,1,NA
2001-01-01,2001,2001 Q1,Refugee,Other,1,4,0.2
2001-01-01,2001,2001 Q1,Romania,EU 2,19,820,0.02264600715137068
2001-01-01,2001,2001 Q1,Russia,Europe Other,23,483,0.045454545454545456
2001-01-01,2001,2001 Q1,Rwanda,Africa Sub-Saharan,155,156,0.4983922829581994
2001-01-01,2001,2001 Q1,Samoa,Oceania,NA,1,NA
2001-01-01,2001,2001 Q1,Saudi Arabia,Middle East,NA,4,NA
2001-01-01,2001,2001 Q1,Senegal,Africa Sub-Saharan,NA,7,NA
2001-01-01,2001,2001 Q1,Serbia and Montenegro,Europe Other,1018,3810,0.2108533554266777
2001-01-01,2001,2001 Q1,Seychelles,Africa Sub-Saharan,NA,5,NA
2001-01-01,2001,2001 Q1,Sierra Leone,Africa Sub-Saharan,640,205,0.757396449704142
2001-01-01,2001,2001 Q1,Singapore,Asia South East,NA,3,NA
2001-01-01,2001,2001 Q1,Slovakia,EU 8,3,36,0.07692307692307693
2001-01-01,2001,2001 Q1,Somalia,Africa Sub-Saharan,1633,1060,0.6063869290753806
2001-01-01,2001,2001 Q1,South Africa,Africa Sub-Saharan,3,51,0.05555555555555555
2001-01-01,2001,2001 Q1,Sri Lanka,Asia South,790,3938,0.16708967851099832
2001-01-01,2001,2001 Q1,St. Helena (British),Other,NA,1,NA
2001-01-01,2001,2001 Q1,St. Lucia,America Central and South,1,NA,NA
2001-01-01,2001,2001 Q1,St. Pierre and Miquelon,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,St. Vincent and the Grenadines,America Central and South,1,NA,NA
2001-01-01,2001,2001 Q1,Stateless,Other,NA,1,NA
2001-01-01,2001,2001 Q1,Sudan,Africa North,61,246,0.1986970684039088
2001-01-01,2001,2001 Q1,Surinam,America Central and South,1,NA,NA
2001-01-01,2001,2001 Q1,Syria,Middle East,19,92,0.17117117117117117
2001-01-01,2001,2001 Q1,Taiwan,Asia East,NA,4,NA
2001-01-01,2001,2001 Q1,Tajikistan,Asia Central,NA,5,NA
2001-01-01,2001,2001 Q1,Tanzania,Africa Sub-Saharan,5,47,0.09615384615384616
2001-01-01,2001,2001 Q1,Thailand,Asia South East,NA,9,NA
2001-01-01,2001,2001 Q1,Togo,Africa Sub-Saharan,13,36,0.2653061224489796
2001-01-01,2001,2001 Q1,Trinidad and Tobago,America Central and South,1,6,0.14285714285714285
2001-01-01,2001,2001 Q1,Tunisia,Africa North,3,13,0.1875
2001-01-01,2001,2001 Q1,Turkey,Europe Other,124,2080,0.056261343012704176
2001-01-01,2001,2001 Q1,Turkmenistan,Asia Central,NA,1,NA
2001-01-01,2001,2001 Q1,Turks and Caicos Islands (British),Other,NA,1,NA
2001-01-01,2001,2001 Q1,Uganda,Africa Sub-Saharan,36,390,0.08450704225352113
2001-01-01,2001,2001 Q1,Ukraine,Europe Other,20,612,0.03164556962025317
2001-01-01,2001,2001 Q1,United Arab Emirates,Middle East,3,1,0.75
2001-01-01,2001,2001 Q1,United States,America North,NA,2,NA
2001-01-01,2001,2001 Q1,Uruguay,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Uzbekistan,Asia Central,4,14,0.2222222222222222
2001-01-01,2001,2001 Q1,Venezuela,America Central and South,2,4,0.3333333333333333
2001-01-01,2001,2001 Q1,Vietnam,Asia South East,13,79,0.14130434782608695
2001-01-01,2001,2001 Q1,Western Sahara,Africa North,NA,1,NA
2001-01-01,2001,2001 Q1,Yemen,Middle East,18,99,0.15384615384615385
2001-01-01,2001,2001 Q1,Zambia,Africa Sub-Saharan,3,20,0.13043478260869565
2001-01-01,2001,2001 Q1,Zimbabwe,Africa Sub-Saharan,25,565,0.0423728813559322
2001-04-01,2001,2001 Q2,Afghanistan,Asia Central,2485,548,0.8193208044840092
2001-04-01,2001,2001 Q2,Albania,Europe Other,44,406,0.09777777777777778
2001-04-01,2001,2001 Q2,Algeria,Africa North,34,677,0.04781997187060478
2001-04-01,2001,2001 Q2,Angola,Africa Sub-Saharan,184,168,0.5227272727272727
2001-04-01,2001,2001 Q2,Argentina,America Central and South,2,NA,NA
2001-04-01,2001,2001 Q2,Armenia,Europe Other,1,22,0.043478260869565216
2001-04-01,2001,2001 Q2,Azerbaijan,Europe Other,7,18,0.28
2001-04-01,2001,2001 Q2,Bahrain,Middle East,1,NA,NA
2001-04-01,2001,2001 Q2,Bangladesh,Asia South,12,235,0.048582995951417005
2001-04-01,2001,2001 Q2,Belarus,Europe Other,2,112,0.017543859649122806
2001-04-01,2001,2001 Q2,Benin,Africa Sub-Saharan,NA,1,NA
2001-04-01,2001,2001 Q2,Bermuda (British),Other,1,NA,NA
2001-04-01,2001,2001 Q2,Bhutan,Asia South,6,18,0.25
2001-04-01,2001,2001 Q2,Bolivia,America Central and South,5,9,0.35714285714285715
2001-04-01,2001,2001 Q2,Bosnia and Herzegovina,Europe Other,13,44,0.22807017543859648
2001-04-01,2001,2001 Q2,Brazil,America Central and South,1,18,0.05263157894736842
2001-04-01,2001,2001 Q2,British overseas citizens,Other,2,7,0.2222222222222222
2001-04-01,2001,2001 Q2,Bulgaria,EU 2,6,31,0.16216216216216217
2001-04-01,2001,2001 Q2,Burkina,Africa Sub-Saharan,1,4,0.2
2001-04-01,2001,2001 Q2,Burma,Asia South East,6,22,0.21428571428571427
2001-04-01,2001,2001 Q2,Burundi,Africa Sub-Saharan,94,153,0.3805668016194332
2001-04-01,2001,2001 Q2,Cambodia,Asia South East,NA,1,NA
2001-04-01,2001,2001 Q2,Cameroon,Africa Sub-Saharan,18,111,0.13953488372093023
2001-04-01,2001,2001 Q2,Chad,Africa Sub-Saharan,2,15,0.11764705882352941
2001-04-01,2001,2001 Q2,Chile,America Central and South,NA,4,NA
2001-04-01,2001,2001 Q2,China,Asia East,31,753,0.039540816326530615
2001-04-01,2001,2001 Q2,Colombia,America Central and South,21,140,0.13043478260869565
2001-04-01,2001,2001 Q2,Comoros,Africa Sub-Saharan,NA,1,NA
2001-04-01,2001,2001 Q2,Congo,Africa Sub-Saharan,32,182,0.14953271028037382
2001-04-01,2001,2001 Q2,Congo (Democratic Republic),Africa Sub-Saharan,126,476,0.20930232558139536
2001-04-01,2001,2001 Q2,Croatia,EU Other,7,105,0.0625
2001-04-01,2001,2001 Q2,Cuba,America Central and South,1,5,0.16666666666666666
2001-04-01,2001,2001 Q2,Cyprus,EU Other,1,6,0.14285714285714285
2001-04-01,2001,2001 Q2,Cyprus (Northern part of),Europe Other,14,90,0.1346153846153846
2001-04-01,2001,2001 Q2,Czech Republic,EU 8,4,287,0.013745704467353952
2001-04-01,2001,2001 Q2,Ecuador,America Central and South,5,116,0.04132231404958678
2001-04-01,2001,2001 Q2,Egypt,Africa North,2,21,0.08695652173913043
2001-04-01,2001,2001 Q2,Equatorial Guinea,Africa Sub-Saharan,NA,3,NA
2001-04-01,2001,2001 Q2,Eritrea,Africa Sub-Saharan,101,256,0.28291316526610644
2001-04-01,2001,2001 Q2,Estonia,EU 8,1,51,0.019230769230769232
2001-04-01,2001,2001 Q2,Ethiopia,Africa Sub-Saharan,61,211,0.22426470588235295
2001-04-01,2001,2001 Q2,France,EU 14,NA,2,NA
2001-04-01,2001,2001 Q2,"Gambia, The",Africa Sub-Saharan,4,11,0.26666666666666666
2001-04-01,2001,2001 Q2,Georgia,Europe Other,5,48,0.09433962264150944
2001-04-01,2001,2001 Q2,Ghana,Africa Sub-Saharan,22,70,0.2391304347826087
2001-04-01,2001,2001 Q2,Greece,EU 14,NA,1,NA
2001-04-01,2001,2001 Q2,Grenada,America Central and South,1,NA,NA
2001-04-01,2001,2001 Q2,Guinea,Africa Sub-Saharan,13,12,0.52
2001-04-01,2001,2001 Q2,Guinea-Bissau,Africa Sub-Saharan,NA,2,NA
2001-04-01,2001,2001 Q2,Guyana,America Central and South,NA,1,NA
2001-04-01,2001,2001 Q2,Haiti,America Central and South,NA,1,NA
2001-04-01,2001,2001 Q2,Honduras,America Central and South,NA,1,NA
2001-04-01,2001,2001 Q2,Hong Kong,Asia East,NA,4,NA
2001-04-01,2001,2001 Q2,Hungary,EU 8,NA,2,NA
2001-04-01,2001,2001 Q2,India,Asia South,12,771,0.01532567049808429
2001-04-01,2001,2001 Q2,Indonesia,Asia South East,1,62,0.015873015873015872
2001-04-01,2001,2001 Q2,Iran,Middle East,195,1120,0.1482889733840304
2001-04-01,2001,2001 Q2,Iraq,Middle East,587,1470,0.28536703937773455
2001-04-01,2001,2001 Q2,Israel,Middle East,NA,24,NA
2001-04-01,2001,2001 Q2,Ivory Coast,Africa Sub-Saharan,18,227,0.07346938775510205
2001-04-01,2001,2001 Q2,Jamaica,America Central and South,3,102,0.02857142857142857
2001-04-01,2001,2001 Q2,Japan,Asia East,NA,4,NA
2001-04-01,2001,2001 Q2,Jordan,Middle East,NA,8,NA
2001-04-01,2001,2001 Q2,Kazakhstan,Asia Central,4,4,0.5
2001-04-01,2001,2001 Q2,Kenya,Africa Sub-Saharan,18,199,0.08294930875576037
2001-04-01,2001,2001 Q2,Korea (South),Asia East,NA,1,NA
2001-04-01,2001,2001 Q2,Kuwait,Middle East,2,9,0.18181818181818182
2001-04-01,2001,2001 Q2,Kyrgyzstan,Asia Central,1,NA,NA
2001-04-01,2001,2001 Q2,Latvia,EU 8,2,68,0.02857142857142857
2001-04-01,2001,2001 Q2,Lebanon,Middle East,12,85,0.12371134020618557
2001-04-01,2001,2001 Q2,Lesotho,Africa Sub-Saharan,NA,1,NA
2001-04-01,2001,2001 Q2,Liberia,Africa Sub-Saharan,15,13,0.5357142857142857
2001-04-01,2001,2001 Q2,Libya,Africa North,32,51,0.3855421686746988
2001-04-01,2001,2001 Q2,Lithuania,EU 8,6,121,0.047244094488188976
2001-04-01,2001,2001 Q2,Macedonia,Europe Other,5,78,0.060240963855421686
2001-04-01,2001,2001 Q2,Malawi,Africa Sub-Saharan,2,13,0.13333333333333333
2001-04-01,2001,2001 Q2,Malaysia,Asia South East,1,8,0.1111111111111111
2001-04-01,2001,2001 Q2,Mali,Africa Sub-Saharan,NA,2,NA
2001-04-01,2001,2001 Q2,Mauritania,Africa North,NA,2,NA
2001-04-01,2001,2001 Q2,Mauritius,Africa Sub-Saharan,NA,5,NA
2001-04-01,2001,2001 Q2,Moldova,Europe Other,12,84,0.125
2001-04-01,2001,2001 Q2,Mongolia,Asia East,1,52,0.018867924528301886
2001-04-01,2001,2001 Q2,Morocco,Africa North,NA,9,NA
2001-04-01,2001,2001 Q2,Namibia,Africa Sub-Saharan,NA,1,NA
2001-04-01,2001,2001 Q2,Nepal,Asia South,9,226,0.03829787234042553
2001-04-01,2001,2001 Q2,Niger,Africa Sub-Saharan,1,1,0.5
2001-04-01,2001,2001 Q2,Nigeria,Africa Sub-Saharan,40,216,0.15625
2001-04-01,2001,2001 Q2,Occupied Palestinian Territories,Middle East,NA,7,NA
2001-04-01,2001,2001 Q2,Oman,Middle East,NA,1,NA
2001-04-01,2001,2001 Q2,Other and unknown,Other,14,43,0.24561403508771928
2001-04-01,2001,2001 Q2,Pakistan,Asia South,80,909,0.08088978766430738
2001-04-01,2001,2001 Q2,Peru,America Central and South,5,5,0.5
2001-04-01,2001,2001 Q2,Philippines,Asia South East,3,10,0.23076923076923078
2001-04-01,2001,2001 Q2,Poland,EU 8,5,212,0.02304147465437788
2001-04-01,2001,2001 Q2,Portugal,EU 14,NA,1,NA
2001-04-01,2001,2001 Q2,Romania,EU 2,13,621,0.02050473186119874
2001-04-01,2001,2001 Q2,Russia,Europe Other,16,132,0.10810810810810811
2001-04-01,2001,2001 Q2,Rwanda,Africa Sub-Saharan,120,122,0.49586776859504134
2001-04-01,2001,2001 Q2,Saudi Arabia,Middle East,NA,4,NA
2001-04-01,2001,2001 Q2,Senegal,Africa Sub-Saharan,NA,5,NA
2001-04-01,2001,2001 Q2,Serbia and Montenegro,Europe Other,372,1941,0.1608300907911803
2001-04-01,2001,2001 Q2,Seychelles,Africa Sub-Saharan,1,4,0.2
2001-04-01,2001,2001 Q2,Sierra Leone,Africa Sub-Saharan,458,138,0.7684563758389261
2001-04-01,2001,2001 Q2,Slovakia,EU 8,NA,24,NA
2001-04-01,2001,2001 Q2,Slovenia,EU 8,NA,3,NA
2001-04-01,2001,2001 Q2,Somalia,Africa Sub-Saharan,1206,574,0.6775280898876405
2001-04-01,2001,2001 Q2,South Africa,Africa Sub-Saharan,NA,27,NA
2001-04-01,2001,2001 Q2,Spain,EU 14,NA,1,NA
2001-04-01,2001,2001 Q2,Sri Lanka,Asia South,460,1976,0.18883415435139572
2001-04-01,2001,2001 Q2,Stateless,Other,NA,1,NA
2001-04-01,2001,2001 Q2,Sudan,Africa North,53,165,0.24311926605504589
2001-04-01,2001,2001 Q2,Syria,Middle East,6,40,0.13043478260869565
2001-04-01,2001,2001 Q2,Tajikistan,Asia Central,NA,3,NA
2001-04-01,2001,2001 Q2,Tanzania,Africa Sub-Saharan,5,26,0.16129032258064516
2001-04-01,2001,2001 Q2,Thailand,Asia South East,NA,12,NA
2001-04-01,2001,2001 Q2,Togo,Africa Sub-Saharan,10,28,0.2631578947368421
2001-04-01,2001,2001 Q2,Trinidad and Tobago,America Central and South,NA,2,NA
2001-04-01,2001,2001 Q2,Tunisia,Africa North,4,13,0.23529411764705882
2001-04-01,2001,2001 Q2,Turkey,Europe Other,133,2278,0.05516383243467441
2001-04-01,2001,2001 Q2,Turkmenistan,Asia Central,NA,2,NA
2001-04-01,2001,2001 Q2,Uganda,Africa Sub-Saharan,36,258,0.12244897959183673
2001-04-01,2001,2001 Q2,Ukraine,Europe Other,4,265,0.01486988847583643
2001-04-01,2001,2001 Q2,United States,America North,NA,4,NA
2001-04-01,2001,2001 Q2,Uzbekistan,Asia Central,NA,6,NA
2001-04-01,2001,2001 Q2,Venezuela,America Central and South,NA,7,NA
2001-04-01,2001,2001 Q2,Vietnam,Asia South East,13,63,0.17105263157894737
2001-04-01,2001,2001 Q2,Western Sahara,Africa North,1,NA,NA
2001-04-01,2001,2001 Q2,Yemen,Middle East,14,37,0.27450980392156865
2001-04-01,2001,2001 Q2,Zambia,Africa Sub-Saharan,1,10,0.09090909090909091
2001-04-01,2001,2001 Q2,Zimbabwe,Africa Sub-Saharan,36,403,0.08200455580865604
2001-07-01,2001,2001 Q3,Afghanistan,Asia Central,1909,506,0.7904761904761904
2001-07-01,2001,2001 Q3,Albania,Europe Other,33,331,0.09065934065934066
2001-07-01,2001,2001 Q3,Algeria,Africa North,27,385,0.06553398058252427
2001-07-01,2001,2001 Q3,Andorra,Europe Other,1,NA,NA
2001-07-01,2001,2001 Q3,Angola,Africa Sub-Saharan,135,131,0.5075187969924813
2001-07-01,2001,2001 Q3,Argentina,America Central and South,1,NA,NA
2001-07-01,2001,2001 Q3,Armenia,Europe Other,1,21,0.045454545454545456
2001-07-01,2001,2001 Q3,Azerbaijan,Europe Other,2,22,0.08333333333333333
2001-07-01,2001,2001 Q3,Bahrain,Middle East,NA,2,NA
2001-07-01,2001,2001 Q3,Bangladesh,Asia South,6,141,0.04081632653061224
2001-07-01,2001,2001 Q3,Barbados,America Central and South,NA,1,NA
2001-07-01,2001,2001 Q3,Belarus,Europe Other,3,74,0.03896103896103896
2001-07-01,2001,2001 Q3,Benin,Africa Sub-Saharan,NA,2,NA
2001-07-01,2001,2001 Q3,Bhutan,Asia South,2,6,0.25
2001-07-01,2001,2001 Q3,Bolivia,America Central and South,NA,12,NA
2001-07-01,2001,2001 Q3,Bosnia and Herzegovina,Europe Other,5,35,0.125
2001-07-01,2001,2001 Q3,Botswana,Africa Sub-Saharan,NA,2,NA
2001-07-01,2001,2001 Q3,Brazil,America Central and South,NA,10,NA
2001-07-01,2001,2001 Q3,British overseas citizens,Other,1,1,0.5
2001-07-01,2001,2001 Q3,Bulgaria,EU 2,2,23,0.08
2001-07-01,2001,2001 Q3,Burkina,Africa Sub-Saharan,NA,5,NA
2001-07-01,2001,2001 Q3,Burma,Asia South East,10,33,0.23255813953488372
2001-07-01,2001,2001 Q3,Burundi,Africa Sub-Saharan,100,102,0.49504950495049505
2001-07-01,2001,2001 Q3,Cameroon,Africa Sub-Saharan,13,76,0.14606741573033707
2001-07-01,2001,2001 Q3,Central African Republic,Africa Sub-Saharan,NA,1,NA
2001-07-01,2001,2001 Q3,Chad,Africa Sub-Saharan,5,6,0.45454545454545453
2001-07-01,2001,2001 Q3,Chile,America Central and South,1,2,0.3333333333333333
2001-07-01,2001,2001 Q3,China,Asia East,45,632,0.06646971935007386
2001-07-01,2001,2001 Q3,Colombia,America Central and South,19,134,0.12418300653594772
2001-07-01,2001,2001 Q3,Congo,Africa Sub-Saharan,32,98,0.24615384615384617
2001-07-01,2001,2001 Q3,Congo (Democratic Republic),Africa Sub-Saharan,128,289,0.3069544364508393
2001-07-01,2001,2001 Q3,Croatia,EU Other,8,49,0.14035087719298245
2001-07-01,2001,2001 Q3,Cuba,America Central and South,NA,1,NA
2001-07-01,2001,2001 Q3,Cyprus,EU Other,NA,7,NA
2001-07-01,2001,2001 Q3,Cyprus (Northern part of),Europe Other,6,46,0.11538461538461539
2001-07-01,2001,2001 Q3,Czech Republic,EU 8,2,185,0.0106951871657754
2001-07-01,2001,2001 Q3,Ecuador,America Central and South,7,77,0.08333333333333333
2001-07-01,2001,2001 Q3,Egypt,Africa North,2,11,0.15384615384615385
2001-07-01,2001,2001 Q3,Eritrea,Africa Sub-Saharan,86,136,0.38738738738738737
2001-07-01,2001,2001 Q3,Estonia,EU 8,NA,32,NA
2001-07-01,2001,2001 Q3,Ethiopia,Africa Sub-Saharan,89,134,0.3991031390134529
2001-07-01,2001,2001 Q3,Fiji,Oceania,NA,2,NA
2001-07-01,2001,2001 Q3,"Gambia, The",Africa Sub-Saharan,6,15,0.2857142857142857
2001-07-01,2001,2001 Q3,Georgia,Europe Other,NA,33,NA
2001-07-01,2001,2001 Q3,Ghana,Africa Sub-Saharan,22,64,0.2558139534883721
2001-07-01,2001,2001 Q3,Guadeloupe,America Central and South,NA,1,NA
2001-07-01,2001,2001 Q3,Guinea,Africa Sub-Saharan,5,23,0.17857142857142858
2001-07-01,2001,2001 Q3,Guinea-Bissau,Africa Sub-Saharan,NA,4,NA
2001-07-01,2001,2001 Q3,Guyana,America Central and South,NA,2,NA
2001-07-01,2001,2001 Q3,Haiti,America Central and South,NA,1,NA
2001-07-01,2001,2001 Q3,Hong Kong,Asia East,NA,1,NA
2001-07-01,2001,2001 Q3,Hungary,EU 8,NA,1,NA
2001-07-01,2001,2001 Q3,India,Asia South,10,607,0.01620745542949757
2001-07-01,2001,2001 Q3,Indonesia,Asia South East,NA,80,NA
2001-07-01,2001,2001 Q3,Iran,Middle East,190,894,0.1752767527675277
2001-07-01,2001,2001 Q3,Iraq,Middle East,702,1220,0.36524453694068676
2001-07-01,2001,2001 Q3,Israel,Middle East,2,15,0.11764705882352941
2001-07-01,2001,2001 Q3,Ivory Coast,Africa Sub-Saharan,10,120,0.07692307692307693
