Date,Year,Quarter,Nationality,Region,Asylum Case Outcome,Asylum Case Outcome Group,Applicant type,UASC,Sex,Age Group,Decisions
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,25 to 39,1
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Female,40 and over,1
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,17 and under,1
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,5
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,36
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,6
2018-12-31,2018,4,Iran,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2018-12-31,2018,4,Iran,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,1
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,3
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,5
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,4
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,18
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,90
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,16
2018-12-31,2018,4,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,4
2018-12-31,2018,4,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,2
2018-12-31,2018,4,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,2
2018-12-31,2018,4,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,2
2018-12-31,2018,4,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,4
2018-12-31,2018,4,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,8
2018-12-31,2018,4,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2018-12-31,2018,4,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,17 and under,3
2018-12-31,2018,4,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,25 to 39,1
2018-12-31,2018,4,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,1
2018-12-31,2018,4,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,3
2018-12-31,2018,4,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,2
2018-12-31,2018,4,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,1
2019-03-31,2019,1,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,6
2019-03-31,2019,1,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,25
2019-03-31,2019,1,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,5
2019-03-31,2019,1,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,4
2019-03-31,2019,1,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,14
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,4
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,18 to 24,1
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,3
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,3
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,25 to 39,1
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,2
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,1
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,4
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,45
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,7
2019-03-31,2019,1,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,4
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,2
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,2
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,1
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,7
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,5
2019-03-31,2019,1,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2019-03-31,2019,1,Iraq,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Dependant,Non-UASC,Female,17 and under,3
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Dependant,Non-UASC,Female,40 and over,1
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Dependant,Non-UASC,Male,17 and under,2
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,1
2019-03-31,2019,1,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,1
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,17 and under,1
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,25 to 39,3
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,3
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,9
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,11
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,1
2019-03-31,2019,1,Iraq,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,2
2019-03-31,2019,1,Iraq,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Female,25 to 39,1
2019-03-31,2019,1,Iraq,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2019-03-31,2019,1,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,1
2019-03-31,2019,1,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,1
2019-03-31,2019,1,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2019-03-31,2019,1,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,2
2019-03-31,2019,1,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,4
2019-06-30,2019,2,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,2
2019-06-30,2019,2,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2019-06-30,2019,2,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,2
2019-06-30,2019,2,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2019-06-30,2019,2,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,2
2019-06-30,2019,2,Afghanistan,Asia Central,UASC Leave,Grant of Other Leave,Main applicant,UASC,Male,17 and under,1
2019-06-30,2019,2,Albania,Europe Other,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Albania,Europe Other,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,2
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,2
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,2
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,13
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,50
2019-06-30,2019,2,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,7
2019-06-30,2019,2,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Iran,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,1
2019-06-30,2019,2,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,3
2019-06-30,2019,2,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,6
2019-06-30,2019,2,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,3
2019-06-30,2019,2,Iran,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2019-06-30,2019,2,Iran,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Iran,Middle East,Other Withdrawal,Withdrawn,Main applicant,UASC,Male,17 and under,1
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,5
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,40 and over,2
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,1
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,4
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,20
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,66
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,20
2019-06-30,2019,2,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,6
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,17
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,9
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,10
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,25 to 39,3
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,4
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,40 and over,1
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,10
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,26
2019-06-30,2019,2,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,2
2019-06-30,2019,2,Iraq,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,17 and under,1
2019-06-30,2019,2,Iraq,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Iraq,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Male,17 and under,1
2019-06-30,2019,2,Iraq,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,3
2019-06-30,2019,2,Iraq,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,UASC,Male,17 and under,3
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,17 and under,7
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,18 to 24,2
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,25 to 39,2
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,40 and over,1
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,5
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,25 to 39,3
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Female,18 to 24,1
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Female,25 to 39,3
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,8
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,7
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,2
2019-06-30,2019,2,Iraq,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2019-06-30,2019,2,Iraq,Middle East,Other Withdrawal,Withdrawn,Dependant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Iraq,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,2
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,2
2019-06-30,2019,2,Iraq,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,5
2019-06-30,2019,2,Pakistan,Asia South,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Pakistan,Asia South,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,3
2019-06-30,2019,2,Pakistan,Asia South,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,3
2019-06-30,2019,2,Pakistan,Asia South,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Tajikistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,40 and over,1
2019-09-30,2019,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,7
2019-09-30,2019,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,8
2019-09-30,2019,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Afghanistan,Asia Central,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,4
2019-09-30,2019,3,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,2
2019-09-30,2019,3,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,6
2019-09-30,2019,3,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,9
2019-09-30,2019,3,Afghanistan,Asia Central,UASC Leave,Grant of Other Leave,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,2
2019-09-30,2019,3,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,1
2019-09-30,2019,3,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Guinea,Africa Sub-Saharan,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Guinea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,5
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,18 to 24,1
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,4
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,8
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,6
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,40 and over,1
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,14
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,121
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,19
2019-09-30,2019,3,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,25 to 39,1
2019-09-30,2019,3,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,4
2019-09-30,2019,3,Iran,Middle East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,Iran,Middle East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,2
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,17 and under,1
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,40 and over,1
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,5
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,12
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,2
2019-09-30,2019,3,Iran,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Iran,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,6
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,6
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,40 and over,1
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,6
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,25 to 39,4
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,2
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,10
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,8
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,30
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,157
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,28
2019-09-30,2019,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,15
