Date,Nationality,Region,Support Type,Support Sub-Type,UK Region,People
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,South West,13
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,Wales,16
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,West Midlands,25
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,Yorkshire and The Humber,31
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,East Midlands,3
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,East of England,1
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,London,12
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,North West,1
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,South East,2
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,South West,1
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,Wales,1
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,West Midlands,6
2014-03-31,Algeria,Africa North,Section 95,Subsistence Only,Yorkshire and The Humber,1
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,2
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,1
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,11
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,22
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,3
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,5
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,13
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,2
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,13
2014-03-31,Angola,Africa Sub-Saharan,Section 95,Subsistence Only,London,3
2014-03-31,Armenia,Europe Other,Section 95,Dispersed Accommodation,North East,3
2014-03-31,Armenia,Europe Other,Section 95,Dispersed Accommodation,North West,13
2014-03-31,Armenia,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,1
2014-03-31,Armenia,Europe Other,Section 95,Subsistence Only,London,14
2014-03-31,Armenia,Europe Other,Section 95,Subsistence Only,West Midlands,1
2014-03-31,Australia,Oceania,Section 95,Dispersed Accommodation,London,1
2014-03-31,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,London,1
2014-03-31,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,North East,4
2014-03-31,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,North West,13
2014-03-31,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,South East,4
2014-03-31,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,West Midlands,4
2014-03-31,Azerbaijan,Europe Other,Section 95,Subsistence Only,London,3
2014-03-31,Azerbaijan,Europe Other,Section 95,Subsistence Only,Scotland,1
2014-03-31,Bahrain,Middle East,Section 95,Dispersed Accommodation,East of England,6
2014-03-31,Bahrain,Middle East,Section 95,Dispersed Accommodation,North West,13
2014-03-31,Bahrain,Middle East,Section 95,Dispersed Accommodation,West Midlands,2
2014-03-31,Bahrain,Middle East,Section 95,Dispersed Accommodation,Yorkshire and The Humber,1
2014-03-31,Bahrain,Middle East,Section 95,Subsistence Only,London,4
2014-03-31,Bahrain,Middle East,Section 95,Subsistence Only,Wales,1
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,East Midlands,19
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,East of England,2
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,London,11
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,North East,33
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,North West,87
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Northern Ireland,2
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Scotland,5
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,South East,6
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,South West,14
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Unknown,3
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Wales,26
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,West Midlands,73
2014-03-31,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,21
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,East Midlands,9
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,East of England,6
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,London,32
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,North West,11
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,Scotland,3
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,South West,1
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,Unknown,1
2014-03-31,Bangladesh,Asia South,Section 95,Subsistence Only,West Midlands,10
2014-03-31,Belarus,Europe Other,Section 95,Dispersed Accommodation,London,5
2014-03-31,Belarus,Europe Other,Section 95,Dispersed Accommodation,North West,4
2014-03-31,Belarus,Europe Other,Section 95,Dispersed Accommodation,Northern Ireland,5
2014-03-31,Belarus,Europe Other,Section 95,Dispersed Accommodation,West Midlands,1
2014-03-31,Belarus,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,6
2014-03-31,Belarus,Europe Other,Section 95,Subsistence Only,London,2
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,2
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,1
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,4
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,3
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,2
2014-03-31,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,1
2014-03-31,Bhutan,Asia South,Section 95,Dispersed Accommodation,North East,1
2014-03-31,Bhutan,Asia South,Section 95,Dispersed Accommodation,North West,5
2014-03-31,Bhutan,Asia South,Section 95,Subsistence Only,West Midlands,1
2014-03-31,Bolivia,America Central and South,Section 95,Dispersed Accommodation,London,9
2014-03-31,Bolivia,America Central and South,Section 95,Dispersed Accommodation,Scotland,1
2014-03-31,Bolivia,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,10
2014-03-31,Bolivia,America Central and South,Section 95,Subsistence Only,London,7
2014-03-31,Bosnia and Herzegovina,Europe Other,Section 95,Dispersed Accommodation,North West,5
2014-03-31,Bosnia and Herzegovina,Europe Other,Section 95,Dispersed Accommodation,West Midlands,7
2014-03-31,Bosnia and Herzegovina,Europe Other,Section 95,Subsistence Only,West Midlands,1
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,3
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,5
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,3
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,2
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,2
2014-03-31,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,3
2014-03-31,Brazil,America Central and South,Section 95,Dispersed Accommodation,West Midlands,1
2014-03-31,Brazil,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,5
2014-03-31,Brazil,America Central and South,Section 95,Subsistence Only,London,3
2014-03-31,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,6
2014-03-31,Burma,Asia South East,Section 95,Dispersed Accommodation,North East,5
2014-03-31,Burma,Asia South East,Section 95,Dispersed Accommodation,North West,1
2014-03-31,Burma,Asia South East,Section 95,Dispersed Accommodation,Wales,1
2014-03-31,Burma,Asia South East,Section 95,Dispersed Accommodation,West Midlands,1
2014-03-31,Burma,Asia South East,Section 95,Dispersed Accommodation,Yorkshire and The Humber,4
2014-03-31,Burma,Asia South East,Section 95,Subsistence Only,Scotland,1
2014-03-31,Burma,Asia South East,Section 95,Subsistence Only,Yorkshire and The Humber,1
2014-03-31,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,3
2014-03-31,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,2
2014-03-31,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,3
2014-03-31,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,6
2014-03-31,Burundi,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,3
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,15
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,1
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,12
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,2
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,23
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,17
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,3
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,7
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,15
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,10
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,East Midlands,2
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,London,2
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,Wales,3
2014-03-31,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,2
2014-03-31,Canada,America North,Section 95,Dispersed Accommodation,West Midlands,1
2014-03-31,Cape Verde,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,4
2014-03-31,Central African Republic,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,3
2014-03-31,Central African Republic,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,1
2014-03-31,Central African Republic,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,3
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,1
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,5
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,1
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,1
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,1
2014-03-31,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,4
2014-03-31,Chile,America Central and South,Section 95,Dispersed Accommodation,Wales,1
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,East Midlands,97
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,East of England,37
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,London,33
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,North East,122
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,North West,361
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,Northern Ireland,162
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,Scotland,868
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,South East,36
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,South West,28
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,Unknown,4
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,Wales,238
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,West Midlands,236
2014-03-31,China,Asia East,Section 95,Dispersed Accommodation,Yorkshire and The Humber,204
2014-03-31,China,Asia East,Section 95,Subsistence Only,East Midlands,1
2014-03-31,China,Asia East,Section 95,Subsistence Only,East of England,2
2014-03-31,China,Asia East,Section 95,Subsistence Only,London,52
2014-03-31,China,Asia East,Section 95,Subsistence Only,North East,2
2014-03-31,China,Asia East,Section 95,Subsistence Only,North West,4
2014-03-31,China,Asia East,Section 95,Subsistence Only,South West,3
2014-03-31,China,Asia East,Section 95,Subsistence Only,Wales,1
2014-03-31,China,Asia East,Section 95,Subsistence Only,West Midlands,8
2014-03-31,China,Asia East,Section 95,Subsistence Only,Yorkshire and The Humber,2
2014-03-31,Comoros,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,3
2014-03-31,Comoros,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,1
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,5
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,4
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,16
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,20
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,44
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,2
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,8
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,3
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,6
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,30
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,19
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,26
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,London,3
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,North West,1
2014-03-31,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,1
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,7
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,31
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,18
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,72
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,15
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,2
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,7
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,11
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,35
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,7
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,London,15
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,North East,2
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,North West,4
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,South West,1
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,Unknown,1
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,Wales,1
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,5
2014-03-31,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,Yorkshire and The Humber,1
2014-03-31,Cuba,America Central and South,Section 95,Dispersed Accommodation,North West,4
2014-03-31,Cuba,America Central and South,Section 95,Dispersed Accommodation,Scotland,2
2014-03-31,Cuba,America Central and South,Section 95,Dispersed Accommodation,West Midlands,7
2014-03-31,Cyprus (Northern part of),Europe Other,Section 95,Subsistence Only,East Midlands,1
2014-03-31,Djibouti,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,3
2014-03-31,Dominica,America Central and South,Section 95,Dispersed Accommodation,North West,2
2014-03-31,Dominica,America Central and South,Section 95,Dispersed Accommodation,West Midlands,2
2014-03-31,Ecuador,America Central and South,Section 95,Dispersed Accommodation,West Midlands,4
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,East Midlands,8
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,London,12
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,North East,37
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,North West,32
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,Northern Ireland,2
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,Scotland,3
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,South East,2
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,South West,4
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,Wales,23
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,West Midlands,17
2014-03-31,Egypt,Africa North,Section 95,Dispersed Accommodation,Yorkshire and The Humber,19
2014-03-31,Egypt,Africa North,Section 95,Subsistence Only,East of England,1
2014-03-31,Egypt,Africa North,Section 95,Subsistence Only,London,14
2014-03-31,Egypt,Africa North,Section 95,Subsistence Only,South East,6
2014-03-31,Egypt,Africa North,Section 95,Subsistence Only,Wales,1
2014-03-31,El Salvador,America Central and South,Section 95,Dispersed Accommodation,Wales,19
2014-03-31,El Salvador,America Central and South,Section 95,Dispersed Accommodation,West Midlands,5
2014-03-31,Equatorial Guinea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,3
2014-03-31,Equatorial Guinea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,1
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,63
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,10
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,13
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,120
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,169
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,10
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,91
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,2
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,35
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,73
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,152
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,129
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Subsistence Only,London,2
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Subsistence Only,North West,2
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Subsistence Only,Wales,1
2014-03-31,Eritrea,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,6
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,17
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,4
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,11
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,29
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,3
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,14
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,4
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,18
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,28
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,19
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Subsistence Only,London,8
2014-03-31,Ethiopia,Africa Sub-Saharan,Section 95,Subsistence Only,Scotland,3
2014-03-31,France,EU 14,Section 95,Dispersed Accommodation,East of England,1
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,19
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,9
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,8
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,28
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,112
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,73
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,2
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,14
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,38
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,49
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,36
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,East Midlands,1
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,East of England,1
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,London,6
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,North West,1
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,Scotland,3
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,South East,7
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,South West,3
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,9
2014-03-31,"Gambia, The",Africa Sub-Saharan,Section 95,Subsistence Only,Yorkshire and The Humber,2
2014-03-31,Georgia,Europe Other,Section 95,Dispersed Accommodation,East of England,2
2014-03-31,Georgia,Europe Other,Section 95,Dispersed Accommodation,London,5
2014-03-31,Georgia,Europe Other,Section 95,Dispersed Accommodation,North East,5
2014-03-31,Georgia,Europe Other,Section 95,Dispersed Accommodation,North West,16
