Year,Nationality,Region,Grant,Refused,Initial grant rate
2001,Cyprus,EU Other,4,26,0.13333333333333333
2001,Cyprus (Northern part of),Europe Other,49,352,0.12219451371571072
2001,Czechia,EU 8,7,887,0.007829977628635347
2001,Djibouti,Africa Sub-Saharan,0,4,0
2001,Dominican Republic,America Central and South,1,3,0.25
2001,Ecuador,America Central and South,23,496,0.04431599229287091
2001,Egypt,Africa North,12,94,0.11320754716981132
2001,El Salvador,America Central and South,0,2,0
2001,Equatorial Guinea,Africa Sub-Saharan,0,4,0
2001,Eritrea,Africa Sub-Saharan,351,954,0.2689655172413793
2001,Estonia,EU 8,1,276,0.0036101083032490976
2001,Eswatini,Africa Sub-Saharan,0,1,0
2001,Ethiopia,Africa Sub-Saharan,330,844,0.28109028960817717
2001,Fiji,Oceania,0,5,0
2001,France,EU 14,0,4,0
2001,Gabon,Africa Sub-Saharan,0,8,0
2001,"Gambia, The",Africa Sub-Saharan,24,64,0.2727272727272727
2001,Georgia,Europe Other,14,202,0.06481481481481481
2001,Ghana,Africa Sub-Saharan,93,330,0.2198581560283688
2001,Greece,EU 14,0,1,0
2001,Grenada,America Central and South,1,2,0.3333333333333333
2001,Guadeloupe (French),America Central and South,0,1,0
2001,Guatemala,America Central and South,0,1,0
2001,Guinea,Africa Sub-Saharan,34,76,0.3090909090909091
2001,Guinea-Bissau,Africa Sub-Saharan,0,25,0
2001,Guyana,America Central and South,0,7,0
2001,Haiti,America Central and South,0,3,0
2001,Honduras,America Central and South,0,2,0
2001,Hong Kong,Asia East,0,20,0
2001,Hungary,EU 8,0,7,0
2001,India,Asia South,62,2878,0.02108843537414966
2001,Indonesia,Asia South East,3,364,0.008174386920980926
2001,Iran,Middle East,880,5122,0.14661779406864378
2001,Iraq,Middle East,2718,6317,0.3008301051466519
2001,Israel,Middle East,7,92,0.0707070707070707
2001,Ivory Coast,Africa Sub-Saharan,41,457,0.0823293172690763
2001,Jamaica,America Central and South,20,469,0.0408997955010225
2001,Japan,Asia East,0,5,0
2001,Jordan,Middle East,9,42,0.17647058823529413
2001,Kazakhstan,Asia Central,8,36,0.18181818181818182
2001,Kenya,Africa Sub-Saharan,96,820,0.10480349344978165
2001,Kuwait,Middle East,19,44,0.30158730158730157
2001,Kyrgyzstan,Asia Central,2,10,0.16666666666666666
2001,Latvia,EU 8,7,405,0.01699029126213592
2001,Lebanon,Middle East,37,423,0.08043478260869565
2001,Lesotho,Africa Sub-Saharan,0,2,0
2001,Liberia,Africa Sub-Saharan,98,94,0.5104166666666666
2001,Libya,Africa North,143,215,0.3994413407821229
2001,Liechtenstein,Europe Other,0,1,0
2001,Lithuania,EU 8,31,664,0.04460431654676259
2001,Macau,Asia East,1,4,0.2
2001,Madagascar,Africa Sub-Saharan,0,1,0
2001,Malawi,Africa Sub-Saharan,2,54,0.03571428571428571
2001,Malaysia,Asia South East,1,25,0.038461538461538464
2001,Maldives,Asia South,0,1,0
2001,Mali,Africa Sub-Saharan,0,3,0
2001,Malta,EU Other,0,1,0
2001,Mauritania,Africa North,0,8,0
2001,Mauritius,Africa Sub-Saharan,4,19,0.17391304347826086
2001,Mexico,America Central and South,0,2,0
2001,Moldova,Europe Other,51,358,0.12469437652811736
2001,Mongolia,Asia East,2,181,0.01092896174863388
2001,Morocco,Africa North,1,50,0.0196078431372549
2001,Mozambique,Africa Sub-Saharan,2,5,0.2857142857142857
2001,Myanmar (Burma),Asia South East,35,89,0.28225806451612906
2001,Namibia,Africa Sub-Saharan,1,3,0.25
2001,Nepal,Asia South,42,971,0.04146100691016782
2001,Netherlands,EU 14,0,2,0
2001,Nicaragua,America Central and South,0,2,0
2001,Niger,Africa Sub-Saharan,1,23,0.041666666666666664
2001,Nigeria,Africa Sub-Saharan,157,1110,0.1239147592738753
2001,North Korea,Asia East,0,14,0
2001,North Macedonia,Europe Other,152,493,0.23565891472868217
2001,Occupied Palestinian Territories,Middle East,3,68,0.04225352112676056
2001,Oman,Middle East,0,4,0
2001,Other and unknown,Other,108,341,0.24053452115812918
2001,Pakistan,Asia South,358,3993,0.0822799356469777
2001,Peru,America Central and South,12,23,0.34285714285714286
2001,Philippines,Asia South East,5,46,0.09803921568627451
2001,Poland,EU 8,15,798,0.01845018450184502
2001,Portugal,EU 14,0,2,0
2001,Refugee,Other,1,4,0.2
2001,Romania,EU 2,75,2130,0.034013605442176874
2001,Russia,Europe Other,59,840,0.06562847608453838
2001,Rwanda,Africa Sub-Saharan,537,455,0.5413306451612904
2001,Samoa,Oceania,0,1,0
2001,Saudi Arabia,Middle East,0,10,0
2001,Senegal,Africa Sub-Saharan,0,15,0
2001,Serbia and Montenegro,Europe Other,2420,9011,0.2117050126848045
2001,Seychelles,Africa Sub-Saharan,2,17,0.10526315789473684
2001,Sierra Leone,Africa Sub-Saharan,1593,1126,0.5858771607208533
2001,Singapore,Asia South East,0,3,0
2001,Slovakia,EU 8,3,92,0.031578947368421054
2001,Slovenia,EU 8,0,4,0
2001,Somalia,Africa Sub-Saharan,4906,3524,0.5819691577698695
2001,South Africa,Africa Sub-Saharan,5,136,0.03546099290780142
2001,South Korea,Asia East,0,4,0
2001,Spain,EU 14,0,7,0
2001,Sri Lanka,Asia South,1979,8371,0.19120772946859904
2001,"St Helena, Ascension and Tristan da Cunha (British)",Other,0,1,0
2001,St Lucia,America Central and South,1,1,0.5
2001,St Pierre and Miquelon (French),America North,0,1,0
2001,St Vincent and the Grenadines,America Central and South,1,1,0.5
2001,Stateless,Other,0,2,0
2001,Sudan,Africa North,174,596,0.22597402597402597
2001,Suriname,America Central and South,2,1,0.6666666666666666
2001,Switzerland,Europe Other,0,3,0
2001,Syria,Middle East,35,178,0.1643192488262911
2001,Taiwan,Asia East,0,5,0
2001,Tajikistan,Asia Central,1,12,0.07692307692307693
2001,Tanzania,Africa Sub-Saharan,24,108,0.18181818181818182
2001,Thailand,Asia South East,0,30,0
2001,Togo,Africa Sub-Saharan,36,117,0.23529411764705882
2001,Trinidad and Tobago,America Central and South,1,8,0.1111111111111111
2001,Tunisia,Africa North,8,40,0.16666666666666666
2001,Turkey,Europe Other,487,7340,0.06222051871726077
2001,Turkmenistan,Asia Central,0,3,0
2001,Turks and Caicos Islands (British),America Central and South,0,1,0
2001,Uganda,Africa Sub-Saharan,145,957,0.13157894736842105
2001,Ukraine,Europe Other,36,1142,0.030560271646859084
2001,United Arab Emirates,Middle East,4,1,0.8
2001,United States,America North,1,9,0.1
2001,Uruguay,America Central and South,1,1,0.5
2001,Uzbekistan,Asia Central,4,24,0.14285714285714285
2001,Venezuela,America Central and South,2,16,0.1111111111111111
2001,Vietnam,Asia South East,90,300,0.23076923076923078
2001,Western Sahara,Africa North,1,3,0.25
2001,Yemen,Middle East,53,228,0.18861209964412812
2001,Zambia,Africa Sub-Saharan,5,38,0.11627906976744186
2001,Zimbabwe,Africa Sub-Saharan,163,1968,0.07648991083998123
2002,Afghanistan,Asia Central,4879,3298,0.5966735966735967
2002,Albania,Europe Other,307,946,0.24501197126895452
2002,Algeria,Africa North,55,1074,0.048715677590788306
2002,American Samoa (United States),Oceania,0,1,0
2002,Angola,Africa Sub-Saharan,764,578,0.5692995529061102
2002,Antigua and Barbuda,America Central and South,0,2,0
2002,Argentina,America Central and South,1,4,0.2
2002,Armenia,Europe Other,13,70,0.1566265060240964
2002,Australia,Oceania,0,1,0
2002,Azerbaijan,Europe Other,11,131,0.07746478873239436
2002,Bahrain,Middle East,1,2,0.3333333333333333
2002,Bangladesh,Asia South,174,446,0.2806451612903226
2002,Belarus,Europe Other,15,132,0.10204081632653061
2002,Benin,Africa Sub-Saharan,0,12,0
2002,Bhutan,Asia South,10,56,0.15151515151515152
2002,Bolivia,America Central and South,3,45,0.0625
2002,Bosnia and Herzegovina,Europe Other,10,64,0.13513513513513514
2002,Botswana,Africa Sub-Saharan,0,6,0
2002,Brazil,America Central and South,2,27,0.06896551724137931
2002,British overseas citizens,Other,6,20,0.23076923076923078
2002,Brunei,Asia South East,1,0,1
2002,Bulgaria,EU 2,0,82,0
2002,Burkina Faso,Africa Sub-Saharan,1,13,0.07142857142857142
2002,Burundi,Africa Sub-Saharan,343,342,0.5007299270072992
2002,Cambodia,Asia South East,0,2,0
2002,Cameroon,Africa Sub-Saharan,81,439,0.15576923076923077
2002,Canada,America North,0,3,0
2002,Central African Republic,Africa Sub-Saharan,0,1,0
2002,Chad,Africa Sub-Saharan,15,27,0.35714285714285715
2002,Chile,America Central and South,3,3,0.5
2002,China,Asia East,251,3361,0.0694905869324474
2002,Colombia,America Central and South,64,416,0.13333333333333333
2002,Comoros,Africa Sub-Saharan,0,3,0
2002,Congo,Africa Sub-Saharan,96,483,0.16580310880829016
2002,Congo (Democratic Republic),Africa Sub-Saharan,462,1590,0.22514619883040934
2002,Costa Rica,America Central and South,0,2,0
2002,Croatia,EU Other,8,69,0.1038961038961039
2002,Cuba,America Central and South,1,17,0.05555555555555555
2002,Cyprus,EU Other,3,40,0.06976744186046512
2002,Cyprus (Northern part of),Europe Other,11,43,0.2037037037037037
2002,Czechia,EU 8,10,1219,0.008136696501220505
2002,Djibouti,Africa Sub-Saharan,1,3,0.25
2002,Dominican Republic,America Central and South,1,1,0.5
2002,Ecuador,America Central and South,30,292,0.09316770186335403
2002,Egypt,Africa North,4,70,0.05405405405405406
2002,Eritrea,Africa Sub-Saharan,352,756,0.3176895306859206
2002,Estonia,EU 8,1,45,0.021739130434782608
2002,Eswatini,Africa Sub-Saharan,0,1,0
2002,Ethiopia,Africa Sub-Saharan,220,484,0.3125
2002,Fiji,Oceania,0,3,0
2002,France,EU 14,0,6,0
2002,Gabon,Africa Sub-Saharan,1,1,0.5
2002,"Gambia, The",Africa Sub-Saharan,5,107,0.044642857142857144
2002,Georgia,Europe Other,24,130,0.15584415584415584
2002,Germany,EU 14,0,1,0
2002,Ghana,Africa Sub-Saharan,24,230,0.09448818897637795
2002,Guatemala,America Central and South,0,19,0
2002,Guinea,Africa Sub-Saharan,55,153,0.2644230769230769
2002,Guinea-Bissau,Africa Sub-Saharan,0,14,0
2002,Guyana,America Central and South,1,4,0.2
2002,Honduras,America Central and South,0,2,0
2002,Hong Kong,Asia East,1,6,0.14285714285714285
2002,Hungary,EU 8,0,17,0
2002,India,Asia South,40,1813,0.021586616297895305
2002,Indonesia,Asia South East,0,46,0
2002,Iran,Middle East,544,2422,0.18341200269723534
2002,Iraq,Middle East,8910,2995,0.74842503149937
2002,Ireland,EU 14,0,1,0
2002,Israel,Middle East,3,50,0.05660377358490566
2002,Italy,EU 14,0,2,0
2002,Ivory Coast,Africa Sub-Saharan,23,200,0.1031390134529148
2002,Jamaica,America Central and South,23,891,0.02516411378555799
2002,Japan,Asia East,0,3,0
2002,Jordan,Middle East,0,14,0
2002,Kazakhstan,Asia Central,0,33,0
2002,Kenya,Africa Sub-Saharan,59,301,0.1638888888888889
2002,Kuwait,Middle East,8,17,0.32
2002,Kyrgyzstan,Asia Central,1,13,0.07142857142857142
2002,Latvia,EU 8,4,233,0.016877637130801686
2002,Lebanon,Middle East,7,99,0.0660377358490566
2002,Lesotho,Africa Sub-Saharan,0,4,0
2002,Liberia,Africa Sub-Saharan,131,224,0.36901408450704226
2002,Libya,Africa North,111,76,0.5935828877005348
2002,Lithuania,EU 8,1,341,0.0029239766081871343
2002,Macau,Asia East,0,3,0
2002,Malawi,Africa Sub-Saharan,6,55,0.09836065573770492
2002,Malaysia,Asia South East,0,19,0
2002,Maldives,Asia South,0,9,0
2002,Mali,Africa Sub-Saharan,1,4,0.2
2002,Malta,EU Other,0,1,0
2002,Mauritania,Africa North,0,2,0
2002,Mauritius,Africa Sub-Saharan,2,7,0.2222222222222222
2002,Mexico,America Central and South,0,2,0
2002,Moldova,Europe Other,114,593,0.16124469589816123
2002,Mongolia,Asia East,8,156,0.04878048780487805
2002,Morocco,Africa North,2,31,0.06060606060606061
2002,Mozambique,Africa Sub-Saharan,0,3,0
2002,Myanmar (Burma),Asia South East,27,56,0.3253012048192771
2002,Namibia,Africa Sub-Saharan,0,9,0
2002,Nepal,Asia South,20,561,0.03442340791738382
2002,Netherlands,EU 14,0,2,0
2002,Niger,Africa Sub-Saharan,0,6,0
2002,Nigeria,Africa Sub-Saharan,101,1009,0.09099099099099099
2002,North Korea,Asia East,1,2,0.3333333333333333
2002,North Macedonia,Europe Other,141,296,0.32265446224256294
2002,Norway,Europe Other,0,1,0
2002,Occupied Palestinian Territories,Middle East,17,224,0.07053941908713693
2002,Oman,Middle East,0,1,0
2002,Other and unknown,Other,12,64,0.15789473684210525
2002,Pakistan,Asia South,211,2309,0.08373015873015872
2002,Papua New Guinea,Oceania,1,0,1
2002,Peru,America Central and South,1,11,0.08333333333333333
2002,Philippines,Asia South East,1,13,0.07142857142857142
2002,Poland,EU 8,4,906,0.004395604395604396
2002,Portugal,EU 14,0,1,0
2002,Refugee,Other,1,21,0.045454545454545456
2002,Romania,EU 2,74,1095,0.06330196749358426
2002,Russia,Europe Other,36,321,0.10084033613445378
2002,Rwanda,Africa Sub-Saharan,367,315,0.5381231671554252
2002,Saudi Arabia,Middle East,0,1,0
2002,Senegal,Africa Sub-Saharan,2,23,0.08
2002,Serbia and Montenegro,Europe Other,1053,2449,0.30068532267275844
2002,Seychelles,Africa Sub-Saharan,0,21,0
2002,Sierra Leone,Africa Sub-Saharan,238,1257,0.1591973244147157
2002,Singapore,Asia South East,0,5,0
2002,Slovakia,EU 8,3,115,0.025423728813559324
2002,Slovenia,EU 8,0,3,0
2002,Somalia,Africa Sub-Saharan,3920,2817,0.5818613626243135
2002,South Africa,Africa Sub-Saharan,1,191,0.005208333333333333
2002,South Korea,Asia East,0,3,0
2002,Spain,EU 14,0,2,0
2002,Sri Lanka,Asia South,615,3669,0.14355742296918766
2002,St Lucia,America Central and South,0,2,0
2002,St Vincent and the Grenadines,America Central and South,0,1,0
2002,Stateless,Other,1,3,0.25
2002,Sudan,Africa North,110,453,0.19538188277087035
2002,Syria,Middle East,23,73,0.23958333333333334
2002,São Tomé and Príncipe,Africa Sub-Saharan,0,1,0
2002,Taiwan,Asia East,0,1,0
2002,Tajikistan,Asia Central,0,11,0
2002,Tanzania,Africa Sub-Saharan,10,34,0.22727272727272727
2002,Thailand,Asia South East,0,7,0
2002,Togo,Africa Sub-Saharan,11,77,0.125
2002,Tonga,Oceania,0,1,0
2002,Trinidad and Tobago,America Central and South,0,9,0
2002,Tunisia,Africa North,2,12,0.14285714285714285
2002,Turkey,Europe Other,350,3147,0.10008578781812982
2002,Turkmenistan,Asia Central,2,2,0.5
2002,Turks and Caicos Islands (British),America Central and South,0,1,0
2002,Uganda,Africa Sub-Saharan,158,511,0.23617339312406577
2002,Ukraine,Europe Other,10,299,0.032362459546925564
2002,United Arab Emirates,Middle East,0,1,0
2002,United States,America North,0,3,0
2002,Uzbekistan,Asia Central,1,18,0.05263157894736842
2002,Venezuela,America Central and South,0,14,0
2002,Vietnam,Asia South East,161,563,0.2223756906077348
2002,Western Sahara,Africa North,0,3,0
2002,Yemen,Middle East,47,126,0.27167630057803466
2002,Zambia,Africa Sub-Saharan,6,17,0.2608695652173913
2002,Zimbabwe,Africa Sub-Saharan,2350,3885,0.3769045709703288
2003,Afghanistan,Asia Central,598,3377,0.15044025157232704
2003,Albania,Europe Other,199,632,0.2394705174488568
2003,Algeria,Africa North,37,698,0.050340136054421766
2003,Angola,Africa Sub-Saharan,410,685,0.3744292237442922
2003,Antigua and Barbuda,America Central and South,0,1,0
2003,Argentina,America Central and South,0,3,0
2003,Armenia,Europe Other,8,49,0.14035087719298245
2003,Azerbaijan,Europe Other,8,132,0.05714285714285714
2003,Bahrain,Middle East,0,1,0
2003,Bangladesh,Asia South,339,501,0.4035714285714286
2003,Belarus,Europe Other,6,158,0.036585365853658534
2003,Belize,America Central and South,0,1,0
2003,Benin,Africa Sub-Saharan,0,10,0
2003,Bhutan,Asia South,9,58,0.13432835820895522
2003,Bolivia,America Central and South,7,75,0.08536585365853659
2003,Bosnia and Herzegovina,Europe Other,4,61,0.06153846153846154
2003,Botswana,Africa Sub-Saharan,0,16,0
2003,Brazil,America Central and South,1,21,0.045454545454545456
2003,British overseas citizens,Other,1,11,0.08333333333333333
2003,Bulgaria,EU 2,2,37,0.05128205128205128
2003,Burkina Faso,Africa Sub-Saharan,2,9,0.18181818181818182
2003,Burundi,Africa Sub-Saharan,341,432,0.4411384217335058
2003,Cameroon,Africa Sub-Saharan,64,526,0.10847457627118644
2003,Canada,America North,0,3,0
2003,Central African Republic,Africa Sub-Saharan,0,13,0
2003,Chad,Africa Sub-Saharan,8,30,0.21052631578947367
2003,Chile,America Central and South,0,7,0
2003,China,Asia East,175,3692,0.045254719420739595
2003,Colombia,America Central and South,21,314,0.0626865671641791
2003,Comoros,Africa Sub-Saharan,0,3,0
2003,Congo,Africa Sub-Saharan,72,340,0.17475728155339806
2003,Congo (Democratic Republic),Africa Sub-Saharan,287,1684,0.14561136478944697
2003,Croatia,EU Other,1,83,0.011904761904761904
2003,Cuba,America Central and South,2,18,0.1
2003,Cyprus,EU Other,0,18,0
2003,Cyprus (Northern part of),Europe Other,0,36,0
2003,Czechia,EU 8,1,108,0.009174311926605505
2003,Dominican Republic,America Central and South,1,0,1
2003,Ecuador,America Central and South,14,220,0.05982905982905983
2003,Egypt,Africa North,7,54,0.11475409836065574
2003,Equatorial Guinea,Africa Sub-Saharan,1,3,0.25
2003,Eritrea,Africa Sub-Saharan,239,877,0.21415770609318996
2003,Estonia,EU 8,2,34,0.05555555555555555
2003,Eswatini,Africa Sub-Saharan,0,2,0
2003,Ethiopia,Africa Sub-Saharan,150,591,0.20242914979757085
2003,Fiji,Oceania,0,4,0
2003,France,EU 14,0,1,0
2003,Gabon,Africa Sub-Saharan,0,2,0
2003,"Gambia, The",Africa Sub-Saharan,9,101,0.08181818181818182
2003,Georgia,Europe Other,13,211,0.05803571428571429
2003,Ghana,Africa Sub-Saharan,16,318,0.04790419161676647
2003,Guatemala,America Central and South,0,8,0
2003,Guinea,Africa Sub-Saharan,48,165,0.22535211267605634
2003,Guinea-Bissau,Africa Sub-Saharan,0,14,0
2003,Guyana,America Central and South,1,10,0.09090909090909091
2003,Honduras,America Central and South,0,2,0
2003,Hong Kong,Asia East,0,3,0
2003,Hungary,EU 8,0,14,0
2003,India,Asia South,36,2299,0.015417558886509636
2003,Indonesia,Asia South East,1,27,0.03571428571428571
2003,Iran,Middle East,226,2928,0.07165504121750159
2003,Iraq,Middle East,2224,4582,0.32677049662062885
2003,Ireland,EU 14,0,1,0
2003,Israel,Middle East,0,51,0
2003,Italy,EU 14,0,1,0
2003,Ivory Coast,Africa Sub-Saharan,44,470,0.08560311284046693
2003,Jamaica,America Central and South,13,1106,0.01161751563896336
2003,Jordan,Middle East,0,23,0
2003,Kazakhstan,Asia Central,0,15,0
2003,Kenya,Africa Sub-Saharan,57,246,0.18811881188118812
2003,Kuwait,Middle East,11,52,0.1746031746031746
2003,Kyrgyzstan,Asia Central,3,26,0.10344827586206896
2003,Laos,Asia South East,0,1,0
2003,Latvia,EU 8,1,62,0.015873015873015872
2003,Lebanon,Middle East,21,256,0.07581227436823104
2003,Lesotho,Africa Sub-Saharan,0,2,0
2003,Liberia,Africa Sub-Saharan,109,650,0.14361001317523056
2003,Libya,Africa North,23,183,0.11165048543689321
2003,Lithuania,EU 8,6,124,0.046153846153846156
2003,Macau,Asia East,0,1,0
2003,Malawi,Africa Sub-Saharan,2,149,0.013245033112582781
2003,Malaysia,Asia South East,0,28,0
2003,Maldives,Asia South,0,2,0
2003,Mali,Africa Sub-Saharan,1,7,0.125
2003,Malta,EU Other,0,1,0
2003,Mauritania,Africa North,0,2,0
2003,Mauritius,Africa Sub-Saharan,0,9,0
2003,Mexico,America Central and South,0,3,0
2003,Moldova,Europe Other,63,417,0.13125
2003,Mongolia,Asia East,6,168,0.034482758620689655
2003,Morocco,Africa North,4,25,0.13793103448275862
2003,Mozambique,Africa Sub-Saharan,0,2,0
2003,Myanmar (Burma),Asia South East,33,107,0.2357142857142857
2003,Namibia,Africa Sub-Saharan,0,2,0
2003,Nepal,Asia South,5,288,0.017064846416382253
2003,Nicaragua,America Central and South,0,1,0
2003,Niger,Africa Sub-Saharan,1,9,0.1
2003,Nigeria,Africa Sub-Saharan,71,1038,0.06402164111812443
2003,North Korea,Asia East,0,1,0
2003,North Macedonia,Europe Other,32,75,0.29906542056074764
2003,Occupied Palestinian Territories,Middle East,41,1198,0.033091202582728005
2003,Oman,Middle East,0,1,0
2003,Other and unknown,Other,42,185,0.18502202643171806
2003,Pakistan,Asia South,153,2051,0.06941923774954628
2003,Panama,America Central and South,2,1,0.6666666666666666
2003,Paraguay,America Central and South,0,3,0
2003,Peru,America Central and South,2,6,0.25
2003,Philippines,Asia South East,0,16,0
2003,Poland,EU 8,12,139,0.07947019867549669
2003,Portugal,EU 14,0,1,0
2003,Refugee,Other,2,28,0.06666666666666667
2003,Romania,EU 2,48,646,0.069164265129683
2003,Russia,Europe Other,22,339,0.060941828254847646
2003,Rwanda,Africa Sub-Saharan,95,361,0.20833333333333334
2003,Senegal,Africa Sub-Saharan,0,32,0
2003,Serbia and Montenegro,Europe Other,363,1624,0.18268746854554604
2003,Seychelles,Africa Sub-Saharan,0,8,0
2003,Sierra Leone,Africa Sub-Saharan,81,612,0.11688311688311688
2003,Singapore,Asia South East,0,4,0
2003,Slovakia,EU 8,1,22,0.043478260869565216
2003,Slovenia,EU 8,0,2,0
2003,Solomon Islands,Oceania,0,1,0
2003,Somalia,Africa Sub-Saharan,2216,3833,0.3663415440568689
2003,South Africa,Africa Sub-Saharan,6,243,0.024096385542168676
2003,South Korea,Asia East,1,1,0.5
2003,Sri Lanka,Asia South,117,1355,0.07948369565217392
2003,St Lucia,America Central and South,0,1,0
2003,Stateless,Other,1,6,0.14285714285714285
2003,Sudan,Africa North,155,593,0.2072192513368984
2003,Syria,Middle East,9,119,0.0703125
2003,Tajikistan,Asia Central,0,6,0
2003,Tanzania,Africa Sub-Saharan,10,42,0.19230769230769232
2003,Thailand,Asia South East,0,6,0
2003,Togo,Africa Sub-Saharan,14,81,0.14736842105263157
2003,Trinidad and Tobago,America Central and South,0,14,0
2003,Tunisia,Africa North,3,10,0.23076923076923078
2003,Turkey,Europe Other,231,2998,0.0715391762155466
2003,Turkmenistan,Asia Central,2,11,0.15384615384615385
2003,Uganda,Africa Sub-Saharan,196,613,0.242274412855377
2003,Ukraine,Europe Other,9,341,0.025714285714285714
2003,United Arab Emirates,Middle East,0,4,0
2003,United States,America North,0,1,0
2003,Uzbekistan,Asia Central,4,21,0.16
2003,Venezuela,America Central and South,0,18,0
2003,Vietnam,Asia South East,207,968,0.17617021276595746
2003,Western Sahara,Africa North,1,1,0.5
2003,Yemen,Middle East,20,85,0.19047619047619047
2003,Zambia,Africa Sub-Saharan,4,16,0.2
2003,Zimbabwe,Africa Sub-Saharan,907,3283,0.21646778042959428
2004,Afghanistan,Asia Central,451,2227,0.16840926064227035
2004,Albania,Europe Other,110,397,0.21696252465483234
2004,Algeria,Africa North,34,588,0.05466237942122187
2004,Angola,Africa Sub-Saharan,111,471,0.19072164948453607
2004,Armenia,Europe Other,1,45,0.021739130434782608
2004,Azerbaijan,Europe Other,9,76,0.10588235294117647
2004,Bahrain,Middle East,0,2,0
2004,Bangladesh,Asia South,277,307,0.4743150684931507
2004,Belarus,Europe Other,3,181,0.016304347826086956
2004,Belgium,EU 14,0,1,0
2004,Benin,Africa Sub-Saharan,0,7,0
2004,Bhutan,Asia South,7,66,0.0958904109589041
2004,Bolivia,America Central and South,1,11,0.08333333333333333
2004,Bosnia and Herzegovina,Europe Other,2,21,0.08695652173913043
2004,Botswana,Africa Sub-Saharan,1,7,0.125
2004,Brazil,America Central and South,0,29,0
2004,British overseas citizens,Other,0,2,0
2004,Brunei,Asia South East,0,1,0
2004,Bulgaria,EU 2,2,19,0.09523809523809523
2004,Burkina Faso,Africa Sub-Saharan,0,13,0
2004,Burundi,Africa Sub-Saharan,121,249,0.327027027027027
2004,Cameroon,Africa Sub-Saharan,70,336,0.1724137931034483
2004,Canada,America North,0,3,0
2004,Cape Verde,Africa Sub-Saharan,0,2,0
2004,Central African Republic,Africa Sub-Saharan,1,3,0.25
2004,Chad,Africa Sub-Saharan,4,27,0.12903225806451613
2004,Chile,America Central and South,0,4,0
2004,China,Asia East,94,2524,0.03590527119938885
2004,Colombia,America Central and South,8,150,0.05063291139240506
2004,Congo,Africa Sub-Saharan,36,217,0.1422924901185771
2004,Congo (Democratic Republic),Africa Sub-Saharan,233,1542,0.13126760563380283
2004,Costa Rica,America Central and South,0,1,0
2004,Croatia,EU Other,4,36,0.1
2004,Cuba,America Central and South,0,19,0
2004,Cyprus,EU Other,1,4,0.2
2004,Cyprus (Northern part of),Europe Other,0,18,0
2004,Czechia,EU 8,0,52,0
2004,Djibouti,Africa Sub-Saharan,0,5,0
2004,Dominica,America Central and South,0,3,0
2004,Dominican Republic,America Central and South,1,3,0.25
2004,Ecuador,America Central and South,3,51,0.05555555555555555
2004,Egypt,Africa North,4,91,0.042105263157894736
2004,El Salvador,America Central and South,1,2,0.3333333333333333
2004,Equatorial Guinea,Africa Sub-Saharan,0,4,0
2004,Eritrea,Africa Sub-Saharan,259,737,0.2600401606425703
2004,Estonia,EU 8,0,13,0
2004,Eswatini,Africa Sub-Saharan,0,3,0
2004,Ethiopia,Africa Sub-Saharan,145,516,0.21936459909228442
2004,France,EU 14,0,2,0
