Date,Year,Quarter,Nationality,Region,Initial decisions from designated states,Refusals from designated states,Clearly unfounded refusals (designated states),Clearly unfounded refusals (non-designated states),Total clearly unfounded refusals
2010-03-31,2010,1,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Thailand,Asia South East,0,0,0,1,1
2010-03-31,2010,1,Tunisia,Africa North,0,0,0,2,2
2010-03-31,2010,1,Uganda,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Ukraine,Europe Other,8,8,5,0,5
2010-03-31,2010,1,United States,America North,0,0,0,1,1
2010-03-31,2010,1,Venezuela,America Central and South,0,0,0,1,1
2010-03-31,2010,1,Vietnam,Asia South East,0,0,0,1,1
2010-03-31,2010,1,Zambia,Africa Sub-Saharan,0,0,0,1,1
2010-06-30,2010,2,Albania,Europe Other,44,33,7,0,7
2010-06-30,2010,2,Algeria,Africa North,0,0,0,7,7
2010-06-30,2010,2,Bangladesh,Asia South,0,0,0,8,8
2010-06-30,2010,2,Bolivia,America Central and South,5,5,3,0,3
2010-06-30,2010,2,Bosnia and Herzegovina,Europe Other,3,2,0,0,0
2010-06-30,2010,2,Brazil,America Central and South,11,10,9,0,9
2010-06-30,2010,2,Chile,America Central and South,0,0,0,1,1
2010-06-30,2010,2,China,Asia East,0,0,0,3,3
2010-06-30,2010,2,Colombia,America Central and South,0,0,0,1,1
2010-06-30,2010,2,Egypt,Africa North,0,0,0,1,1
2010-06-30,2010,2,Former Yugoslavia,Europe Other,0,0,0,1,1
2010-06-30,2010,2,"Gambia, The",Africa Sub-Saharan,23,17,0,0,0
2010-06-30,2010,2,Georgia,Europe Other,0,0,0,1,1
2010-06-30,2010,2,Ghana,Africa Sub-Saharan,32,31,17,1,18
2010-06-30,2010,2,Hungary,EU 8,0,0,0,1,1
2010-06-30,2010,2,India,Asia South,57,54,35,0,35
2010-06-30,2010,2,Iran,Middle East,0,0,0,1,1
2010-06-30,2010,2,Ivory Coast,Africa Sub-Saharan,0,0,0,1,1
2010-06-30,2010,2,Jamaica,America Central and South,51,45,15,0,15
2010-06-30,2010,2,Jordan,Middle East,0,0,0,1,1
2010-06-30,2010,2,Kenya,Africa Sub-Saharan,8,8,2,1,3
2010-06-30,2010,2,Korea (North),Asia East,0,0,0,4,4
2010-06-30,2010,2,Kosovo,Europe Other,0,0,0,3,3
2010-06-30,2010,2,Liberia,Africa Sub-Saharan,5,4,3,0,3
2010-06-30,2010,2,Malawi,Africa Sub-Saharan,16,14,4,5,9
2010-06-30,2010,2,Maldives,Asia South,0,0,0,1,1
2010-06-30,2010,2,Mali,Africa Sub-Saharan,1,1,0,0,0
2010-06-30,2010,2,Mauritius,Africa Sub-Saharan,12,12,8,0,8
2010-06-30,2010,2,Moldova,Europe Other,2,2,0,0,0
2010-06-30,2010,2,Mongolia,Asia East,4,4,1,0,1
2010-06-30,2010,2,Namibia,Africa Sub-Saharan,0,0,0,1,1
2010-06-30,2010,2,Nigeria,Africa Sub-Saharan,86,81,43,25,68
2010-06-30,2010,2,North Macedonia,Europe Other,1,1,0,0,0
2010-06-30,2010,2,Pakistan,Asia South,0,0,0,16,16
2010-06-30,2010,2,Senegal,Africa Sub-Saharan,0,0,0,2,2
2010-06-30,2010,2,Sierra Leone,Africa Sub-Saharan,1,1,0,0,0
2010-06-30,2010,2,South Africa,Africa Sub-Saharan,32,30,8,0,8
2010-06-30,2010,2,South Korea,Asia East,2,2,2,2,4
2010-06-30,2010,2,Turkey,Europe Other,0,0,0,2,2
2010-06-30,2010,2,Uganda,Africa Sub-Saharan,0,0,0,3,3
2010-06-30,2010,2,Ukraine,Europe Other,8,4,1,0,1
2010-06-30,2010,2,United States,America North,0,0,0,3,3
2010-06-30,2010,2,Vietnam,Asia South East,0,0,0,5,5
2010-09-30,2010,3,Albania,Europe Other,45,34,9,0,9
2010-09-30,2010,3,Algeria,Africa North,0,0,0,3,3
2010-09-30,2010,3,Bangladesh,Asia South,0,0,0,15,15
2010-09-30,2010,3,Bolivia,America Central and South,5,5,3,0,3
2010-09-30,2010,3,Bosnia and Herzegovina,Europe Other,3,3,1,0,1
2010-09-30,2010,3,Brazil,America Central and South,9,8,6,0,6
2010-09-30,2010,3,Burma,Asia South East,0,0,0,1,1
2010-09-30,2010,3,Chile,America Central and South,0,0,0,1,1
2010-09-30,2010,3,China,Asia East,0,0,0,7,7
2010-09-30,2010,3,Croatia,EU Other,0,0,0,1,1
2010-09-30,2010,3,"Gambia, The",Africa Sub-Saharan,26,23,6,0,6
2010-09-30,2010,3,Georgia,Europe Other,0,0,0,5,5
2010-09-30,2010,3,Ghana,Africa Sub-Saharan,37,35,13,0,13
2010-09-30,2010,3,India,Asia South,90,86,48,0,48
2010-09-30,2010,3,Jamaica,America Central and South,75,56,18,0,18
2010-09-30,2010,3,Kenya,Africa Sub-Saharan,14,12,4,1,5
2010-09-30,2010,3,Korea (North),Asia East,0,0,0,4,4
2010-09-30,2010,3,Kosovo,Europe Other,7,6,3,0,3
2010-09-30,2010,3,Kyrgyzstan,Asia Central,0,0,0,1,1
2010-09-30,2010,3,Liberia,Africa Sub-Saharan,3,3,0,0,0
2010-09-30,2010,3,Libya,Africa North,0,0,0,1,1
2010-09-30,2010,3,Malawi,Africa Sub-Saharan,15,13,2,4,6
2010-09-30,2010,3,Malaysia,Asia South East,0,0,0,2,2
2010-09-30,2010,3,Mali,Africa Sub-Saharan,1,1,1,0,1
2010-09-30,2010,3,Mauritius,Africa Sub-Saharan,12,12,5,0,5
2010-09-30,2010,3,Moldova,Europe Other,1,0,0,0,0
2010-09-30,2010,3,Mongolia,Asia East,10,9,1,0,1
2010-09-30,2010,3,Morocco,Africa North,0,0,0,1,1
2010-09-30,2010,3,Namibia,Africa Sub-Saharan,0,0,0,1,1
2010-09-30,2010,3,Netherlands,EU 14,0,0,0,1,1
2010-09-30,2010,3,Nicaragua,America Central and South,0,0,0,1,1
2010-09-30,2010,3,Nigeria,Africa Sub-Saharan,103,94,46,22,68
2010-09-30,2010,3,North Macedonia,Europe Other,1,1,0,0,0
2010-09-30,2010,3,Occupied Palestinian Territories,Middle East,0,0,0,1,1
2010-09-30,2010,3,Pakistan,Asia South,0,0,0,14,14
2010-09-30,2010,3,Refugee,Other,0,0,0,1,1
2010-09-30,2010,3,Russia,Europe Other,0,0,0,2,2
2010-09-30,2010,3,Serbia and Montenegro,Europe Other,1,1,1,0,1
2010-09-30,2010,3,Sierra Leone,Africa Sub-Saharan,9,8,4,2,6
2010-09-30,2010,3,South Africa,Africa Sub-Saharan,30,28,12,0,12
2010-09-30,2010,3,South Korea,Asia East,0,0,0,1,1
2010-09-30,2010,3,Sri Lanka,Asia South,0,0,0,1,1
2010-09-30,2010,3,Sudan,Africa North,0,0,0,1,1
2010-09-30,2010,3,Trinidad and Tobago,America Central and South,0,0,0,1,1
2010-09-30,2010,3,Ukraine,Europe Other,9,9,2,0,2
2010-09-30,2010,3,United States,America North,0,0,0,1,1
2010-09-30,2010,3,Vietnam,Asia South East,0,0,0,7,7
2010-09-30,2010,3,Zambia,Africa Sub-Saharan,0,0,0,1,1
2010-09-30,2010,3,Zimbabwe,Africa Sub-Saharan,0,0,0,2,2
2010-12-31,2010,4,Afghanistan,Asia Central,0,0,0,1,1
2010-12-31,2010,4,Albania,Europe Other,53,43,13,0,13
2010-12-31,2010,4,Algeria,Africa North,0,0,0,6,6
2010-12-31,2010,4,Antigua and Barbuda,America Central and South,0,0,0,1,1
2010-12-31,2010,4,Bangladesh,Asia South,0,0,0,13,13
2010-12-31,2010,4,Bolivia,America Central and South,3,3,3,0,3
2010-12-31,2010,4,Bosnia and Herzegovina,Europe Other,2,2,0,0,0
2010-12-31,2010,4,Botswana,Africa Sub-Saharan,0,0,0,1,1
2010-12-31,2010,4,Brazil,America Central and South,9,8,3,0,3
2010-12-31,2010,4,Burundi,Africa Sub-Saharan,0,0,0,1,1
2010-12-31,2010,4,Canada,America North,0,0,0,2,2
2010-12-31,2010,4,China,Asia East,0,0,0,4,4
2010-12-31,2010,4,Ecuador,America Central and South,1,1,0,0,0
2010-12-31,2010,4,Egypt,Africa North,0,0,0,1,1
2010-12-31,2010,4,El Salvador,America Central and South,0,0,0,1,1
2010-12-31,2010,4,"Gambia, The",Africa Sub-Saharan,16,12,2,1,3
2010-12-31,2010,4,Ghana,Africa Sub-Saharan,17,17,10,1,11
2010-12-31,2010,4,India,Asia South,118,113,70,2,72
2010-12-31,2010,4,Israel,Middle East,0,0,0,1,1
2010-12-31,2010,4,Jamaica,America Central and South,60,47,12,0,12
2010-12-31,2010,4,Jordan,Middle East,0,0,0,1,1
2010-12-31,2010,4,Kenya,Africa Sub-Saharan,5,5,0,1,1
2010-12-31,2010,4,Korea (North),Asia East,0,0,0,1,1
2010-12-31,2010,4,Kosovo,Europe Other,6,6,4,0,4
2010-12-31,2010,4,Liberia,Africa Sub-Saharan,1,0,0,0,0
2010-12-31,2010,4,Malawi,Africa Sub-Saharan,7,5,1,1,2
2010-12-31,2010,4,Mali,Africa Sub-Saharan,2,2,1,0,1
2010-12-31,2010,4,Mauritius,Africa Sub-Saharan,10,10,7,0,7
2010-12-31,2010,4,Moldova,Europe Other,3,1,0,0,0
2010-12-31,2010,4,Mongolia,Asia East,10,9,4,0,4
2010-12-31,2010,4,Morocco,Africa North,0,0,0,1,1
2010-12-31,2010,4,Nigeria,Africa Sub-Saharan,116,106,46,15,61
2010-12-31,2010,4,Pakistan,Asia South,0,0,0,12,12
2010-12-31,2010,4,Romania,EU 2,0,0,0,1,1
2010-12-31,2010,4,Senegal,Africa Sub-Saharan,0,0,0,1,1
2010-12-31,2010,4,Sierra Leone,Africa Sub-Saharan,9,9,5,0,5
2010-12-31,2010,4,Somalia,Africa Sub-Saharan,0,0,0,2,2
2010-12-31,2010,4,South Africa,Africa Sub-Saharan,27,22,10,0,10
2010-12-31,2010,4,South Korea,Asia East,1,1,0,0,0
2010-12-31,2010,4,Sri Lanka,Asia South,0,0,0,1,1
2010-12-31,2010,4,Sudan,Africa North,0,0,0,1,1
2010-12-31,2010,4,Syria,Middle East,0,0,0,2,2
2010-12-31,2010,4,Tunisia,Africa North,0,0,0,1,1
2010-12-31,2010,4,Turkey,Europe Other,0,0,0,1,1
2010-12-31,2010,4,Uganda,Africa Sub-Saharan,0,0,0,5,5
2010-12-31,2010,4,Ukraine,Europe Other,12,12,10,0,10
2010-12-31,2010,4,United States,America North,0,0,0,2,2
2010-12-31,2010,4,Vietnam,Asia South East,0,0,0,5,5
2011-03-31,2011,1,Afghanistan,Asia Central,0,0,0,3,3
2011-03-31,2011,1,Albania,Europe Other,36,28,9,0,9
2011-03-31,2011,1,Algeria,Africa North,0,0,0,11,11
2011-03-31,2011,1,Angola,Africa Sub-Saharan,0,0,0,1,1
2011-03-31,2011,1,Azerbaijan,Europe Other,0,0,0,1,1
2011-03-31,2011,1,Bangladesh,Asia South,0,0,0,15,15
2011-03-31,2011,1,Bolivia,America Central and South,8,7,4,0,4
2011-03-31,2011,1,Bosnia and Herzegovina,Europe Other,1,0,0,0,0
2011-03-31,2011,1,Botswana,Africa Sub-Saharan,0,0,0,1,1
2011-03-31,2011,1,Canada,America North,0,0,0,1,1
2011-03-31,2011,1,Chile,America Central and South,0,0,0,1,1
2011-03-31,2011,1,China,Asia East,0,0,0,5,5
2011-03-31,2011,1,Ecuador,America Central and South,2,1,1,0,1
2011-03-31,2011,1,Former Yugoslavia,Europe Other,0,0,0,1,1
2011-03-31,2011,1,"Gambia, The",Africa Sub-Saharan,34,26,9,2,11
2011-03-31,2011,1,Georgia,Europe Other,0,0,0,2,2
2011-03-31,2011,1,Ghana,Africa Sub-Saharan,26,24,7,4,11
2011-03-31,2011,1,India,Asia South,91,89,57,0,57
2011-03-31,2011,1,Indonesia,Asia South East,0,0,0,1,1
2011-03-31,2011,1,Iran,Middle East,0,0,0,1,1
2011-03-31,2011,1,Jamaica,America Central and South,38,26,8,1,9
2011-03-31,2011,1,Kenya,Africa Sub-Saharan,13,10,5,0,5
2011-03-31,2011,1,Korea (North),Asia East,0,0,0,4,4
2011-03-31,2011,1,Kosovo,Europe Other,3,2,1,0,1
2011-03-31,2011,1,Liberia,Africa Sub-Saharan,5,4,1,0,1
2011-03-31,2011,1,Malawi,Africa Sub-Saharan,17,12,2,1,3
2011-03-31,2011,1,Malaysia,Asia South East,0,0,0,1,1
2011-03-31,2011,1,Mali,Africa Sub-Saharan,3,3,3,0,3
2011-03-31,2011,1,Mauritius,Africa Sub-Saharan,8,6,5,0,5
2011-03-31,2011,1,Moldova,Europe Other,1,1,1,0,1
2011-03-31,2011,1,Mongolia,Asia East,10,8,3,0,3
2011-03-31,2011,1,Morocco,Africa North,0,0,0,1,1
2011-03-31,2011,1,Nigeria,Africa Sub-Saharan,83,74,36,23,59
2011-03-31,2011,1,Pakistan,Asia South,0,0,0,24,24
2011-03-31,2011,1,Peru,America Central and South,1,1,0,0,0
2011-03-31,2011,1,Philippines,Asia South East,0,0,0,1,1
2011-03-31,2011,1,Poland,EU 8,0,0,0,1,1
2011-03-31,2011,1,Saudi Arabia,Middle East,0,0,0,1,1
2011-03-31,2011,1,Senegal,Africa Sub-Saharan,0,0,0,1,1
2011-03-31,2011,1,Serbia and Montenegro,Europe Other,2,1,1,0,1
2011-03-31,2011,1,Sierra Leone,Africa Sub-Saharan,10,8,0,0,0
2011-03-31,2011,1,South Africa,Africa Sub-Saharan,26,24,7,0,7
2011-03-31,2011,1,South Korea,Asia East,2,2,2,0,2
2011-03-31,2011,1,Sri Lanka,Asia South,0,0,0,4,4
2011-03-31,2011,1,Thailand,Asia South East,0,0,0,1,1
2011-03-31,2011,1,Turkey,Europe Other,0,0,0,3,3
2011-03-31,2011,1,Ukraine,Europe Other,9,9,5,0,5
2011-03-31,2011,1,United States,America North,0,0,0,1,1
2011-03-31,2011,1,Uzbekistan,Asia Central,0,0,0,1,1
2011-03-31,2011,1,Vietnam,Asia South East,0,0,0,2,2
2011-03-31,2011,1,Western Sahara,Africa North,0,0,0,1,1
2011-06-30,2011,2,Afghanistan,Asia Central,0,0,0,1,1
2011-06-30,2011,2,Albania,Europe Other,45,33,11,0,11
2011-06-30,2011,2,Algeria,Africa North,0,0,0,8,8
2011-06-30,2011,2,Australia,Oceania,0,0,0,1,1
2011-06-30,2011,2,Bangladesh,Asia South,0,0,0,12,12
2011-06-30,2011,2,Bolivia,America Central and South,9,8,6,0,6
2011-06-30,2011,2,Bosnia and Herzegovina,Europe Other,1,1,0,0,0
2011-06-30,2011,2,Brazil,America Central and South,5,5,2,0,2
2011-06-30,2011,2,Bulgaria,EU 2,0,0,0,1,1
2011-06-30,2011,2,Canada,America North,0,0,0,1,1
2011-06-30,2011,2,China,Asia East,0,0,0,6,6
2011-06-30,2011,2,Colombia,America Central and South,0,0,0,1,1
2011-06-30,2011,2,Congo (Democratic Republic),Africa Sub-Saharan,0,0,0,1,1
2011-06-30,2011,2,Egypt,Africa North,0,0,0,2,2
2011-06-30,2011,2,Ethiopia,Africa Sub-Saharan,0,0,0,1,1
2011-06-30,2011,2,"Gambia, The",Africa Sub-Saharan,26,17,5,2,7
2011-06-30,2011,2,Ghana,Africa Sub-Saharan,14,13,7,2,9
2011-06-30,2011,2,Honduras,America Central and South,0,0,0,2,2
2011-06-30,2011,2,India,Asia South,86,83,51,0,51
2011-06-30,2011,2,Iraq,Middle East,0,0,0,1,1
2011-06-30,2011,2,Ivory Coast,Africa Sub-Saharan,0,0,0,2,2
2011-06-30,2011,2,Jamaica,America Central and South,31,22,8,0,8
2011-06-30,2011,2,Japan,Asia East,0,0,0,2,2
2011-06-30,2011,2,Kenya,Africa Sub-Saharan,7,4,2,0,2
2011-06-30,2011,2,Korea (North),Asia East,0,0,0,1,1
2011-06-30,2011,2,Kosovo,Europe Other,3,3,2,0,2
2011-06-30,2011,2,Malawi,Africa Sub-Saharan,12,9,3,0,3
2011-06-30,2011,2,Malaysia,Asia South East,0,0,0,1,1
2011-06-30,2011,2,Mali,Africa Sub-Saharan,2,1,0,0,0
2011-06-30,2011,2,Mauritius,Africa Sub-Saharan,8,8,2,0,2
2011-06-30,2011,2,Moldova,Europe Other,2,2,0,0,0
2011-06-30,2011,2,Mongolia,Asia East,8,4,1,0,1
2011-06-30,2011,2,Morocco,Africa North,0,0,0,1,1
2011-06-30,2011,2,Nepal,Asia South,0,0,0,1,1
2011-06-30,2011,2,Nigeria,Africa Sub-Saharan,77,71,26,10,36
2011-06-30,2011,2,North Macedonia,Europe Other,1,1,0,0,0
2011-06-30,2011,2,Pakistan,Asia South,0,0,0,27,27
2011-06-30,2011,2,Senegal,Africa Sub-Saharan,0,0,0,2,2
2011-06-30,2011,2,Sierra Leone,Africa Sub-Saharan,6,4,0,0,0
2011-06-30,2011,2,South Africa,Africa Sub-Saharan,12,11,4,0,4
2011-06-30,2011,2,South Korea,Asia East,1,0,0,0,0
2011-06-30,2011,2,Sri Lanka,Asia South,0,0,0,1,1
2011-06-30,2011,2,St Lucia,America Central and South,0,0,0,1,1
2011-06-30,2011,2,Tanzania,Africa Sub-Saharan,0,0,0,2,2
2011-06-30,2011,2,Togo,Africa Sub-Saharan,0,0,0,1,1
2011-06-30,2011,2,Turkey,Europe Other,0,0,0,1,1
2011-06-30,2011,2,Ukraine,Europe Other,2,2,0,0,0
2011-06-30,2011,2,United States,America North,0,0,0,2,2
2011-06-30,2011,2,Vietnam,Asia South East,0,0,0,1,1
2011-06-30,2011,2,Zimbabwe,Africa Sub-Saharan,0,0,0,1,1
2011-09-30,2011,3,Afghanistan,Asia Central,0,0,0,1,1
2011-09-30,2011,3,Albania,Europe Other,52,30,9,0,9
2011-09-30,2011,3,Algeria,Africa North,0,0,0,8,8
2011-09-30,2011,3,Bangladesh,Asia South,0,0,0,29,29
2011-09-30,2011,3,Bolivia,America Central and South,5,5,4,0,4
2011-09-30,2011,3,Bosnia and Herzegovina,Europe Other,1,1,0,0,0
2011-09-30,2011,3,Brazil,America Central and South,5,5,3,0,3
2011-09-30,2011,3,Chile,America Central and South,0,0,0,1,1
2011-09-30,2011,3,China,Asia East,0,0,0,3,3
2011-09-30,2011,3,Colombia,America Central and South,0,0,0,1,1
2011-09-30,2011,3,Ecuador,America Central and South,1,1,0,0,0
2011-09-30,2011,3,Egypt,Africa North,0,0,0,1,1
2011-09-30,2011,3,"Gambia, The",Africa Sub-Saharan,20,16,1,0,1
2011-09-30,2011,3,Ghana,Africa Sub-Saharan,16,14,8,2,10
2011-09-30,2011,3,India,Asia South,66,64,46,0,46
2011-09-30,2011,3,Iran,Middle East,0,0,0,1,1
2011-09-30,2011,3,Iraq,Middle East,0,0,0,1,1
2011-09-30,2011,3,Israel,Middle East,0,0,0,1,1
2011-09-30,2011,3,Jamaica,America Central and South,40,30,7,0,7
2011-09-30,2011,3,Kenya,Africa Sub-Saharan,8,7,0,0,0
2011-09-30,2011,3,Kosovo,Europe Other,1,1,0,0,0
2011-09-30,2011,3,Liberia,Africa Sub-Saharan,1,1,1,0,1
2011-09-30,2011,3,Malawi,Africa Sub-Saharan,10,9,3,2,5
2011-09-30,2011,3,Malaysia,Asia South East,0,0,0,3,3
2011-09-30,2011,3,Mauritius,Africa Sub-Saharan,7,7,3,0,3
2011-09-30,2011,3,Moldova,Europe Other,1,0,0,0,0
2011-09-30,2011,3,Mongolia,Asia East,9,7,1,0,1
2011-09-30,2011,3,Mozambique,Africa Sub-Saharan,0,0,0,1,1
2011-09-30,2011,3,Nepal,Asia South,0,0,0,2,2
2011-09-30,2011,3,Nigeria,Africa Sub-Saharan,85,74,31,10,41
2011-09-30,2011,3,Occupied Palestinian Territories,Middle East,0,0,0,2,2
2011-09-30,2011,3,Pakistan,Asia South,0,0,0,51,51
2011-09-30,2011,3,Poland,EU 8,0,0,0,1,1
2011-09-30,2011,3,Russia,Europe Other,0,0,0,1,1
2011-09-30,2011,3,Serbia and Montenegro,Europe Other,1,1,0,0,0
2011-09-30,2011,3,Sierra Leone,Africa Sub-Saharan,6,6,1,0,1
2011-09-30,2011,3,South Africa,Africa Sub-Saharan,15,13,5,0,5
2011-09-30,2011,3,South Korea,Asia East,1,1,0,0,0
2011-09-30,2011,3,Sri Lanka,Asia South,0,0,0,5,5
2011-09-30,2011,3,Tunisia,Africa North,0,0,0,1,1
2011-09-30,2011,3,Ukraine,Europe Other,5,5,2,0,2
2011-09-30,2011,3,Uzbekistan,Asia Central,0,0,0,1,1
2011-09-30,2011,3,Vietnam,Asia South East,0,0,0,2,2
2011-12-31,2011,4,Afghanistan,Asia Central,0,0,0,1,1
2011-12-31,2011,4,Albania,Europe Other,72,48,8,0,8
2011-12-31,2011,4,Algeria,Africa North,0,0,0,10,10
2011-12-31,2011,4,Australia,Oceania,0,0,0,1,1
2011-12-31,2011,4,Bangladesh,Asia South,0,0,0,24,24
2011-12-31,2011,4,Bolivia,America Central and South,4,4,3,0,3
2011-12-31,2011,4,Brazil,America Central and South,4,4,4,0,4
2011-12-31,2011,4,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2011-12-31,2011,4,China,Asia East,0,0,0,7,7
2011-12-31,2011,4,Ecuador,America Central and South,2,1,1,0,1
2011-12-31,2011,4,El Salvador,America Central and South,0,0,0,1,1
2011-12-31,2011,4,"Gambia, The",Africa Sub-Saharan,15,14,2,1,3
2011-12-31,2011,4,Georgia,Europe Other,0,0,0,1,1
2011-12-31,2011,4,Germany,EU 14,0,0,0,1,1
2011-12-31,2011,4,Ghana,Africa Sub-Saharan,13,11,5,1,6
2011-12-31,2011,4,India,Asia South,92,85,63,0,63
2011-12-31,2011,4,Iraq,Middle East,0,0,0,2,2
2011-12-31,2011,4,Ivory Coast,Africa Sub-Saharan,0,0,0,1,1
2011-12-31,2011,4,Jamaica,America Central and South,32,22,3,0,3
2011-12-31,2011,4,Kenya,Africa Sub-Saharan,2,1,0,2,2
2011-12-31,2011,4,Korea (North),Asia East,0,0,0,1,1
2011-12-31,2011,4,Kosovo,Europe Other,5,2,0,0,0
2011-12-31,2011,4,Liberia,Africa Sub-Saharan,2,2,1,0,1
2011-12-31,2011,4,Malawi,Africa Sub-Saharan,12,10,1,1,2
2011-12-31,2011,4,Malaysia,Asia South East,0,0,0,2,2
2011-12-31,2011,4,Mali,Africa Sub-Saharan,1,1,0,0,0
2011-12-31,2011,4,Mauritius,Africa Sub-Saharan,3,3,2,0,2
2011-12-31,2011,4,Mexico,America Central and South,0,0,0,1,1
2011-12-31,2011,4,Moldova,Europe Other,3,1,1,0,1
2011-12-31,2011,4,Mongolia,Asia East,8,6,2,0,2
2011-12-31,2011,4,Nigeria,Africa Sub-Saharan,59,55,19,6,25
2011-12-31,2011,4,North Macedonia,Europe Other,1,0,0,0,0
2011-12-31,2011,4,Pakistan,Asia South,0,0,0,52,52
2011-12-31,2011,4,Poland,EU 8,0,0,0,1,1
2011-12-31,2011,4,Russia,Europe Other,0,0,0,1,1
2011-12-31,2011,4,Serbia and Montenegro,Europe Other,1,1,0,0,0
2011-12-31,2011,4,Sierra Leone,Africa Sub-Saharan,2,2,1,0,1
2011-12-31,2011,4,South Africa,Africa Sub-Saharan,12,11,5,0,5
2011-12-31,2011,4,Spain,EU 14,0,0,0,1,1
2011-12-31,2011,4,Sri Lanka,Asia South,0,0,0,1,1
2011-12-31,2011,4,Taiwan,Asia East,0,0,0,1,1
2011-12-31,2011,4,Turkey,Europe Other,0,0,0,1,1
2011-12-31,2011,4,Ukraine,Europe Other,7,6,3,0,3
2011-12-31,2011,4,Vietnam,Asia South East,0,0,0,5,5
2011-12-31,2011,4,Zambia,Africa Sub-Saharan,0,0,0,1,1
2011-12-31,2011,4,Zimbabwe,Africa Sub-Saharan,0,0,0,2,2
2012-03-31,2012,1,Afghanistan,Asia Central,0,0,0,2,2
2012-03-31,2012,1,Albania,Europe Other,98,55,9,0,9
2012-03-31,2012,1,Algeria,Africa North,0,0,0,9,9
2012-03-31,2012,1,Bangladesh,Asia South,0,0,0,39,39
