Date,Year,Quarter,Return destination,Return destination region,Number of foreign national offender returns
2010-01-01,2010,1,Moldova,Europe Other,13
2010-01-01,2010,1,Mongolia,Asia East,2
2010-01-01,2010,1,Morocco,Africa North,6
2010-01-01,2010,1,Namibia,Africa Sub-Saharan,1
2010-01-01,2010,1,Nauru,Oceania,2
2010-01-01,2010,1,Nepal,Asia South,1
2010-01-01,2010,1,Netherlands,EU 14,8
2010-01-01,2010,1,New Zealand,Oceania,4
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,120
2010-01-01,2010,1,Norway,Europe Other,3
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,1
2010-01-01,2010,1,Oman,Middle East,1
2010-01-01,2010,1,Other and unknown,Other,48
2010-01-01,2010,1,Pakistan,Asia South,54
2010-01-01,2010,1,Philippines,Asia South East,4
2010-01-01,2010,1,Poland,EU 8,35
2010-01-01,2010,1,Portugal,EU 14,6
2010-01-01,2010,1,Romania,EU 2,31
2010-01-01,2010,1,Russia,Europe Other,2
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,3
2010-01-01,2010,1,Singapore,Asia South East,6
2010-01-01,2010,1,Slovakia,EU 8,9
2010-01-01,2010,1,Slovenia,EU 8,1
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,5
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,14
2010-01-01,2010,1,Spain,EU 14,4
2010-01-01,2010,1,Sri Lanka,Asia South,7
2010-01-01,2010,1,St. Lucia,America Central and South,6
2010-01-01,2010,1,Sudan,Africa North,3
2010-01-01,2010,1,Sweden,EU 14,4
2010-01-01,2010,1,Syria,Middle East,2
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,3
2010-01-01,2010,1,Thailand,Asia South East,1
2010-01-01,2010,1,Togo,Africa Sub-Saharan,1
2010-01-01,2010,1,Trinidad and Tobago,America Central and South,9
2010-01-01,2010,1,Tunisia,Africa North,3
2010-01-01,2010,1,Turkey,Europe Other,9
2010-01-01,2010,1,Turkmenistan,Asia Central,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,9
2010-01-01,2010,1,Ukraine,Europe Other,19
2010-01-01,2010,1,United States,America North,5
2010-01-01,2010,1,Uzbekistan,Asia Central,2
2010-01-01,2010,1,Venezuela,America Central and South,2
2010-01-01,2010,1,Vietnam,Asia South East,192
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,1
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,7
2010-04-01,2010,2,Afghanistan,Asia Central,9
2010-04-01,2010,2,Albania,Europe Other,33
2010-04-01,2010,2,Algeria,Africa North,30
2010-04-01,2010,2,Angola,Africa Sub-Saharan,4
2010-04-01,2010,2,Austria,EU 14,1
2010-04-01,2010,2,Bahrain,Middle East,1
2010-04-01,2010,2,Bangladesh,Asia South,20
2010-04-01,2010,2,Barbados,America Central and South,3
2010-04-01,2010,2,Belgium,EU 14,6
2010-04-01,2010,2,Bolivia,America Central and South,3
2010-04-01,2010,2,Botswana,Africa Sub-Saharan,1
2010-04-01,2010,2,Brazil,America Central and South,31
2010-04-01,2010,2,Bulgaria,EU 2,6
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,11
2010-04-01,2010,2,Canada,America North,2
2010-04-01,2010,2,Chile,America Central and South,2
2010-04-01,2010,2,China,Asia East,126
2010-04-01,2010,2,Colombia,America Central and South,16
2010-04-01,2010,2,Congo,Africa Sub-Saharan,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,2
2010-04-01,2010,2,Cyprus,EU Other,1
2010-04-01,2010,2,Czech Republic,EU 8,6
2010-04-01,2010,2,Denmark,EU 14,1
2010-04-01,2010,2,Ecuador,America Central and South,2
2010-04-01,2010,2,Egypt,Africa North,2
2010-04-01,2010,2,Fiji,Oceania,2
2010-04-01,2010,2,Finland,EU 14,1
2010-04-01,2010,2,France,EU 14,17
2010-04-01,2010,2,"Gambia, The",Africa Sub-Saharan,9
2010-04-01,2010,2,Georgia,Europe Other,3
2010-04-01,2010,2,Germany,EU 14,10
2010-04-01,2010,2,Ghana,Africa Sub-Saharan,19
2010-04-01,2010,2,Greece,EU 14,3
2010-04-01,2010,2,Grenada,America Central and South,2
2010-04-01,2010,2,Guatemala,America Central and South,2
2010-04-01,2010,2,Guyana,America Central and South,1
2010-04-01,2010,2,Hong Kong,Asia East,2
2010-04-01,2010,2,Hungary,EU 8,3
2010-04-01,2010,2,India,Asia South,59
2010-04-01,2010,2,Iran,Middle East,7
2010-04-01,2010,2,Iraq,Middle East,28
2010-04-01,2010,2,Ireland,EU 14,8
2010-04-01,2010,2,Israel,Middle East,1
2010-04-01,2010,2,Italy,EU 14,7
2010-04-01,2010,2,Ivory Coast,Africa Sub-Saharan,2
2010-04-01,2010,2,Jamaica,America Central and South,77
2010-04-01,2010,2,Japan,Asia East,1
2010-04-01,2010,2,Kenya,Africa Sub-Saharan,5
2010-04-01,2010,2,Korea (South),Asia East,2
2010-04-01,2010,2,Kosovo,Europe Other,7
2010-04-01,2010,2,Kyrgyzstan,Asia Central,1
2010-04-01,2010,2,Latvia,EU 8,12
2010-04-01,2010,2,Lebanon,Middle East,1
2010-04-01,2010,2,Libya,Africa North,2
2010-04-01,2010,2,Lithuania,EU 8,32
2010-04-01,2010,2,Malaysia,Asia South East,18
2010-04-01,2010,2,Mauritius,Africa Sub-Saharan,3
2010-04-01,2010,2,Mexico,America Central and South,8
2010-04-01,2010,2,Moldova,Europe Other,8
2010-04-01,2010,2,Mongolia,Asia East,1
2010-04-01,2010,2,Morocco,Africa North,2
2010-04-01,2010,2,Namibia,Africa Sub-Saharan,1
2010-04-01,2010,2,Nepal,Asia South,4
2010-04-01,2010,2,Netherlands,EU 14,10
2010-04-01,2010,2,Netherlands Antilles,America Central and South,1
2010-04-01,2010,2,New Zealand,Oceania,3
2010-04-01,2010,2,Nigeria,Africa Sub-Saharan,106
2010-04-01,2010,2,Norway,Europe Other,1
2010-04-01,2010,2,Other and unknown,Other,26
2010-04-01,2010,2,Pakistan,Asia South,30
2010-04-01,2010,2,Philippines,Asia South East,1
2010-04-01,2010,2,Poland,EU 8,51
2010-04-01,2010,2,Portugal,EU 14,8
2010-04-01,2010,2,Romania,EU 2,45
2010-04-01,2010,2,Russia,Europe Other,3
2010-04-01,2010,2,Sao Tome and Principe,Africa Sub-Saharan,1
2010-04-01,2010,2,Senegal,Africa Sub-Saharan,3
2010-04-01,2010,2,Serbia,Europe Other,1
2010-04-01,2010,2,Sierra Leone,Africa Sub-Saharan,3
2010-04-01,2010,2,Singapore,Asia South East,2
2010-04-01,2010,2,Slovakia,EU 8,7
2010-04-01,2010,2,Slovenia,EU 8,1
2010-04-01,2010,2,Somalia,Africa Sub-Saharan,4
2010-04-01,2010,2,South Africa,Africa Sub-Saharan,15
2010-04-01,2010,2,Spain,EU 14,7
2010-04-01,2010,2,Sri Lanka,Asia South,6
2010-04-01,2010,2,St. Lucia,America Central and South,3
2010-04-01,2010,2,Sudan,Africa North,1
2010-04-01,2010,2,Swaziland,Africa Sub-Saharan,1
2010-04-01,2010,2,Sweden,EU 14,5
2010-04-01,2010,2,Taiwan,Asia East,1
2010-04-01,2010,2,Tanzania,Africa Sub-Saharan,2
2010-04-01,2010,2,Thailand,Asia South East,5
2010-04-01,2010,2,Trinidad and Tobago,America Central and South,9
2010-04-01,2010,2,Tunisia,Africa North,1
2010-04-01,2010,2,Turkey,Europe Other,14
2010-04-01,2010,2,Uganda,Africa Sub-Saharan,7
2010-04-01,2010,2,Ukraine,Europe Other,26
2010-04-01,2010,2,United Arab Emirates,Middle East,1
2010-04-01,2010,2,United States,America North,11
2010-04-01,2010,2,Uzbekistan,Asia Central,1
2010-04-01,2010,2,Vietnam,Asia South East,153
2010-04-01,2010,2,Zambia,Africa Sub-Saharan,1
2010-04-01,2010,2,Zimbabwe,Africa Sub-Saharan,3
2010-07-01,2010,3,Afghanistan,Asia Central,16
2010-07-01,2010,3,Albania,Europe Other,26
2010-07-01,2010,3,Algeria,Africa North,32
2010-07-01,2010,3,Angola,Africa Sub-Saharan,5
2010-07-01,2010,3,Antigua and Barbuda,America Central and South,1
2010-07-01,2010,3,Argentina,America Central and South,1
2010-07-01,2010,3,Australia,Oceania,3
2010-07-01,2010,3,Austria,EU 14,2
2010-07-01,2010,3,Bangladesh,Asia South,25
2010-07-01,2010,3,Barbados,America Central and South,3
2010-07-01,2010,3,Belarus,Europe Other,1
2010-07-01,2010,3,Belgium,EU 14,6
2010-07-01,2010,3,Benin,Africa Sub-Saharan,1
2010-07-01,2010,3,Bolivia,America Central and South,1
2010-07-01,2010,3,Botswana,Africa Sub-Saharan,1
2010-07-01,2010,3,Brazil,America Central and South,26
2010-07-01,2010,3,Bulgaria,EU 2,7
2010-07-01,2010,3,Burundi,Africa Sub-Saharan,3
2010-07-01,2010,3,Cameroon,Africa Sub-Saharan,3
2010-07-01,2010,3,Canada,America North,2
2010-07-01,2010,3,Chile,America Central and South,4
2010-07-01,2010,3,China,Asia East,128
2010-07-01,2010,3,Colombia,America Central and South,13
2010-07-01,2010,3,Congo,Africa Sub-Saharan,3
2010-07-01,2010,3,Congo (Democratic Republic),Africa Sub-Saharan,6
2010-07-01,2010,3,Croatia,EU Other,1
2010-07-01,2010,3,Cuba,America Central and South,1
2010-07-01,2010,3,Czech Republic,EU 8,1
2010-07-01,2010,3,Denmark,EU 14,2
2010-07-01,2010,3,Egypt,Africa North,3
2010-07-01,2010,3,Estonia,EU 8,2
2010-07-01,2010,3,Ethiopia,Africa Sub-Saharan,1
2010-07-01,2010,3,Fiji,Oceania,4
2010-07-01,2010,3,France,EU 14,18
2010-07-01,2010,3,French Guiana,America Central and South,1
2010-07-01,2010,3,"Gambia, The",Africa Sub-Saharan,9
2010-07-01,2010,3,Georgia,Europe Other,2
2010-07-01,2010,3,Germany,EU 14,15
2010-07-01,2010,3,Ghana,Africa Sub-Saharan,30
2010-07-01,2010,3,Grenada,America Central and South,1
2010-07-01,2010,3,Guinea,Africa Sub-Saharan,1
2010-07-01,2010,3,Guyana,America Central and South,2
2010-07-01,2010,3,Hong Kong,Asia East,4
2010-07-01,2010,3,Hungary,EU 8,4
2010-07-01,2010,3,India,Asia South,37
2010-07-01,2010,3,Indonesia,Asia South East,1
2010-07-01,2010,3,Iran,Middle East,6
2010-07-01,2010,3,Iraq,Middle East,24
2010-07-01,2010,3,Ireland,EU 14,11
2010-07-01,2010,3,Israel,Middle East,2
2010-07-01,2010,3,Italy,EU 14,16
2010-07-01,2010,3,Ivory Coast,Africa Sub-Saharan,2
2010-07-01,2010,3,Jamaica,America Central and South,89
2010-07-01,2010,3,Japan,Asia East,1
2010-07-01,2010,3,Jordan,Middle East,2
2010-07-01,2010,3,Kenya,Africa Sub-Saharan,6
2010-07-01,2010,3,Kosovo,Europe Other,3
2010-07-01,2010,3,Latvia,EU 8,11
2010-07-01,2010,3,Liberia,Africa Sub-Saharan,2
2010-07-01,2010,3,Libya,Africa North,3
2010-07-01,2010,3,Lithuania,EU 8,25
2010-07-01,2010,3,Malawi,Africa Sub-Saharan,9
2010-07-01,2010,3,Malaysia,Asia South East,17
2010-07-01,2010,3,Malta,EU Other,1
2010-07-01,2010,3,Mauritius,Africa Sub-Saharan,4
2010-07-01,2010,3,Mexico,America Central and South,6
2010-07-01,2010,3,Moldova,Europe Other,11
2010-07-01,2010,3,Mongolia,Asia East,2
2010-07-01,2010,3,Morocco,Africa North,11
2010-07-01,2010,3,Namibia,Africa Sub-Saharan,4
2010-07-01,2010,3,Netherlands,EU 14,16
2010-07-01,2010,3,New Zealand,Oceania,3
2010-07-01,2010,3,Niger,Africa Sub-Saharan,1
2010-07-01,2010,3,Nigeria,Africa Sub-Saharan,152
2010-07-01,2010,3,Norway,Europe Other,1
2010-07-01,2010,3,Oman,Middle East,1
2010-07-01,2010,3,Other and unknown,Other,30
2010-07-01,2010,3,Pakistan,Asia South,43
2010-07-01,2010,3,Paraguay,America Central and South,1
2010-07-01,2010,3,Philippines,Asia South East,6
2010-07-01,2010,3,Poland,EU 8,52
2010-07-01,2010,3,Portugal,EU 14,14
2010-07-01,2010,3,Romania,EU 2,66
2010-07-01,2010,3,Russia,Europe Other,2
2010-07-01,2010,3,Senegal,Africa Sub-Saharan,3
2010-07-01,2010,3,Sierra Leone,Africa Sub-Saharan,2
2010-07-01,2010,3,Slovakia,EU 8,7
2010-07-01,2010,3,Somalia,Africa Sub-Saharan,1
2010-07-01,2010,3,South Africa,Africa Sub-Saharan,20
2010-07-01,2010,3,Spain,EU 14,6
2010-07-01,2010,3,Sri Lanka,Asia South,15
2010-07-01,2010,3,St. Lucia,America Central and South,11
2010-07-01,2010,3,St. Vincent and the Grenadines,America Central and South,2
2010-07-01,2010,3,Sweden,EU 14,3
2010-07-01,2010,3,Switzerland,Europe Other,1
2010-07-01,2010,3,Syria,Middle East,1
2010-07-01,2010,3,Taiwan,Asia East,2
2010-07-01,2010,3,Tanzania,Africa Sub-Saharan,7
2010-07-01,2010,3,Thailand,Asia South East,4
2010-07-01,2010,3,Trinidad and Tobago,America Central and South,4
2010-07-01,2010,3,Tunisia,Africa North,1
2010-07-01,2010,3,Turkey,Europe Other,10
2010-07-01,2010,3,Uganda,Africa Sub-Saharan,4
2010-07-01,2010,3,Ukraine,Europe Other,28
2010-07-01,2010,3,United Arab Emirates,Middle East,1
2010-07-01,2010,3,United States,America North,12
2010-07-01,2010,3,Uruguay,America Central and South,1
2010-07-01,2010,3,Uzbekistan,Asia Central,2
2010-07-01,2010,3,Venezuela,America Central and South,1
2010-07-01,2010,3,Vietnam,Asia South East,157
2010-07-01,2010,3,Yemen,Middle East,1
2010-07-01,2010,3,Zambia,Africa Sub-Saharan,2
2010-07-01,2010,3,Zimbabwe,Africa Sub-Saharan,3
2010-10-01,2010,4,Afghanistan,Asia Central,10
2010-10-01,2010,4,Albania,Europe Other,27
2010-10-01,2010,4,Algeria,Africa North,21
2010-10-01,2010,4,Angola,Africa Sub-Saharan,3
2010-10-01,2010,4,Antigua and Barbuda,America Central and South,1
2010-10-01,2010,4,Armenia,Europe Other,2
2010-10-01,2010,4,Australia,Oceania,4
2010-10-01,2010,4,Austria,EU 14,5
2010-10-01,2010,4,Bangladesh,Asia South,23
2010-10-01,2010,4,Belgium,EU 14,5
2010-10-01,2010,4,Belize,America Central and South,1
2010-10-01,2010,4,Botswana,Africa Sub-Saharan,1
2010-10-01,2010,4,Brazil,America Central and South,17
2010-10-01,2010,4,Bulgaria,EU 2,5
2010-10-01,2010,4,Burma,Asia South East,1
2010-10-01,2010,4,Burundi,Africa Sub-Saharan,1
2010-10-01,2010,4,Cameroon,Africa Sub-Saharan,7
2010-10-01,2010,4,Canada,America North,5
2010-10-01,2010,4,Chile,America Central and South,3
2010-10-01,2010,4,China,Asia East,102
2010-10-01,2010,4,Colombia,America Central and South,16
2010-10-01,2010,4,Congo,Africa Sub-Saharan,1
2010-10-01,2010,4,Congo (Democratic Republic),Africa Sub-Saharan,7
2010-10-01,2010,4,Costa Rica,America Central and South,1
2010-10-01,2010,4,Cyprus,EU Other,1
2010-10-01,2010,4,Czech Republic,EU 8,7
2010-10-01,2010,4,Dominica,America Central and South,2
2010-10-01,2010,4,Ecuador,America Central and South,1
2010-10-01,2010,4,Egypt,Africa North,1
2010-10-01,2010,4,Estonia,EU 8,5
2010-10-01,2010,4,Ethiopia,Africa Sub-Saharan,1
2010-10-01,2010,4,France,EU 14,24
2010-10-01,2010,4,French Guiana,America Central and South,1
2010-10-01,2010,4,"Gambia, The",Africa Sub-Saharan,11
2010-10-01,2010,4,Georgia,Europe Other,3
2010-10-01,2010,4,Germany,EU 14,10
2010-10-01,2010,4,Ghana,Africa Sub-Saharan,24
2010-10-01,2010,4,Greece,EU 14,2
2010-10-01,2010,4,Hong Kong,Asia East,4
2010-10-01,2010,4,Hungary,EU 8,4
2010-10-01,2010,4,India,Asia South,59
2010-10-01,2010,4,Iran,Middle East,3
2010-10-01,2010,4,Iraq,Middle East,33
2010-10-01,2010,4,Ireland,EU 14,10
2010-10-01,2010,4,Israel,Middle East,2
2010-10-01,2010,4,Italy,EU 14,7
2010-10-01,2010,4,Ivory Coast,Africa Sub-Saharan,1
2010-10-01,2010,4,Jamaica,America Central and South,99
2010-10-01,2010,4,Kenya,Africa Sub-Saharan,7
2010-10-01,2010,4,Kosovo,Europe Other,3
2010-10-01,2010,4,Latvia,EU 8,8
2010-10-01,2010,4,Lebanon,Middle East,1
2010-10-01,2010,4,Libya,Africa North,2
2010-10-01,2010,4,Lithuania,EU 8,31
2010-10-01,2010,4,Malawi,Africa Sub-Saharan,5
2010-10-01,2010,4,Malaysia,Asia South East,8
2010-10-01,2010,4,Mali,Africa Sub-Saharan,2
2010-10-01,2010,4,Mauritius,Africa Sub-Saharan,5
2010-10-01,2010,4,Mexico,America Central and South,4
2010-10-01,2010,4,Moldova,Europe Other,8
2010-10-01,2010,4,Mongolia,Asia East,3
2010-10-01,2010,4,Morocco,Africa North,5
2010-10-01,2010,4,Namibia,Africa Sub-Saharan,2
2010-10-01,2010,4,Nepal,Asia South,1
2010-10-01,2010,4,Netherlands,EU 14,13
2010-10-01,2010,4,Nigeria,Africa Sub-Saharan,109
2010-10-01,2010,4,Norway,Europe Other,3
2010-10-01,2010,4,Other and unknown,Other,36
2010-10-01,2010,4,Pakistan,Asia South,46
2010-10-01,2010,4,Peru,America Central and South,3
2010-10-01,2010,4,Philippines,Asia South East,3
2010-10-01,2010,4,Poland,EU 8,51
2010-10-01,2010,4,Portugal,EU 14,16
2010-10-01,2010,4,Romania,EU 2,66
2010-10-01,2010,4,Russia,Europe Other,3
2010-10-01,2010,4,Rwanda,Africa Sub-Saharan,1
2010-10-01,2010,4,Saudi Arabia,Middle East,2
2010-10-01,2010,4,Senegal,Africa Sub-Saharan,3
2010-10-01,2010,4,Serbia,Europe Other,3
2010-10-01,2010,4,Seychelles,Africa Sub-Saharan,1
2010-10-01,2010,4,Sierra Leone,Africa Sub-Saharan,3
2010-10-01,2010,4,Slovakia,EU 8,7
2010-10-01,2010,4,Somalia,Africa Sub-Saharan,2
2010-10-01,2010,4,South Africa,Africa Sub-Saharan,14
2010-10-01,2010,4,Spain,EU 14,5
2010-10-01,2010,4,Sri Lanka,Asia South,17
2010-10-01,2010,4,St. Vincent and the Grenadines,America Central and South,3
2010-10-01,2010,4,Sudan,Africa North,2
2010-10-01,2010,4,Sweden,EU 14,7
2010-10-01,2010,4,Switzerland,Europe Other,1
2010-10-01,2010,4,Syria,Middle East,1
2010-10-01,2010,4,Tanzania,Africa Sub-Saharan,5
2010-10-01,2010,4,Trinidad and Tobago,America Central and South,4
2010-10-01,2010,4,Tunisia,Africa North,3
2010-10-01,2010,4,Turkey,Europe Other,14
2010-10-01,2010,4,Uganda,Africa Sub-Saharan,6
2010-10-01,2010,4,Ukraine,Europe Other,21
2010-10-01,2010,4,United Arab Emirates,Middle East,2
2010-10-01,2010,4,United States,America North,2
2010-10-01,2010,4,Uzbekistan,Asia Central,1
2010-10-01,2010,4,Vietnam,Asia South East,175
2010-10-01,2010,4,Zambia,Africa Sub-Saharan,2
2010-10-01,2010,4,Zimbabwe,Africa Sub-Saharan,1
2011-01-01,2011,1,Afghanistan,Asia Central,19
2011-01-01,2011,1,Albania,Europe Other,28
2011-01-01,2011,1,Algeria,Africa North,27
2011-01-01,2011,1,Angola,Africa Sub-Saharan,2
2011-01-01,2011,1,Argentina,America Central and South,2
2011-01-01,2011,1,Armenia,Europe Other,1
2011-01-01,2011,1,Australia,Oceania,2
2011-01-01,2011,1,Austria,EU 14,4
2011-01-01,2011,1,"Bahamas, The",America Central and South,1
2011-01-01,2011,1,Bangladesh,Asia South,21
2011-01-01,2011,1,Belgium,EU 14,7
2011-01-01,2011,1,Bolivia,America Central and South,2
2011-01-01,2011,1,Brazil,America Central and South,25
2011-01-01,2011,1,Bulgaria,EU 2,9
2011-01-01,2011,1,Cameroon,Africa Sub-Saharan,1
2011-01-01,2011,1,Canada,America North,3
2011-01-01,2011,1,Chile,America Central and South,1
2011-01-01,2011,1,China,Asia East,102
2011-01-01,2011,1,Colombia,America Central and South,13
2011-01-01,2011,1,Congo,Africa Sub-Saharan,2
2011-01-01,2011,1,Congo (Democratic Republic),Africa Sub-Saharan,4
2011-01-01,2011,1,Cuba,America Central and South,1
2011-01-01,2011,1,Czech Republic,EU 8,10
2011-01-01,2011,1,Denmark,EU 14,2
2011-01-01,2011,1,Djibouti,Africa Sub-Saharan,1
2011-01-01,2011,1,Dominica,America Central and South,1
2011-01-01,2011,1,Dominican Republic,America Central and South,1
2011-01-01,2011,1,Ecuador,America Central and South,1
2011-01-01,2011,1,Egypt,Africa North,3
2011-01-01,2011,1,Estonia,EU 8,2
2011-01-01,2011,1,Ethiopia,Africa Sub-Saharan,1
2011-01-01,2011,1,Fiji,Oceania,1
2011-01-01,2011,1,Finland,EU 14,1
2011-01-01,2011,1,Former Yugoslavia,Europe Other,2
2011-01-01,2011,1,France,EU 14,15
2011-01-01,2011,1,"Gambia, The",Africa Sub-Saharan,4
2011-01-01,2011,1,Georgia,Europe Other,7
2011-01-01,2011,1,Germany,EU 14,15
2011-01-01,2011,1,Ghana,Africa Sub-Saharan,29
2011-01-01,2011,1,Greece,EU 14,3
2011-01-01,2011,1,Guatemala,America Central and South,1
2011-01-01,2011,1,Guinea,Africa Sub-Saharan,2
2011-01-01,2011,1,Guyana,America Central and South,4
2011-01-01,2011,1,Hong Kong,Asia East,2
2011-01-01,2011,1,Hungary,EU 8,5
2011-01-01,2011,1,India,Asia South,59
2011-01-01,2011,1,Iran,Middle East,7
2011-01-01,2011,1,Iraq,Middle East,6
2011-01-01,2011,1,Ireland,EU 14,4
2011-01-01,2011,1,Israel,Middle East,1
2011-01-01,2011,1,Italy,EU 14,10
2011-01-01,2011,1,Jamaica,America Central and South,94
2011-01-01,2011,1,Kenya,Africa Sub-Saharan,5
2011-01-01,2011,1,Korea (South),Asia East,1
2011-01-01,2011,1,Kosovo,Europe Other,4
2011-01-01,2011,1,Kyrgyzstan,Asia Central,1
2011-01-01,2011,1,Latvia,EU 8,10
2011-01-01,2011,1,Lebanon,Middle East,1
2011-01-01,2011,1,Liberia,Africa Sub-Saharan,1
2011-01-01,2011,1,Libya,Africa North,1
2011-01-01,2011,1,Lithuania,EU 8,31
2011-01-01,2011,1,Luxembourg,EU 14,1
2011-01-01,2011,1,Macau,Asia East,1
2011-01-01,2011,1,Malawi,Africa Sub-Saharan,3
2011-01-01,2011,1,Malaysia,Asia South East,12
2011-01-01,2011,1,Mali,Africa Sub-Saharan,1
2011-01-01,2011,1,Mauritius,Africa Sub-Saharan,6
2011-01-01,2011,1,Mexico,America Central and South,10
2011-01-01,2011,1,Moldova,Europe Other,7
2011-01-01,2011,1,Mongolia,Asia East,3
2011-01-01,2011,1,Morocco,Africa North,6
2011-01-01,2011,1,Namibia,Africa Sub-Saharan,1
2011-01-01,2011,1,Nepal,Asia South,1
2011-01-01,2011,1,Netherlands,EU 14,13
2011-01-01,2011,1,New Zealand,Oceania,2
2011-01-01,2011,1,Nigeria,Africa Sub-Saharan,109
2011-01-01,2011,1,Norway,Europe Other,2
2011-01-01,2011,1,Occupied Palestinian Territories,Middle East,2
2011-01-01,2011,1,Other and unknown,Other,42
2011-01-01,2011,1,Pakistan,Asia South,43
2011-01-01,2011,1,Peru,America Central and South,1
2011-01-01,2011,1,Philippines,Asia South East,3
2011-01-01,2011,1,Poland,EU 8,65
2011-01-01,2011,1,Portugal,EU 14,12
2011-01-01,2011,1,Romania,EU 2,67
2011-01-01,2011,1,Russia,Europe Other,4
2011-01-01,2011,1,Saudi Arabia,Middle East,1
2011-01-01,2011,1,Senegal,Africa Sub-Saharan,3
2011-01-01,2011,1,Serbia,Europe Other,1
2011-01-01,2011,1,Sierra Leone,Africa Sub-Saharan,5
2011-01-01,2011,1,Singapore,Asia South East,2
2011-01-01,2011,1,Slovakia,EU 8,6
2011-01-01,2011,1,Somalia,Africa Sub-Saharan,3
2011-01-01,2011,1,South Africa,Africa Sub-Saharan,11
2011-01-01,2011,1,Spain,EU 14,3
2011-01-01,2011,1,Sri Lanka,Asia South,13
2011-01-01,2011,1,St. Lucia,America Central and South,6
