Date,Year,Quarter,Asylum application,Nationality,Region,Applicant type,UASC,Sex,Age Group,Applications
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,1
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,30
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,5
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,3
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,5
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,3
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,7
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,10
2018-12-31,2018,4,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,1
2018-12-31,2018,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,25 to 39,1
2018-12-31,2018,4,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2018-12-31,2018,4,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,25 to 39,4
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,3
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,4
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,18 to 24,1
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,3
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,14
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,2
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,84
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,1
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,12
2019-03-31,2019,1,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,4
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,6
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,7
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,6
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,1
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,18
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,1
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,20
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,3
2019-03-31,2019,1,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,7
2019-03-31,2019,1,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,3
2019-06-30,2019,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,2
2019-06-30,2019,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,40 and over,1
2019-06-30,2019,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,4
2019-06-30,2019,2,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,2
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,8
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,1
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,40 and over,2
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,18 to 24,1
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,36
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,3
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,124
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,4
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,30
2019-06-30,2019,2,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,8
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,17
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,27
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,18 to 24,2
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,25 to 39,7
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,14
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,1
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,2
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,19
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,7
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,39
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,40 and over,1
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,4
2019-06-30,2019,2,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,9
2019-06-30,2019,2,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,18 to 24,2
2019-06-30,2019,2,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,25 to 39,3
2019-06-30,2019,2,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,40 and over,3
2019-06-30,2019,2,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2019-06-30,2019,2,Asylum application raised,Tajikistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2019-06-30,2019,2,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,2
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,9
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,19
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,40 and over,1
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,40 and over,3
2019-09-30,2019,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,10
2019-09-30,2019,3,Asylum application raised,Ethiopia,Africa Sub-Saharan,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Ethiopia,Africa Sub-Saharan,Dependant,Non-UASC,Female,17 and under,2
2019-09-30,2019,3,Asylum application raised,Ethiopia,Africa Sub-Saharan,Dependant,Non-UASC,Female,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Ethiopia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Guinea,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,2
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,12
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,16
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,25 to 39,5
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,10
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,40 and over,2
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,18 to 24,2
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,51
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,17
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,296
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,9
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,49
2019-09-30,2019,3,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,17
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,22
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,32
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,8
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,5
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,3
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,18
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,17
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,27
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,10
2019-09-30,2019,3,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,5
2019-09-30,2019,3,Asylum application raised,Ivory Coast,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Asylum application raised,Lebanon,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,2
2019-09-30,2019,3,Asylum application raised,Niger,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Nigeria,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Nigeria,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,18 to 24,4
2019-09-30,2019,3,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,25 to 39,8
2019-09-30,2019,3,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,40 and over,4
2019-09-30,2019,3,Asylum application raised,Pakistan,Asia South,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Philippines,Asia South East,Main applicant,Non-UASC,Female,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,18 to 24,3
2019-09-30,2019,3,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,25 to 39,2
2019-09-30,2019,3,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,Asylum application raised,Refugee,Other,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Female,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,25 to 39,4
2019-09-30,2019,3,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Tajikistan,Asia Central,Dependant,Non-UASC,Male,17 and under,1
2019-09-30,2019,3,Asylum application raised,Turkey,Europe Other,Main applicant,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,Asylum application raised,Turkey,Europe Other,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,18 to 24,2
2019-09-30,2019,3,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,No asylum application raised,Afghanistan,Asia Central,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2019-09-30,2019,3,No asylum application raised,Afghanistan,Asia Central,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2019-09-30,2019,3,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,17 and under,2
2019-09-30,2019,3,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,3
2019-09-30,2019,3,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,40 and over,1
2019-09-30,2019,3,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Female,17 and under,1
2019-09-30,2019,3,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,17 and under,2
2019-09-30,2019,3,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,3
2019-09-30,2019,3,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Female,40 and over,1
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Male,17 and under,1
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,2
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,25 to 39,1
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,6
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,3
2019-12-31,2019,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,18 to 24,1
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Dependant,Non-UASC,Male,17 and under,1
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,18 to 24,2
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Female,25 to 39,1
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,4
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Female,40 and over,1
2019-12-31,2019,4,Asylum application raised,Albania,Europe Other,Main applicant,UASC,Female,18 to 24,1
2019-12-31,2019,4,Asylum application raised,Azerbaijan,Europe Other,Main applicant,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,Asylum application raised,Egypt,Africa North,Main applicant,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,Asylum application raised,"Gambia, The",Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,10
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,11
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,25 to 39,2
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,14
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,40 and over,2
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,40 and over,3
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,18 to 24,5
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,58
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,9
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,210
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,4
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,31
2019-12-31,2019,4,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,10
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,12
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,13
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,18 to 24,1
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,7
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,2
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,1
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,15
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,4
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,24
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,40 and over,3
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,6
2019-12-31,2019,4,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,5
2019-12-31,2019,4,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2019-12-31,2019,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,25 to 39,4
2019-12-31,2019,4,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,17 and under,2
2019-12-31,2019,4,Asylum application raised,Uzbekistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Female,17 and under,1
2019-12-31,2019,4,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2019-12-31,2019,4,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,40 and over,1
2020-03-31,2020,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,4
2020-03-31,2020,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,5
2020-03-31,2020,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,3
2020-03-31,2020,1,Asylum application raised,Egypt,Africa North,Main applicant,Non-UASC,Male,25 to 39,1
2020-03-31,2020,1,Asylum application raised,Guinea,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,1
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,2
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,7
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,3
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,40 and over,1
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,54
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,11
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,138
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,1
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,31
2020-03-31,2020,1,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,18
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,5
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,11
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,18 to 24,1
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,4
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,1
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,40 and over,1
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,3
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,33
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,4
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,32
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,40 and over,2
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,5
2020-03-31,2020,1,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,15
2020-03-31,2020,1,Asylum application raised,Ivory Coast,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2020-03-31,2020,1,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2020-03-31,2020,1,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,18 to 24,2
2020-03-31,2020,1,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,25 to 39,3
2020-03-31,2020,1,Asylum application raised,Senegal,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,1
2020-03-31,2020,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,23
