Date,Year,Quarter,Nationality,Region,Outcome,Sex,Appeals determined
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Withdrawn,Female,2
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Withdrawn,Male,1
2010-01-01,2010,1,Georgia,Europe Other,Allowed,Female,2
2010-01-01,2010,1,Georgia,Europe Other,Allowed,Male,2
2010-01-01,2010,1,Georgia,Europe Other,Dismissed,Female,6
2010-01-01,2010,1,Georgia,Europe Other,Dismissed,Male,8
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Allowed,Male,2
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Dismissed,Female,5
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Dismissed,Male,6
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Withdrawn,Male,2
2010-01-01,2010,1,Grenada,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Grenada,America Central and South,Withdrawn,Male,1
2010-01-01,2010,1,Guatemala,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Allowed,Female,2
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Allowed,Male,7
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Dismissed,Female,9
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Dismissed,Male,9
2010-01-01,2010,1,Guinea-Bissau,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Honduras,America Central and South,Dismissed,Female,1
2010-01-01,2010,1,Honduras,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,India,Asia South,Allowed,Female,2
2010-01-01,2010,1,India,Asia South,Allowed,Male,2
2010-01-01,2010,1,India,Asia South,Dismissed,Female,4
2010-01-01,2010,1,India,Asia South,Dismissed,Male,12
2010-01-01,2010,1,Iran,Middle East,Allowed,Female,43
2010-01-01,2010,1,Iran,Middle East,Allowed,Male,140
2010-01-01,2010,1,Iran,Middle East,Dismissed,Female,38
2010-01-01,2010,1,Iran,Middle East,Dismissed,Male,287
2010-01-01,2010,1,Iran,Middle East,Withdrawn,Female,2
2010-01-01,2010,1,Iran,Middle East,Withdrawn,Male,8
2010-01-01,2010,1,Iraq,Middle East,Allowed,Female,14
2010-01-01,2010,1,Iraq,Middle East,Allowed,Male,36
2010-01-01,2010,1,Iraq,Middle East,Dismissed,Female,17
2010-01-01,2010,1,Iraq,Middle East,Dismissed,Male,171
2010-01-01,2010,1,Iraq,Middle East,Withdrawn,Female,2
2010-01-01,2010,1,Iraq,Middle East,Withdrawn,Male,3
2010-01-01,2010,1,Israel,Middle East,Dismissed,Male,1
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Allowed,Female,3
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Allowed,Male,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Dismissed,Female,3
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Dismissed,Male,3
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Withdrawn,Female,1
2010-01-01,2010,1,Jamaica,America Central and South,Allowed,Female,2
2010-01-01,2010,1,Jamaica,America Central and South,Allowed,Male,3
2010-01-01,2010,1,Jamaica,America Central and South,Dismissed,Female,4
2010-01-01,2010,1,Jamaica,America Central and South,Dismissed,Male,10
2010-01-01,2010,1,Jamaica,America Central and South,Withdrawn,Female,1
2010-01-01,2010,1,Jamaica,America Central and South,Withdrawn,Male,2
2010-01-01,2010,1,Jordan,Middle East,Dismissed,Male,2
2010-01-01,2010,1,Jordan,Middle East,Withdrawn,Male,1
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Allowed,Female,4
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Dismissed,Female,9
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Dismissed,Male,5
2010-01-01,2010,1,Korea (North),Asia East,Allowed,Female,1
2010-01-01,2010,1,Korea (North),Asia East,Allowed,Male,4
2010-01-01,2010,1,Korea (North),Asia East,Dismissed,Female,3
2010-01-01,2010,1,Korea (North),Asia East,Dismissed,Male,6
2010-01-01,2010,1,Korea (North),Asia East,Withdrawn,Male,1
2010-01-01,2010,1,Korea (South),Asia East,Dismissed,Male,1
2010-01-01,2010,1,Kosovo,Europe Other,Allowed,Male,1
2010-01-01,2010,1,Kosovo,Europe Other,Dismissed,Female,2
2010-01-01,2010,1,Kosovo,Europe Other,Dismissed,Male,3
2010-01-01,2010,1,Kuwait,Middle East,Dismissed,Male,8
2010-01-01,2010,1,Kyrgyzstan,Asia Central,Dismissed,Male,1
2010-01-01,2010,1,Lebanon,Middle East,Dismissed,Female,2
2010-01-01,2010,1,Lebanon,Middle East,Dismissed,Male,2
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Dismissed,Male,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Withdrawn,Male,1
2010-01-01,2010,1,Libya,Africa North,Allowed,Male,4
2010-01-01,2010,1,Libya,Africa North,Dismissed,Female,1
2010-01-01,2010,1,Libya,Africa North,Dismissed,Male,14
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Dismissed,Female,21
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Dismissed,Male,8
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Withdrawn,Male,2
2010-01-01,2010,1,Malaysia,Asia South East,Allowed,Male,1
2010-01-01,2010,1,Malaysia,Asia South East,Dismissed,Female,3
2010-01-01,2010,1,Malaysia,Asia South East,Dismissed,Male,1
2010-01-01,2010,1,Maldives,Asia South,Dismissed,Male,1
2010-01-01,2010,1,Mali,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Mauritius,Africa Sub-Saharan,Dismissed,Male,1
2010-01-01,2010,1,Mauritius,Africa Sub-Saharan,Withdrawn,Female,1
2010-01-01,2010,1,Moldova,Europe Other,Allowed,Male,1
2010-01-01,2010,1,Mongolia,Asia East,Allowed,Female,1
2010-01-01,2010,1,Mongolia,Asia East,Dismissed,Female,2
2010-01-01,2010,1,Mongolia,Asia East,Dismissed,Male,2
2010-01-01,2010,1,Mongolia,Asia East,Withdrawn,Female,1
2010-01-01,2010,1,Morocco,Africa North,Allowed,Female,1
2010-01-01,2010,1,Morocco,Africa North,Allowed,Male,2
2010-01-01,2010,1,Morocco,Africa North,Dismissed,Male,5
2010-01-01,2010,1,Namibia,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Namibia,Africa Sub-Saharan,Dismissed,Male,2
2010-01-01,2010,1,Nepal,Asia South,Allowed,Male,1
2010-01-01,2010,1,Nepal,Asia South,Dismissed,Female,1
2010-01-01,2010,1,Nepal,Asia South,Dismissed,Male,2
2010-01-01,2010,1,Nicaragua,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Allowed,Female,11
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Allowed,Male,2
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Dismissed,Female,44
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Dismissed,Male,30
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Withdrawn,Female,2
2010-01-01,2010,1,Nigeria,Africa Sub-Saharan,Withdrawn,Male,4
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Allowed,Male,1
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Dismissed,Female,3
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Dismissed,Male,42
2010-01-01,2010,1,Occupied Palestinian Territories,Middle East,Withdrawn,Male,2
2010-01-01,2010,1,Other and unknown,Other,Dismissed,Male,1
2010-01-01,2010,1,Pakistan,Asia South,Allowed,Female,20
2010-01-01,2010,1,Pakistan,Asia South,Allowed,Male,15
2010-01-01,2010,1,Pakistan,Asia South,Dismissed,Female,78
2010-01-01,2010,1,Pakistan,Asia South,Dismissed,Male,164
2010-01-01,2010,1,Pakistan,Asia South,Withdrawn,Female,4
2010-01-01,2010,1,Pakistan,Asia South,Withdrawn,Male,6
2010-01-01,2010,1,Philippines,Asia South East,Dismissed,Female,1
2010-01-01,2010,1,Refugee,Other,Allowed,Female,2
2010-01-01,2010,1,Refugee,Other,Allowed,Male,9
2010-01-01,2010,1,Refugee,Other,Dismissed,Male,1
2010-01-01,2010,1,Russia,Europe Other,Allowed,Female,1
2010-01-01,2010,1,Russia,Europe Other,Allowed,Male,1
2010-01-01,2010,1,Russia,Europe Other,Dismissed,Female,3
2010-01-01,2010,1,Russia,Europe Other,Dismissed,Male,6
2010-01-01,2010,1,Russia,Europe Other,Withdrawn,Male,2
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Dismissed,Male,3
2010-01-01,2010,1,Rwanda,Africa Sub-Saharan,Withdrawn,Female,1
2010-01-01,2010,1,Saudi Arabia,Middle East,Allowed,Female,2
2010-01-01,2010,1,Saudi Arabia,Middle East,Dismissed,Male,1
2010-01-01,2010,1,Saudi Arabia,Middle East,Withdrawn,Male,1
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,Dismissed,Female,2
2010-01-01,2010,1,Senegal,Africa Sub-Saharan,Dismissed,Male,4
2010-01-01,2010,1,Seychelles,Africa Sub-Saharan,Withdrawn,Male,1
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Allowed,Female,4
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Dismissed,Female,9
2010-01-01,2010,1,Sierra Leone,Africa Sub-Saharan,Dismissed,Male,4
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Allowed,Female,51
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Allowed,Male,34
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Dismissed,Female,35
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Dismissed,Male,36
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Withdrawn,Female,9
2010-01-01,2010,1,Somalia,Africa Sub-Saharan,Withdrawn,Male,3
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Allowed,Female,2
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Dismissed,Female,13
2010-01-01,2010,1,South Africa,Africa Sub-Saharan,Dismissed,Male,6
2010-01-01,2010,1,Sri Lanka,Asia South,Allowed,Female,47
2010-01-01,2010,1,Sri Lanka,Asia South,Allowed,Male,66
2010-01-01,2010,1,Sri Lanka,Asia South,Dismissed,Female,44
2010-01-01,2010,1,Sri Lanka,Asia South,Dismissed,Male,139
2010-01-01,2010,1,Sri Lanka,Asia South,Withdrawn,Female,9
2010-01-01,2010,1,Sri Lanka,Asia South,Withdrawn,Male,5
2010-01-01,2010,1,St. Lucia,America Central and South,Allowed,Female,1
2010-01-01,2010,1,St. Lucia,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,St. Vincent and the Grenadines,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Stateless,Other,Allowed,Male,1
2010-01-01,2010,1,Stateless,Other,Dismissed,Male,3
2010-01-01,2010,1,Sudan,Africa North,Allowed,Female,2
2010-01-01,2010,1,Sudan,Africa North,Allowed,Male,8
2010-01-01,2010,1,Sudan,Africa North,Dismissed,Male,15
2010-01-01,2010,1,Sudan,Africa North,Withdrawn,Female,1
2010-01-01,2010,1,Sudan,Africa North,Withdrawn,Male,3
2010-01-01,2010,1,Swaziland,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Swaziland,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Syria,Middle East,Allowed,Female,2
2010-01-01,2010,1,Syria,Middle East,Allowed,Male,12
2010-01-01,2010,1,Syria,Middle East,Dismissed,Female,1
2010-01-01,2010,1,Syria,Middle East,Dismissed,Male,26
2010-01-01,2010,1,Syria,Middle East,Withdrawn,Male,2
2010-01-01,2010,1,Taiwan,Asia East,Dismissed,Male,1
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,Dismissed,Female,6
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,Dismissed,Male,3
2010-01-01,2010,1,Tanzania,Africa Sub-Saharan,Withdrawn,Male,1
2010-01-01,2010,1,Thailand,Asia South East,Dismissed,Male,1
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Dismissed,Female,2
2010-01-01,2010,1,Togo,Africa Sub-Saharan,Dismissed,Male,2
2010-01-01,2010,1,Trinidad and Tobago,America Central and South,Dismissed,Female,1
2010-01-01,2010,1,Trinidad and Tobago,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Tunisia,Africa North,Allowed,Female,2
2010-01-01,2010,1,Tunisia,Africa North,Dismissed,Male,4
2010-01-01,2010,1,Turkey,Europe Other,Allowed,Female,5
2010-01-01,2010,1,Turkey,Europe Other,Allowed,Male,11
2010-01-01,2010,1,Turkey,Europe Other,Dismissed,Female,3
2010-01-01,2010,1,Turkey,Europe Other,Dismissed,Male,9
2010-01-01,2010,1,Turkey,Europe Other,Withdrawn,Female,1
2010-01-01,2010,1,Turkey,Europe Other,Withdrawn,Male,2
2010-01-01,2010,1,Turkmenistan,Asia Central,Dismissed,Female,1
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Allowed,Female,13
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Allowed,Male,5
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Dismissed,Female,14
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Dismissed,Male,14
2010-01-01,2010,1,Uganda,Africa Sub-Saharan,Withdrawn,Female,1
2010-01-01,2010,1,Ukraine,Europe Other,Dismissed,Female,1
2010-01-01,2010,1,Ukraine,Europe Other,Dismissed,Male,1
2010-01-01,2010,1,Uzbekistan,Asia Central,Allowed,Male,2
2010-01-01,2010,1,Uzbekistan,Asia Central,Dismissed,Female,2
2010-01-01,2010,1,Vietnam,Asia South East,Allowed,Female,2
2010-01-01,2010,1,Vietnam,Asia South East,Allowed,Male,3
2010-01-01,2010,1,Vietnam,Asia South East,Dismissed,Female,3
2010-01-01,2010,1,Vietnam,Asia South East,Dismissed,Male,3
2010-01-01,2010,1,Vietnam,Asia South East,Withdrawn,Male,1
2010-01-01,2010,1,Western Sahara,Africa North,Dismissed,Male,2
2010-01-01,2010,1,Yemen,Middle East,Allowed,Male,3
2010-01-01,2010,1,Yemen,Middle East,Dismissed,Male,11
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,Dismissed,Female,2
2010-01-01,2010,1,Zambia,Africa Sub-Saharan,Dismissed,Male,2
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Allowed,Female,171
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Allowed,Male,132
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Dismissed,Female,292
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Dismissed,Male,200
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Withdrawn,Female,17
2010-01-01,2010,1,Zimbabwe,Africa Sub-Saharan,Withdrawn,Male,12
2010-04-01,2010,2,Afghanistan,Asia Central,Allowed,Female,8
2010-04-01,2010,2,Afghanistan,Asia Central,Allowed,Male,82
2010-04-01,2010,2,Afghanistan,Asia Central,Dismissed,Female,8
2010-04-01,2010,2,Afghanistan,Asia Central,Dismissed,Male,322
2010-04-01,2010,2,Afghanistan,Asia Central,Dismissed,Unknown Sex,1
2010-04-01,2010,2,Afghanistan,Asia Central,Withdrawn,Male,18
2010-04-01,2010,2,Albania,Europe Other,Allowed,Female,4
2010-04-01,2010,2,Albania,Europe Other,Allowed,Male,3
2010-04-01,2010,2,Albania,Europe Other,Dismissed,Female,3
2010-04-01,2010,2,Albania,Europe Other,Dismissed,Male,6
2010-04-01,2010,2,Albania,Europe Other,Withdrawn,Male,1
2010-04-01,2010,2,Algeria,Africa North,Dismissed,Female,1
2010-04-01,2010,2,Algeria,Africa North,Dismissed,Male,25
2010-04-01,2010,2,Algeria,Africa North,Withdrawn,Male,2
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Allowed,Male,3
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Dismissed,Female,1
2010-04-01,2010,2,Angola,Africa Sub-Saharan,Dismissed,Male,5
2010-04-01,2010,2,Armenia,Europe Other,Allowed,Male,1
2010-04-01,2010,2,Armenia,Europe Other,Dismissed,Female,1
2010-04-01,2010,2,Armenia,Europe Other,Dismissed,Male,2
2010-04-01,2010,2,Azerbaijan,Europe Other,Allowed,Male,1
2010-04-01,2010,2,Azerbaijan,Europe Other,Dismissed,Female,1
2010-04-01,2010,2,Bangladesh,Asia South,Allowed,Female,2
2010-04-01,2010,2,Bangladesh,Asia South,Allowed,Male,9
2010-04-01,2010,2,Bangladesh,Asia South,Dismissed,Female,4
2010-04-01,2010,2,Bangladesh,Asia South,Dismissed,Male,58
2010-04-01,2010,2,Belarus,Europe Other,Allowed,Female,1
2010-04-01,2010,2,Belarus,Europe Other,Dismissed,Female,2
2010-04-01,2010,2,Belarus,Europe Other,Dismissed,Male,2
2010-04-01,2010,2,Benin,Africa Sub-Saharan,Dismissed,Female,1
2010-04-01,2010,2,Bhutan,Asia South,Allowed,Male,2
2010-04-01,2010,2,Bhutan,Asia South,Dismissed,Male,2
2010-04-01,2010,2,Bhutan,Asia South,Withdrawn,Female,1
2010-04-01,2010,2,Bhutan,Asia South,Withdrawn,Male,1
2010-04-01,2010,2,Botswana,Africa Sub-Saharan,Dismissed,Female,1
2010-04-01,2010,2,Brazil,America Central and South,Dismissed,Male,1
2010-04-01,2010,2,Burma,Asia South East,Allowed,Female,6
2010-04-01,2010,2,Burma,Asia South East,Allowed,Male,13
2010-04-01,2010,2,Burma,Asia South East,Dismissed,Female,8
2010-04-01,2010,2,Burma,Asia South East,Dismissed,Male,14
2010-04-01,2010,2,Burma,Asia South East,Withdrawn,Female,1
2010-04-01,2010,2,Burma,Asia South East,Withdrawn,Male,4
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Allowed,Male,2
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Dismissed,Female,2
2010-04-01,2010,2,Burundi,Africa Sub-Saharan,Dismissed,Male,1
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Allowed,Female,4
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Allowed,Male,6
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Dismissed,Female,5
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Dismissed,Male,12
2010-04-01,2010,2,Cameroon,Africa Sub-Saharan,Withdrawn,Male,1
2010-04-01,2010,2,Chad,Africa Sub-Saharan,Allowed,Male,2
2010-04-01,2010,2,Chad,Africa Sub-Saharan,Dismissed,Male,2
2010-04-01,2010,2,Chile,America Central and South,Dismissed,Male,1
2010-04-01,2010,2,China,Asia East,Allowed,Female,22
2010-04-01,2010,2,China,Asia East,Allowed,Male,12
2010-04-01,2010,2,China,Asia East,Dismissed,Female,114
2010-04-01,2010,2,China,Asia East,Dismissed,Male,79
2010-04-01,2010,2,China,Asia East,Withdrawn,Female,3
2010-04-01,2010,2,China,Asia East,Withdrawn,Male,4
2010-04-01,2010,2,Colombia,America Central and South,Allowed,Male,1
2010-04-01,2010,2,Colombia,America Central and South,Dismissed,Female,1
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Dismissed,Male,5
2010-04-01,2010,2,Congo,Africa Sub-Saharan,Withdrawn,Male,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Allowed,Female,9
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Allowed,Male,6
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Dismissed,Female,20
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Dismissed,Male,20
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Dismissed,Unknown Sex,1
2010-04-01,2010,2,Congo (Democratic Republic),Africa Sub-Saharan,Withdrawn,Female,1
